Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 368 | Class Action-Substantive-Privacy (jp:368,idx:133)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7289973,269.0,(27|7)
0.5695067,127.0,(26|7)
0.5000000,3.0,(25|7)
0.5000000,3.0,(26|6)
0.5000000,3.0,(27|6)
0.1897810,26.0,(26|8)
0.1696429,19.0,(27|8)
0.1449275,10.0,(28|7)
0.1052632,2.0,(28|6)
0.05000000,2.0,(6|10)
0.05000000,7.0,(7|48)
0.03191489,3.0,(11|0)
0.03076923,2.0,(11|1)
0.02352941,2.0,(3|37)
0.02272727,2.0,(5|9)
0.02238806,3.0,(27|9)
0.02173913,2.0,(14|48)
0.02150538,2.0,(15|23)
0.02105263,2.0,(16|49)
0.01785714,1.0,(9|1)
0.01724138,4.0,(5|10)
0.01176471,1.0,(19|1)
0.01098901,1.0,(3|11)
0.01030928,1.0,(8|49)
0.009523810,1.0,(9|46)
0.008928572,1.0,(27|3)
0.008174387,3.0,(24|27)
0.007936508,1.0,(31|13)
0.007352941,1.0,(14|40)
0.006361323,5.0,(6|46)
0.006060606,1.0,(7|8)
0.006024096,1.0,(25|30)
0.005813953,1.0,(14|49)
0.005181347,1.0,(8|7)
0.004514673,2.0,(8|14)
0.004494382,2.0,(49|33)
0.003952569,1.0,(0|14)
0.003773585,1.0,(25|49)
0.003584229,1.0,(13|36)
0.003154574,1.0,(18|7)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002873563,1.0,(6|40)
0.002873563,1.0,(7|40)
0.002873563,1.0,(7|41)
0.002604167,1.0,(9|13)
0.002375297,1.0,(21|33)
0.001937984,1.0,(15|30)
0.001748252,1.0,(8|42)
0.001265823,1.0,(9|3)
