Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 468 | Health Business Employment (jp:468,idx:203)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3562874,119.0,(6|12)
0.1949861,70.0,(5|12)
0.1949861,70.0,(6|13)
0.1666667,2.0,(7|13)
0.09090909,15.0,(6|14)
0.06410257,5.0,(5|13)
0.05776173,16.0,(4|14)
0.05263158,3.0,(4|21)
0.05128205,2.0,(0|22)
0.04347826,5.0,(5|14)
0.04000000,3.0,(6|15)
0.03703704,5.0,(5|15)
0.03448276,2.0,(2|16)
0.03409091,3.0,(5|16)
0.03278688,2.0,(4|16)
0.02941176,1.0,(3|12)
0.02500000,2.0,(30|1)
0.02469136,4.0,(4|15)
0.02325581,3.0,(3|13)
0.01754386,1.0,(2|17)
0.01675978,3.0,(2|15)
0.01351351,1.0,(4|12)
0.01342282,2.0,(2|20)
0.01285347,5.0,(45|16)
0.01111111,1.0,(0|33)
0.01075269,1.0,(4|17)
0.01063830,3.0,(2|12)
0.009523810,1.0,(46|35)
0.008474576,1.0,(2|19)
0.007905139,2.0,(32|12)
0.007518797,1.0,(7|47)
0.006622517,1.0,(30|3)
0.006451613,1.0,(19|8)
0.006410256,1.0,(6|4)
0.004975124,1.0,(32|11)
0.004494382,2.0,(49|33)
0.003913894,2.0,(27|5)
0.003802281,1.0,(7|46)
0.003021148,1.0,(30|12)
0.002976191,1.0,(28|2)
0.002898551,1.0,(22|39)
0.002493766,1.0,(32|4)
0.002352941,1.0,(22|12)
0.002202643,1.0,(24|49)
0.001574803,1.0,(12|27)
0.001272265,1.0,(6|46)
