Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 394 | International-FCPA (jp:394,idx:155)
Class Probability,Ex Count at BMU,BMU Map Loc
0.004106776,2.0,(27|19)
0.003952569,2.0,(3|24)
0.003875969,2.0,(15|30)
0.003745318,2.0,(23|3)
0.003745318,2.0,(23|4)
0.003690037,4.0,(14|27)
0.003623188,1.0,(27|23)
0.003610108,2.0,(19|36)
0.003610108,1.0,(29|15)
0.003571429,2.0,(20|26)
0.003424658,2.0,(8|20)
0.003424658,1.0,(14|6)
0.003372681,2.0,(11|20)
0.003344482,1.0,(48|17)
0.003322259,2.0,(19|20)
0.003246753,1.0,(23|39)
0.003225806,1.0,(25|40)
0.003210273,2.0,(48|13)
0.003144654,2.0,(28|34)
0.003134796,1.0,(27|27)
0.003125000,2.0,(27|32)
0.003115265,1.0,(12|6)
0.003067485,1.0,(45|12)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002902758,2.0,(34|7)
0.002886003,2.0,(7|23)
0.002702703,1.0,(15|38)
0.002583979,1.0,(21|23)
0.002570694,1.0,(26|27)
0.002506266,2.0,(23|34)
0.002439024,1.0,(36|19)
0.002386635,1.0,(26|14)
0.002375297,1.0,(21|33)
0.002372479,2.0,(14|3)
0.002352941,1.0,(22|12)
0.002352941,2.0,(28|36)
0.002207506,1.0,(26|33)
0.002202643,1.0,(47|16)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.002105263,1.0,(18|18)
0.002028398,1.0,(22|18)
0.002024292,1.0,(49|10)
0.001834862,1.0,(30|11)
0.001821494,1.0,(28|26)
0.001748252,1.0,(8|42)
0.001675042,1.0,(17|19)
0.001602564,1.0,(19|22)
0.001574803,1.0,(12|27)
0.001545595,1.0,(17|21)
0.001515151,1.0,(33|16)
0.001515151,1.0,(34|16)
0.001404494,1.0,(18|34)
0.001356852,1.0,(20|23)
0.001226994,1.0,(26|29)
0.001135074,1.0,(34|9)
0.001121076,1.0,(28|48)
0.0009891196,1.0,(20|24)
0.0009000900,1.0,(25|25)
