Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 462 | Corporate Audit/Investigations (jp:462,idx:197)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2420857,130.0,(25|28)
0.02702703,1.0,(49|21)
0.02000000,1.0,(5|11)
0.01904762,2.0,(9|46)
0.01785714,1.0,(14|1)
0.01785714,2.0,(27|3)
0.01666667,2.0,(11|24)
0.01587302,1.0,(12|2)
0.01351351,1.0,(1|14)
0.01315789,1.0,(31|11)
0.01201201,4.0,(17|39)
0.01190476,4.0,(28|2)
0.01063830,1.0,(30|47)
0.01063830,1.0,(31|48)
0.01010101,1.0,(31|47)
0.009900990,1.0,(3|19)
0.009345794,1.0,(25|4)
0.008733625,2.0,(10|17)
0.008356546,3.0,(5|12)
0.008356546,3.0,(6|13)
0.007843138,2.0,(31|46)
0.007220217,2.0,(4|14)
0.006535948,1.0,(21|30)
0.006289308,1.0,(18|38)
0.004842615,2.0,(22|3)
0.004694836,1.0,(44|26)
0.004608295,1.0,(13|16)
0.004301075,2.0,(5|20)
0.004301075,2.0,(6|19)
0.003401360,1.0,(20|12)
0.003246753,1.0,(33|12)
0.003154574,1.0,(18|7)
0.003003003,1.0,(22|29)
0.002724796,1.0,(24|27)
0.002583979,1.0,(17|8)
0.002570694,1.0,(26|27)
0.002570694,1.0,(45|16)
0.002421308,1.0,(15|48)
0.002024292,1.0,(49|10)
0.001805054,1.0,(19|36)
0.001769911,1.0,(29|10)
0.001483680,1.0,(25|31)
0.001272265,1.0,(6|46)
0.001186240,1.0,(14|3)
