Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 285 | Bankruptcy Consumer (jp:285,idx:92)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5653595,173.0,(19|24)
0.01639344,1.0,(26|4)
0.01470588,2.0,(14|29)
0.01369863,2.0,(17|37)
0.01333333,1.0,(12|32)
0.007692308,1.0,(13|30)
0.006849315,1.0,(29|49)
0.005747126,1.0,(13|41)
0.005747126,1.0,(13|42)
0.005376344,1.0,(18|28)
0.005319149,1.0,(8|47)
0.004761905,1.0,(46|32)
0.004366812,1.0,(11|33)
0.003913894,2.0,(27|5)
0.003875969,1.0,(46|28)
0.003663004,1.0,(15|2)
0.002386635,1.0,(46|29)
0.001798561,1.0,(46|34)
0.001272265,1.0,(6|46)
