Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 367 | Class Action-Substantive-Finance (jp:367,idx:132)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5541126,128.0,(31|10)
0.07575758,5.0,(5|46)
0.07142857,1.0,(10|40)
0.03278688,2.0,(28|3)
0.03278688,2.0,(29|2)
0.02020202,2.0,(29|8)
0.01762114,4.0,(9|40)
0.01739130,2.0,(8|46)
0.01562500,2.0,(7|12)
0.01515152,1.0,(13|48)
0.01362398,5.0,(24|27)
0.01315789,1.0,(20|1)
0.01030928,1.0,(8|49)
0.009036144,3.0,(12|1)
0.009036144,3.0,(13|49)
0.008968610,2.0,(8|12)
0.008620690,1.0,(7|5)
0.007299270,1.0,(26|8)
0.006578947,1.0,(9|48)
0.005524862,1.0,(6|47)
0.005181347,1.0,(17|48)
0.004842615,2.0,(15|48)
0.003460208,1.0,(30|7)
0.003289474,1.0,(38|2)
0.003095975,1.0,(29|9)
0.002949852,1.0,(28|13)
0.002277904,1.0,(24|37)
0.001773050,1.0,(16|11)
0.001769911,1.0,(29|10)
