Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 433 | Personal Injury-Trial-Strategies (jp:433,idx:184)
Class Probability,Ex Count at BMU,BMU Map Loc
0.002631579,1.0,(25|47)
0.002577320,1.0,(11|49)
0.002386635,1.0,(9|6)
0.002202643,1.0,(47|16)
0.002173913,1.0,(28|20)
0.002169197,1.0,(31|8)
0.002139037,2.0,(25|14)
0.002118644,1.0,(21|14)
0.002024292,1.0,(49|10)
0.001912046,1.0,(34|13)
0.001647446,1.0,(24|9)
0.001642036,1.0,(44|17)
0.001623377,1.0,(30|26)
0.001449275,1.0,(12|21)
0.001443001,1.0,(7|23)
0.001443001,1.0,(29|22)
0.001356852,1.0,(20|23)
0.001265823,1.0,(9|3)
0.001264223,1.0,(4|28)
0.001127396,1.0,(30|9)
0.001082251,1.0,(33|15)
0.001048218,1.0,(28|39)
0.001048218,1.0,(29|42)
0.0009425071,1.0,(25|12)
