Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 319 | Enrolled Agents-General-Programs (jp:319,idx:109)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9196429,103.0,(31|41)
0.6153846,8.0,(32|40)
0.5597668,192.0,(31|40)
0.3768657,101.0,(31|39)
0.2907489,66.0,(32|41)
0.1648352,15.0,(30|39)
0.1111111,3.0,(31|42)
0.06535948,10.0,(30|40)
0.02551020,5.0,(35|45)
0.01886792,1.0,(36|45)
0.01574803,2.0,(30|41)
0.01485149,3.0,(0|47)
0.01142857,2.0,(42|5)
0.009868421,3.0,(38|2)
0.007246377,2.0,(49|43)
0.006410256,1.0,(37|44)
0.005586592,1.0,(40|5)
0.004184100,1.0,(46|37)
0.004048583,1.0,(46|43)
0.003787879,1.0,(46|44)
0.003649635,1.0,(38|48)
0.002427184,1.0,(32|34)
0.002262444,1.0,(34|44)
