Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 290 | Emp-Labor/Unions (jp:290,idx:97)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6451613,20.0,(5|1)
0.5200698,298.0,(30|14)
0.1818182,2.0,(29|14)
0.1684211,16.0,(30|13)
0.1349206,17.0,(31|13)
0.1250000,10.0,(49|7)
0.1052632,2.0,(10|0)
0.1025641,4.0,(4|7)
0.06451613,2.0,(5|2)
0.05882353,6.0,(1|8)
0.05555556,1.0,(31|14)
0.04255319,4.0,(11|0)
0.04081633,2.0,(0|10)
0.03703704,3.0,(0|8)
0.03448276,2.0,(9|25)
0.03030303,2.0,(6|1)
0.02380952,1.0,(1|6)
0.02222222,1.0,(1|11)
0.02127660,1.0,(8|26)
0.02083333,1.0,(8|11)
0.01818182,1.0,(17|0)
0.01595745,3.0,(8|47)
0.01492537,1.0,(7|49)
0.01428571,2.0,(11|3)
0.01369863,1.0,(1|7)
0.01351351,2.0,(6|49)
0.01333333,2.0,(7|7)
0.01190476,1.0,(6|8)
0.01104972,2.0,(6|47)
0.009708738,1.0,(9|34)
0.009708738,1.0,(10|49)
0.009174312,1.0,(6|5)
0.008968610,2.0,(8|12)
0.008771930,1.0,(4|11)
0.008620690,2.0,(5|10)
0.007751938,1.0,(14|2)
0.007633588,1.0,(8|0)
0.007633588,1.0,(9|4)
0.007263923,3.0,(15|48)
0.007194245,1.0,(6|9)
0.007092198,1.0,(31|0)
0.006944444,1.0,(2|14)
0.006772009,3.0,(8|14)
0.006666667,1.0,(46|31)
0.006172840,1.0,(10|14)
0.005952381,1.0,(2|10)
0.005128205,1.0,(34|15)
0.004950495,2.0,(1|10)
0.004310345,1.0,(26|11)
0.003952569,1.0,(32|12)
0.003861004,2.0,(15|41)
0.003546099,1.0,(16|13)
0.003236246,1.0,(18|15)
0.003154574,1.0,(30|15)
0.002577320,1.0,(11|49)
0.002352941,1.0,(22|12)
