Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 339 | Tax Prep-Trusts-Estates (jp:339,idx:120)
Class Probability,Ex Count at BMU,BMU Map Loc
0.04722222,17.0,(38|45)
0.04716981,5.0,(39|13)
0.04601227,15.0,(40|27)
0.04590164,14.0,(36|30)
0.04589372,19.0,(32|35)
0.04568528,9.0,(1|49)
0.04568528,9.0,(37|48)
0.04561403,13.0,(38|34)
0.04559271,15.0,(49|40)
0.04545455,6.0,(39|10)
0.04545455,8.0,(45|46)
0.04508197,11.0,(33|42)
0.04464286,10.0,(43|46)
0.04444445,6.0,(37|24)
0.04430380,7.0,(35|47)
0.04347826,2.0,(38|15)
0.04347826,3.0,(40|2)
0.04310345,5.0,(37|29)
0.04291845,10.0,(41|33)
0.04269663,19.0,(49|33)
0.04255319,2.0,(38|31)
0.04242424,7.0,(41|1)
0.04225352,6.0,(46|4)
0.04210526,8.0,(34|34)
0.04166667,1.0,(23|33)
0.04166667,6.0,(38|41)
0.04166667,11.0,(46|44)
0.04166667,2.0,(48|30)
0.04150943,11.0,(42|44)
0.04149378,10.0,(41|15)
0.04132231,5.0,(42|11)
0.04132231,5.0,(43|31)
0.04095563,12.0,(39|37)
0.04081633,8.0,(39|45)
0.04032258,5.0,(39|38)
0.04000000,11.0,(41|37)
0.03977273,7.0,(1|42)
0.03968254,10.0,(37|40)
0.03947368,6.0,(41|25)
0.03947368,3.0,(41|28)
0.03937008,5.0,(0|39)
0.03921569,6.0,(0|43)
0.03911981,16.0,(38|29)
0.03874092,16.0,(15|48)
0.03873239,11.0,(44|40)
0.03846154,4.0,(48|1)
0.03829787,9.0,(45|40)
0.03802281,10.0,(45|42)
0.03730797,51.0,(31|34)
0.03730797,51.0,(32|36)
0.03703704,4.0,(2|46)
0.03703704,12.0,(36|26)
0.03703704,5.0,(37|27)
0.03652968,8.0,(36|35)
0.03647416,12.0,(49|38)
0.03623188,5.0,(43|9)
0.03589744,14.0,(39|14)
0.03571429,7.0,(45|30)
0.03488372,9.0,(46|28)
0.03468208,6.0,(0|3)
0.03468208,6.0,(38|11)
0.03463203,8.0,(35|3)
0.03448276,5.0,(46|3)
0.03412073,13.0,(39|41)
0.03389831,2.0,(41|3)
0.03361345,4.0,(44|48)
0.03361345,4.0,(45|35)
0.03359173,13.0,(42|28)
0.03351955,6.0,(40|5)
0.03333334,4.0,(44|9)
0.03305785,4.0,(2|26)
0.03305785,4.0,(39|42)
0.03296703,6.0,(37|31)
0.03284672,9.0,(43|45)
0.03278688,4.0,(34|45)
0.03278688,10.0,(49|4)
0.03278688,10.0,(49|5)
0.03269448,29.0,(34|27)
0.03252032,4.0,(37|45)
0.03252032,4.0,(44|30)
0.03225806,9.0,(36|27)
0.03205128,5.0,(40|49)
0.03174603,6.0,(47|0)
0.03169014,9.0,(39|35)
0.03157895,3.0,(30|13)
0.03144654,5.0,(1|46)
0.03142857,22.0,(42|33)
0.03141361,6.0,(42|45)
0.03134796,10.0,(35|30)
0.03131115,16.0,(45|47)
0.03125000,6.0,(41|27)
0.03125000,3.0,(42|48)
0.03125000,1.0,(43|29)
0.03125000,1.0,(48|35)
0.03076923,2.0,(44|0)
0.03061225,3.0,(40|14)
0.03050848,9.0,(41|45)
0.03048781,5.0,(48|22)
0.03012048,10.0,(31|35)
0.03007519,8.0,(33|34)
0.03007519,4.0,(33|35)
0.03007519,4.0,(37|2)
0.02985075,2.0,(49|25)
0.02941176,1.0,(16|35)
0.02898551,2.0,(45|31)
0.02891566,12.0,(35|6)
0.02857143,5.0,(0|25)
0.02857143,3.0,(36|12)
0.02857143,3.0,(46|35)
0.02845529,7.0,(0|41)
0.02824859,5.0,(37|14)
0.02777778,5.0,(37|36)
0.02758621,8.0,(46|45)
0.02739726,22.0,(45|10)
0.02702703,4.0,(43|27)
0.02684564,4.0,(3|0)
0.02666667,6.0,(3|26)
0.02666667,8.0,(40|45)
0.02597403,12.0,(36|28)
0.02586207,6.0,(44|38)
0.02581756,15.0,(35|23)
0.02571429,9.0,(38|12)
0.02569170,13.0,(37|28)
0.02564103,6.0,(3|43)
0.02538071,5.0,(47|44)
0.02531646,2.0,(49|30)
0.02523659,8.0,(44|35)
0.02500000,4.0,(0|23)
0.02500000,2.0,(12|20)
0.02484472,4.0,(4|49)
0.02479339,3.0,(44|1)
0.02469136,2.0,(1|0)
0.02397260,7.0,(43|48)
0.02336449,10.0,(48|33)
0.02331002,10.0,(37|26)
0.02325581,2.0,(46|2)
0.02304148,5.0,(43|26)
0.02290076,3.0,(2|23)
0.02272727,1.0,(42|29)
0.02238806,6.0,(42|26)
0.02222222,5.0,(42|25)
0.02185792,4.0,(34|5)
0.02181818,6.0,(36|9)
0.02162162,4.0,(2|42)
0.02162162,4.0,(37|47)
0.02162162,4.0,(44|47)
0.02158273,3.0,(1|30)
0.02156334,8.0,(35|42)
0.02127660,3.0,(44|28)
0.02115385,22.0,(36|25)
0.02112676,3.0,(39|34)
0.02098765,17.0,(39|31)
0.02086438,14.0,(34|30)
0.02083333,7.0,(28|2)
0.02083333,4.0,(39|17)
0.02083333,4.0,(45|8)
0.02061856,2.0,(2|2)
0.02006689,6.0,(47|45)
0.02000000,4.0,(47|39)
0.01973684,6.0,(38|2)
0.01971831,7.0,(35|26)
