Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 252 | Elder Law (jp:252,idx:69)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(1|28)
1.000000,3.0,(47|32)
0.9239631,802.0,(1|23)
0.9054054,201.0,(3|23)
0.8873518,449.0,(3|24)
0.8375000,134.0,(0|23)
0.7372881,87.0,(2|24)
0.7152778,103.0,(49|26)
0.6666667,26.0,(0|22)
0.6467662,130.0,(49|23)
0.6431227,173.0,(49|22)
0.5954198,78.0,(2|23)
0.5693431,78.0,(48|27)
0.5306122,26.0,(48|26)
0.5000000,1.0,(48|28)
0.5000000,1.0,(49|29)
0.4823529,41.0,(0|28)
0.4615385,12.0,(2|22)
0.4589041,134.0,(1|24)
0.4380952,92.0,(46|32)
0.4210526,8.0,(47|30)
0.4000000,48.0,(2|25)
0.3846154,15.0,(1|22)
0.3713080,88.0,(3|25)
0.3666667,22.0,(0|24)
0.3142857,55.0,(0|25)
0.3134328,42.0,(48|32)
0.2903226,36.0,(1|25)
0.2753623,38.0,(49|28)
0.2702703,40.0,(0|27)
0.2678571,15.0,(0|26)
0.2500000,2.0,(49|27)
0.2388060,16.0,(49|25)
0.2311111,52.0,(3|26)
0.2000000,2.0,(4|23)
0.1923077,5.0,(5|45)
0.1900826,23.0,(2|26)
0.1896552,22.0,(48|23)
0.1843318,40.0,(48|29)
0.1730769,9.0,(3|22)
0.1646342,27.0,(48|22)
0.1428571,4.0,(47|27)
0.1295681,39.0,(1|26)
0.1250000,2.0,(47|31)
0.1250000,6.0,(48|30)
0.1228070,7.0,(47|26)
0.1214953,13.0,(25|4)
0.1081081,4.0,(48|25)
0.1081081,4.0,(49|21)
0.1052632,2.0,(0|21)
0.09523810,12.0,(5|18)
0.07692308,4.0,(5|19)
0.07031250,9.0,(1|27)
0.06735751,13.0,(47|23)
0.06666667,1.0,(4|24)
0.06557377,4.0,(26|4)
0.06400000,8.0,(49|24)
0.06375839,19.0,(2|27)
0.06060606,4.0,(5|46)
0.05825243,6.0,(21|12)
0.05521473,9.0,(48|24)
0.05468750,7.0,(25|6)
0.05235602,10.0,(47|24)
0.05136986,15.0,(47|22)
0.04444445,2.0,(19|2)
0.04255319,2.0,(9|30)
0.04093567,7.0,(48|31)
0.03797468,3.0,(49|30)
0.03571429,1.0,(5|47)
0.03333334,7.0,(10|2)
0.03311258,5.0,(5|17)
0.03225806,1.0,(19|12)
0.02649007,4.0,(33|44)
0.02500000,2.0,(41|21)
0.02285714,4.0,(11|27)
0.02255639,3.0,(7|47)
0.02252252,5.0,(38|25)
0.02173913,1.0,(22|13)
0.02173913,4.0,(37|6)
0.02142857,3.0,(7|48)
0.02110818,8.0,(24|35)
0.02000000,2.0,(47|25)
0.01805054,5.0,(18|13)
0.01754386,1.0,(21|13)
0.01742160,5.0,(46|22)
0.01538462,6.0,(19|0)
0.01449275,1.0,(40|2)
0.01382488,3.0,(43|26)
0.01273885,2.0,(15|22)
0.01272265,10.0,(6|46)
0.01204819,2.0,(41|20)
0.01190476,1.0,(11|21)
0.01190476,1.0,(12|22)
0.01158301,3.0,(2|36)
0.01127214,7.0,(9|12)
0.01083033,3.0,(29|15)
0.01069519,2.0,(28|9)
0.01063830,1.0,(1|16)
0.01047120,2.0,(20|13)
0.01041667,1.0,(18|1)
0.01020408,3.0,(20|12)
0.009900990,1.0,(20|0)
0.009803922,1.0,(1|8)
0.008620690,3.0,(37|5)
0.008438818,2.0,(34|49)
0.008356546,3.0,(12|46)
0.008174387,3.0,(24|27)
0.008130081,1.0,(23|11)
0.007905139,2.0,(6|18)
0.007352941,1.0,(19|10)
0.007317073,3.0,(36|19)
0.007299270,1.0,(30|2)
0.007142857,1.0,(33|49)
0.006622517,1.0,(1|2)
0.006622517,1.0,(22|33)
0.006451613,3.0,(5|20)
0.006451613,3.0,(6|19)
0.006250000,1.0,(15|49)
0.006211180,1.0,(44|2)
0.006172840,1.0,(4|15)
0.006024096,2.0,(12|1)
0.006024096,2.0,(13|49)
0.005882353,1.0,(23|14)
0.005747126,1.0,(22|9)
0.005494506,1.0,(22|7)
0.005347594,1.0,(18|0)
0.005319149,1.0,(8|47)
0.005277045,2.0,(25|11)
0.004878049,1.0,(13|25)
0.004842615,2.0,(22|3)
0.004683841,2.0,(23|32)
0.004555809,2.0,(24|37)
0.004545454,1.0,(6|37)
0.004524887,2.0,(34|44)
0.004514673,2.0,(8|14)
0.004454343,2.0,(40|1)
0.004310345,2.0,(40|4)
0.004291845,1.0,(46|23)
0.004149378,1.0,(23|13)
0.003875969,1.0,(31|3)
0.003773585,1.0,(48|2)
0.003558719,1.0,(12|11)
0.003267974,1.0,(19|24)
0.003154574,1.0,(35|4)
0.003134796,1.0,(21|36)
0.003039514,1.0,(46|0)
0.003030303,1.0,(24|29)
0.002873563,1.0,(6|40)
0.002873563,1.0,(7|40)
0.002873563,1.0,(7|41)
0.002793296,2.0,(35|22)
0.002702703,1.0,(17|26)
0.002631579,1.0,(46|24)
0.002583979,1.0,(17|8)
0.002493766,1.0,(32|4)
0.002475247,1.0,(1|10)
0.002421308,1.0,(15|48)
0.002375297,1.0,(21|33)
0.002352941,1.0,(22|12)
0.002267574,1.0,(20|10)
0.001879699,1.0,(21|35)
0.001869159,1.0,(19|15)
0.001795332,1.0,(6|29)
0.001773050,1.0,(16|11)
0.001449275,1.0,(12|21)
