Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 359 | Antitrust Vertical (jp:359,idx:124)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8235294,42.0,(23|2)
0.7619048,224.0,(24|2)
0.5329670,97.0,(24|3)
0.5121951,42.0,(25|2)
0.4545455,10.0,(25|3)
0.4054054,45.0,(24|1)
0.3809524,8.0,(12|0)
0.3652968,80.0,(23|1)
0.2857143,2.0,(8|13)
0.2500000,2.0,(9|47)
0.2311828,43.0,(12|49)
0.1428571,1.0,(27|2)
0.07236842,11.0,(9|48)
0.05813954,5.0,(11|47)
0.05813954,5.0,(12|48)
0.05434782,5.0,(25|1)
0.04761905,1.0,(13|2)
0.04040404,4.0,(26|2)
0.03030303,2.0,(5|46)
0.03030303,1.0,(22|1)
0.02727273,3.0,(10|45)
0.02439024,2.0,(2|9)
0.01807229,6.0,(12|1)
0.01807229,6.0,(13|49)
0.01587302,1.0,(12|2)
0.01515152,1.0,(13|48)
0.01470588,1.0,(13|1)
0.01369863,2.0,(17|37)
0.01354402,6.0,(8|14)
0.01111111,2.0,(6|45)
0.009433962,1.0,(30|45)
0.009345794,1.0,(1|32)
0.008968610,2.0,(8|12)
0.008771930,1.0,(6|31)
0.008547009,2.0,(17|46)
0.007915568,3.0,(24|35)
0.007633588,1.0,(8|0)
0.007633588,1.0,(9|4)
0.007575758,1.0,(1|21)
0.007352941,1.0,(14|29)
0.006535948,1.0,(21|30)
0.005791506,3.0,(15|41)
0.005649718,1.0,(16|39)
0.005347594,1.0,(28|9)
0.004750594,2.0,(21|33)
0.003952569,1.0,(0|14)
0.003597122,1.0,(15|47)
0.003584229,1.0,(24|0)
0.003389830,1.0,(14|47)
0.003030303,1.0,(24|29)
0.002710027,1.0,(27|7)
0.002531646,1.0,(31|44)
0.002421308,1.0,(15|48)
0.002409639,1.0,(17|40)
0.001956947,1.0,(27|5)
0.001748252,1.0,(8|42)
0.001745201,1.0,(30|14)
0.001686341,1.0,(11|20)
0.001610306,1.0,(9|12)
