Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 326 | Banking Lit-Consumer-Finance (jp:326,idx:110)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8980263,273.0,(15|21)
0.7338129,102.0,(16|22)
0.4086021,38.0,(15|23)
0.4076433,64.0,(15|22)
0.4044944,36.0,(14|22)
0.1304348,18.0,(16|23)
0.1111111,1.0,(15|24)
0.07692308,1.0,(14|0)
0.06666667,1.0,(12|12)
0.05263158,1.0,(28|10)
0.03921569,2.0,(14|23)
0.02777778,1.0,(9|33)
0.02380952,3.0,(5|18)
0.02112676,3.0,(11|23)
0.01851852,3.0,(9|37)
0.01851852,3.0,(10|37)
0.01818182,1.0,(17|0)
0.01807229,3.0,(23|23)
0.01724138,2.0,(10|35)
0.01612903,1.0,(14|30)
0.01492537,1.0,(7|49)
0.01470588,1.0,(10|36)
0.01452785,6.0,(15|48)
0.01382488,3.0,(48|29)
0.01257862,4.0,(27|15)
0.01142857,2.0,(11|27)
0.01140684,3.0,(10|23)
0.01030928,4.0,(11|49)
0.01000000,1.0,(13|24)
0.009708738,1.0,(10|49)
0.009259259,1.0,(10|5)
0.009029346,4.0,(8|14)
0.008547009,2.0,(9|38)
0.008333334,1.0,(11|24)
0.008298756,2.0,(41|15)
0.007299270,1.0,(26|8)
0.006535948,2.0,(19|24)
0.005449591,2.0,(24|27)
0.005434783,1.0,(37|6)
0.004878049,2.0,(36|19)
0.004000000,1.0,(8|28)
0.003913894,2.0,(27|5)
0.003584229,1.0,(13|36)
0.003424658,1.0,(13|23)
0.003278689,1.0,(10|13)
0.003067485,1.0,(26|31)
0.002638523,1.0,(25|11)
0.002583979,1.0,(21|23)
0.002570694,1.0,(26|27)
0.002352941,1.0,(22|12)
0.002341920,1.0,(23|32)
0.002020202,1.0,(12|35)
0.001834862,1.0,(29|5)
0.001808318,1.0,(11|22)
0.001272265,1.0,(6|46)
0.001265823,1.0,(9|3)
