Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 391 | Patent-Prosecution (jp:391,idx:152)
Class Probability,Ex Count at BMU,BMU Map Loc
0.04878049,4.0,(2|9)
0.04838710,6.0,(19|40)
0.04724409,6.0,(31|24)
0.04705882,4.0,(3|37)
0.04651163,2.0,(5|42)
0.04651163,2.0,(6|43)
0.04427083,17.0,(9|13)
0.04292929,17.0,(27|0)
0.04255319,2.0,(8|26)
0.04166667,5.0,(26|37)
0.04109589,3.0,(30|21)
0.03899721,14.0,(12|46)
0.03888889,7.0,(18|41)
0.03846154,1.0,(13|7)
0.03846154,10.0,(20|39)
0.03752759,17.0,(26|33)
0.03750000,3.0,(8|5)
0.03743315,7.0,(18|0)
0.03731343,5.0,(5|43)
0.03571429,1.0,(10|22)
0.03571429,1.0,(19|49)
0.03508772,28.0,(23|34)
0.03508772,4.0,(27|35)
0.03496503,5.0,(29|35)
0.03465347,14.0,(31|22)
0.03459119,22.0,(28|34)
0.03448276,1.0,(16|1)
0.03411765,29.0,(28|36)
0.03409091,21.0,(30|26)
0.03286385,7.0,(18|40)
0.03278688,2.0,(2|8)
0.03188406,11.0,(22|39)
0.03108808,6.0,(17|48)
0.03076923,6.0,(34|15)
0.03050848,9.0,(14|47)
0.03030303,3.0,(16|40)
0.03030303,1.0,(22|1)
0.02941176,5.0,(21|40)
0.02919708,4.0,(25|37)
0.02912621,3.0,(17|35)
0.02898551,8.0,(19|38)
0.02857143,2.0,(16|2)
0.02857143,1.0,(25|36)
0.02826855,8.0,(24|38)
0.02824859,5.0,(16|39)
0.02678571,6.0,(14|45)
0.02678571,6.0,(14|46)
0.02654867,12.0,(32|14)
0.02649007,4.0,(22|33)
0.02599388,17.0,(31|21)
0.02590674,5.0,(22|30)
0.02583979,10.0,(17|8)
0.02580645,4.0,(29|41)
0.02531646,2.0,(11|7)
0.02510460,6.0,(5|39)
0.02500000,2.0,(12|20)
0.02459016,3.0,(22|4)
0.02439024,2.0,(7|18)
0.02430556,7.0,(21|37)
0.02395210,4.0,(29|40)
0.02380952,2.0,(24|25)
0.02352941,4.0,(23|14)
0.02298851,6.0,(25|32)
0.02293578,10.0,(25|33)
0.02173913,2.0,(14|48)
0.02127660,2.0,(31|48)
0.02105263,2.0,(16|49)
