Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 246 | M&A Litigation (jp:246,idx:65)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2185090,85.0,(26|27)
0.07692308,1.0,(2|21)
0.06425703,16.0,(15|36)
0.02985075,4.0,(5|43)
0.02597403,4.0,(16|36)
0.02189781,3.0,(30|2)
0.02127660,1.0,(29|1)
0.01886792,3.0,(18|38)
0.01515152,2.0,(1|21)
0.01515152,1.0,(6|1)
0.01290323,2.0,(29|41)
0.01098901,1.0,(10|4)
0.01000000,1.0,(4|43)
0.01000000,1.0,(5|44)
0.009523810,1.0,(9|46)
0.008928572,1.0,(16|37)
0.008695652,1.0,(1|36)
0.008583691,2.0,(16|38)
0.008064516,3.0,(15|37)
0.006578947,1.0,(11|10)
0.006535948,1.0,(6|44)
0.005791506,3.0,(15|41)
0.005747126,1.0,(13|41)
0.005747126,1.0,(13|42)
0.005263158,1.0,(17|7)
0.005235602,1.0,(10|27)
0.004878049,1.0,(15|39)
0.004694836,1.0,(44|26)
0.004405286,1.0,(9|40)
0.004405286,1.0,(24|31)
0.004329004,1.0,(35|3)
0.003921569,1.0,(31|46)
0.003861004,1.0,(2|36)
0.003663004,1.0,(6|36)
0.003584229,1.0,(13|36)
0.003472222,1.0,(21|37)
0.003278689,1.0,(10|13)
0.002785515,1.0,(12|46)
0.002724796,1.0,(24|27)
0.002702703,1.0,(15|38)
0.002666667,1.0,(24|40)
0.002531646,1.0,(31|44)
0.002247191,1.0,(49|33)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.002118644,1.0,(21|14)
0.002000000,1.0,(13|10)
0.001798561,1.0,(46|34)
0.001748252,1.0,(8|42)
0.001610306,1.0,(9|12)
