Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 259 | Science/Technology (jp:259,idx:74)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2351097,75.0,(21|36)
0.1909722,55.0,(21|37)
0.1729323,92.0,(21|35)
0.05555556,2.0,(7|14)
0.05555556,2.0,(9|14)
0.03816794,5.0,(22|37)
0.03030303,1.0,(22|38)
0.01818182,1.0,(17|0)
0.01562500,1.0,(20|37)
0.01063830,1.0,(11|0)
0.008196721,3.0,(22|35)
0.008000000,1.0,(22|36)
0.007874016,1.0,(10|21)
0.006451613,1.0,(20|35)
0.006191950,2.0,(14|43)
0.005917160,1.0,(3|15)
0.005277045,2.0,(24|35)
0.005154639,2.0,(11|49)
0.004830918,1.0,(19|39)
0.004761905,1.0,(10|2)
0.004629630,1.0,(1|13)
0.004629630,1.0,(30|48)
0.004405286,1.0,(24|31)
0.004329004,2.0,(42|15)
0.003460208,1.0,(19|46)
0.003225806,1.0,(16|41)
0.003067485,1.0,(26|31)
0.002849003,1.0,(29|48)
0.002531646,1.0,(31|44)
0.002409639,1.0,(17|40)
0.002293578,1.0,(25|33)
0.001686341,1.0,(11|20)
