Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 464 | Corporate D&O Issues (jp:464,idx:199)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1250000,1.0,(9|47)
0.07635009,41.0,(25|28)
0.01595745,3.0,(24|28)
0.01142857,2.0,(12|28)
0.01063830,1.0,(31|48)
0.009803922,1.0,(3|5)
0.009009009,3.0,(17|39)
0.008928572,1.0,(16|37)
0.008928572,1.0,(24|32)
0.008771930,1.0,(4|11)
0.007042253,1.0,(4|13)
0.005617978,1.0,(13|13)
0.005524862,1.0,(13|9)
0.005494506,1.0,(24|3)
0.005449591,2.0,(24|27)
0.004608295,1.0,(30|20)
0.003401360,1.0,(13|3)
0.002915452,1.0,(34|20)
0.002832861,1.0,(26|30)
0.002702703,1.0,(15|38)
0.002493766,1.0,(32|4)
0.002024292,1.0,(49|10)
0.001956947,1.0,(27|5)
0.001769911,1.0,(29|10)
0.001748252,1.0,(8|42)
0.001712329,1.0,(8|20)
0.001602564,1.0,(19|22)
0.001272265,1.0,(6|46)
