Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 465 | Corporate Legal Dept Policy (jp:465,idx:200)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3233083,86.0,(24|30)
0.1857143,13.0,(26|28)
0.05263158,1.0,(27|49)
0.03571429,1.0,(19|49)
0.03030303,1.0,(22|1)
0.02380952,1.0,(18|37)
0.02202643,5.0,(24|31)
0.01190476,1.0,(11|21)
0.01190476,1.0,(12|22)
0.01098901,1.0,(3|11)
0.009009009,3.0,(17|39)
0.009009009,1.0,(24|1)
0.008733625,2.0,(10|17)
0.008196721,1.0,(22|4)
0.006944444,1.0,(2|14)
0.006211180,1.0,(2|13)
0.006097561,1.0,(48|22)
0.005917160,1.0,(3|15)
0.005847953,1.0,(3|20)
0.005154639,1.0,(7|42)
0.005154639,1.0,(7|43)
0.004484305,1.0,(26|7)
0.003787879,1.0,(15|12)
0.002994012,1.0,(6|12)
0.002570694,1.0,(26|27)
0.002439024,1.0,(47|9)
0.002409639,1.0,(17|40)
0.002293578,1.0,(25|33)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.001872659,1.0,(23|3)
0.001872659,1.0,(23|4)
0.001574803,1.0,(12|27)
0.001483680,1.0,(25|31)
