Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 143 | Trademarks (jp:143,idx:30)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01626016,2.0,(44|30)
0.01621622,3.0,(16|26)
0.01587302,1.0,(11|29)
0.01562500,6.0,(9|13)
0.01554404,3.0,(16|43)
0.01526718,2.0,(8|0)
0.01526718,2.0,(9|4)
0.01515152,1.0,(5|46)
0.01515152,3.0,(24|41)
0.01498127,4.0,(18|42)
0.01408451,1.0,(13|45)
0.01369863,1.0,(30|21)
0.01366743,6.0,(24|37)
0.01360544,2.0,(11|6)
0.01354402,6.0,(8|14)
0.01346801,4.0,(15|44)
0.01324503,2.0,(22|33)
0.01319261,5.0,(25|11)
0.01315789,1.0,(6|6)
0.01285347,5.0,(26|27)
0.01282051,2.0,(15|46)
0.01273885,2.0,(26|42)
0.01265823,1.0,(11|7)
0.01265823,2.0,(23|37)
0.01250000,1.0,(8|5)
0.01234568,1.0,(27|45)
0.01234568,1.0,(42|19)
0.01219512,1.0,(2|9)
0.01212121,6.0,(20|38)
0.01204819,1.0,(23|44)
0.01197605,2.0,(0|17)
0.01176471,2.0,(21|40)
0.01149425,1.0,(24|48)
0.01142857,2.0,(12|28)
0.01136364,1.0,(18|9)
0.01136364,2.0,(24|42)
0.01136364,3.0,(26|44)
0.01127820,6.0,(21|35)
0.01111111,2.0,(19|44)
0.01111111,1.0,(28|41)
0.01092896,2.0,(25|41)
0.01081081,2.0,(13|43)
0.01047120,2.0,(16|25)
0.01041667,3.0,(21|37)
0.01030928,4.0,(11|49)
0.01025641,4.0,(46|25)
0.01020408,2.0,(0|19)
0.01020408,2.0,(45|30)
0.009756098,2.0,(15|42)
0.009732360,4.0,(20|42)
0.009677419,3.0,(25|48)
0.009404388,3.0,(27|27)
0.009389671,2.0,(44|26)
0.009345794,3.0,(12|6)
0.009345794,2.0,(18|46)
0.009259259,2.0,(17|43)
0.009216590,2.0,(21|43)
0.009174312,2.0,(25|44)
0.008810572,2.0,(18|43)
0.008620690,3.0,(6|40)
0.008620690,3.0,(7|40)
0.008620690,3.0,(7|41)
0.008547009,2.0,(17|42)
0.008356546,3.0,(12|46)
0.008264462,1.0,(8|2)
0.008152174,3.0,(21|0)
0.008130081,2.0,(18|44)
0.008064516,1.0,(26|48)
0.008000000,3.0,(24|40)
0.008000000,1.0,(49|24)
0.007812500,1.0,(47|17)
0.007751938,1.0,(21|4)
0.007633588,1.0,(8|41)
0.007407407,1.0,(4|39)
0.007407407,1.0,(43|4)
0.007352941,1.0,(14|40)
0.007352941,1.0,(24|15)
0.007272727,2.0,(12|5)
0.007246377,2.0,(19|38)
0.007194245,1.0,(26|32)
0.007159905,3.0,(26|14)
0.006944444,2.0,(8|19)
