Product ID : 2132 # of JPs covered : 1 : 332 : Bankruptcy-Reorganization, 
us_000607266,0.960194, 3.205069
us_000545943,0.960194, 3.209516
us_000461943,0.960194, 3.212933
us_000533201,0.960194, 3.213027
us_000607267,0.960194, 3.215050
us_000596030,0.960194, 3.221983
us_000470217,0.960194, 3.225117
us_000590060,0.960194, 3.228559
us_000529736,0.960194, 3.238691
us_000491197,0.960194, 3.241606
us_000482956,0.960194, 3.244290
us_000538629,0.960194, 3.254387
us_000489391,0.960194, 3.257009
us_000602928,0.960194, 3.261242
us_000568640,0.960194, 3.272842
us_000103152,0.960194, 3.284905
us_000556727,0.960194, 3.290731
us_000600817,0.960194, 3.293796
us_000527432,0.960194, 3.299135
us_000535701,0.960194, 3.308897
us_000570893,0.960194, 3.324864
us_000557813,0.960194, 3.326590
us_000596031,0.960194, 3.328606
us_000511235,0.960194, 3.342959
us_000521516,0.960194, 3.351907
us_000545241,0.960194, 3.426271
us_000520998,0.945688, 0.000000
pr_002131524,0.945688, 0.000000
pr_001684346,0.945688, 0.000000
pr_001018932,0.945688, 0.000000
pr_002141441,0.945688, 0.000000
pr_000413445,0.945688, 0.000000
pr_000628165,0.945688, 0.000000
pr_000454330,0.945688, 0.000000
pr_000826627,0.945688, 0.000000
pr_000891587,0.945688, 0.000000
pr_001909445,0.945688, 0.000000
pr_001635495,0.945688, 0.000000
pr_001734200,0.945688, 0.000000
pr_001635070,0.945688, 0.000000
pr_000824697,0.945688, 0.000000
pr_000625925,0.945688, 0.000001
pr_000887331,0.945688, 0.000001
pr_000768974,0.945688, 0.000001
pr_000737219,0.945688, 0.000011
pr_000884679,0.945688, 0.000317
us_000497856,0.945688, 1.904602
us_000481821,0.945688, 2.208065
us_000486854,0.945688, 2.293633
us_000492449,0.945688, 2.310500
us_000510411,0.945688, 2.349105
us_000487831,0.945688, 2.369177
us_000491348,0.945688, 2.407476
us_000535760,0.945688, 2.517771
us_000473243,0.945688, 2.531175
us_000496366,0.945688, 2.545263
us_000533396,0.945688, 2.556550
us_000515878,0.945688, 2.570904
us_000519318,0.945688, 2.582807
us_000522809,0.945688, 2.614894
us_000499997,0.945688, 2.655034
us_000475389,0.945688, 2.656923
us_000492046,0.945688, 2.662038
us_000496875,0.945688, 2.682639
us_000535864,0.945688, 2.723577
us_000477527,0.945688, 2.724568
us_000058873,0.945688, 2.751217
us_000535661,0.945688, 2.773106
us_000529607,0.945688, 2.794048
us_000493713,0.945688, 2.800735
us_000525338,0.945688, 2.852850
us_000576227,0.945688, 2.856922
us_000532326,0.945688, 2.916571
us_000477528,0.945688, 2.939668
us_000541439,0.945688, 2.940261
us_000510006,0.945688, 2.943415
us_000493955,0.945688, 2.948580
us_000521662,0.945688, 2.950938
us_000500106,0.945688, 2.960663
us_000546456,0.945688, 2.961467
us_000498571,0.945688, 2.990006
us_000516222,0.945688, 2.992189
us_000501023,0.945688, 2.992189
us_000502725,0.945688, 2.992470
us_000482865,0.945688, 3.005139
us_000477464,0.945688, 3.015821
us_000500935,0.945688, 3.018813
us_000499565,0.945688, 3.028676
us_000599700,0.945688, 3.052369
us_000521294,0.945688, 3.072110
us_000065098,0.945688, 3.072722
us_000524064,0.945688, 3.079230
us_000523081,0.945688, 3.096975
us_000502627,0.945688, 3.197561
pr_001129814,0.864469, 0.000000
pr_001130253,0.864469, 0.000000
pr_001401058,0.864469, 0.000000
pr_001126350,0.864469, 0.000000
pr_001130343,0.864469, 0.000000
pr_001014452,0.864469, 0.000000
pr_001128564,0.864469, 0.000000
pr_000553631,0.864469, 0.000000
pr_000979388,0.864469, 0.000000
pr_001126527,0.864469, 0.000000
pr_001128467,0.864469, 0.000000
pr_000979316,0.864469, 0.000000
pr_001128274,0.864469, 0.000000
us_000558652,0.864469, 0.000000
us_000542920,0.864469, 0.000000
us_000553651,0.864469, 0.000000
pr_001612512,0.864469, 0.000000
pr_000689893,0.864469, 0.000000
pr_001661875,0.864469, 0.000003
pr_001056907,0.864469, 0.000003
pr_000733337,0.864469, 0.000003
pr_001682170,0.864469, 0.000003
pr_000626543,0.864469, 0.000003
pr_001008637,0.864469, 0.000004
pr_002095344,0.864469, 0.000004
us_000537309,0.864469, 0.000006
pr_000526777,0.864469, 0.000007
pr_001013248,0.864469, 0.000007
pr_001033568,0.864469, 0.000012
pr_000847702,0.864469, 0.000015
pr_002062722,0.864469, 0.000019
pr_001999429,0.864469, 0.000020
pr_000633068,0.864469, 0.000026
us_000597549,0.864469, 0.000044
us_000551173,0.864469, 0.000098
us_000542916,0.864469, 0.000543
us_000476765,0.864469, 0.000860
us_000546502,0.864469, 0.001415
us_000594803,0.864469, 0.002058
us_000483853,0.864469, 0.003330
us_000478803,0.864469, 0.016506
us_000545942,0.864469, 0.032574
us_000537082,0.864469, 0.038749
us_000497706,0.864469, 0.065039
us_000531618,0.864469, 4.458370
us_000491042,0.864469, 4.718196
us_000560103,0.777007, 0.000000
us_000559765,0.777007, 0.000000
pr_000781355,0.777007, 0.000001
pr_001758997,0.777007, 0.000063
pr_000788687,0.777007, 0.000401
us_000471629,0.777007, 1.017881
us_000473779,0.777007, 1.190350
us_000476580,0.777007, 1.259432
us_000476719,0.777007, 1.363667
us_000512010,0.777007, 1.412181
us_000476759,0.777007, 1.423815
us_000476643,0.777007, 1.436329
us_000491192,0.777007, 1.450577
us_000481845,0.777007, 1.467104
us_000490873,0.777007, 1.485338
us_000463353,0.777007, 1.486486
us_000485904,0.777007, 1.488036
us_000576335,0.777007, 1.492845
us_000484868,0.777007, 1.497875
us_000482093,0.777007, 1.500889
us_000487621,0.777007, 1.526647
us_000525271,0.777007, 1.529913
us_000575420,0.777007, 1.541215
us_000491172,0.777007, 1.554852
us_000485325,0.777007, 1.559756
us_000514348,0.777007, 1.561089
us_000488469,0.777007, 1.568870
us_000492501,0.777007, 1.572358
us_000178035,0.777007, 1.584144
us_000519645,0.777007, 1.595284
us_000575537,0.777007, 1.598014
us_000525201,0.777007, 1.598846
us_000489159,0.777007, 1.609795
us_000470224,0.777007, 1.618922
us_000481104,0.777007, 1.620583
us_000499090,0.777007, 1.627873
us_000476263,0.777007, 1.629448
us_000482700,0.777007, 1.633046
us_000487481,0.777007, 1.634736
us_000481105,0.777007, 1.645534
us_000499736,0.777007, 1.646464
us_000345694,0.777007, 1.647772
us_000505568,0.777007, 1.655272
us_000499126,0.777007, 1.658865
us_000497273,0.777007, 1.664579
us_000468484,0.777007, 1.670852
us_000488251,0.777007, 1.671123
us_000478867,0.777007, 1.679084
us_000516142,0.777007, 1.679709
us_000469212,0.777007, 1.683421
us_000480856,0.777007, 1.686315
us_000089747,0.777007, 1.692705
us_000575124,0.777007, 1.712490
us_000578047,0.777007, 1.712906
us_000482739,0.777007, 1.713908
us_000488740,0.777007, 1.721212
us_000545978,0.777007, 1.725912
us_000466724,0.777007, 1.726119
us_000539466,0.777007, 1.728035
us_000543087,0.777007, 1.735133
us_000475966,0.777007, 1.739842
us_000520137,0.777007, 1.740911
us_000518576,0.777007, 1.746907
us_000522911,0.777007, 1.747767
us_000481166,0.777007, 1.749414
us_000485692,0.777007, 1.750037
us_000475571,0.777007, 1.753839
us_000065023,0.777007, 1.757184
us_000476033,0.777007, 1.764697
us_000480615,0.777007, 1.774366
us_000517059,0.777007, 1.776390
us_000486275,0.777007, 1.782373
us_000578397,0.777007, 1.787245
us_000475628,0.777007, 1.794983
us_000541325,0.777007, 1.795736
us_000498737,0.777007, 1.797248
us_000524579,0.777007, 1.798674
us_000481063,0.777007, 1.798894
us_000480308,0.777007, 1.801956
us_000505791,0.777007, 1.808678
us_000536384,0.777007, 1.817440
us_000503090,0.777007, 1.817993
us_000520743,0.777007, 1.821021
us_000482736,0.777007, 1.824832
us_000499674,0.777007, 1.828156
us_000482728,0.777007, 1.831066
us_000479773,0.777007, 1.831326
us_000501308,0.777007, 1.831944
us_000458660,0.777007, 1.833274
us_000482710,0.777007, 1.836225
us_000498552,0.777007, 1.845068
us_000518535,0.777007, 1.848485
us_000476959,0.777007, 1.850693
us_000481035,0.777007, 1.851876
us_000481834,0.777007, 1.856660
us_000537298,0.777007, 1.862115
us_000473187,0.777007, 1.862908
us_000499675,0.777007, 1.863875
us_000480739,0.777007, 1.866465
us_000482897,0.777007, 1.869073
us_000477475,0.777007, 1.869407
us_000502124,0.777007, 1.870166
us_000480291,0.777007, 1.871131
us_000481162,0.777007, 1.872577
us_000475070,0.777007, 1.875201
us_000483153,0.777007, 1.876145
us_000481167,0.777007, 1.878273
us_000502089,0.777007, 1.880689
us_000471300,0.777007, 1.881057
us_000544628,0.777007, 1.881885
us_000465146,0.777007, 1.886783
us_000113253,0.777007, 1.887805
us_000545100,0.777007, 1.896164
us_000478915,0.777007, 1.899690
us_000606221,0.777007, 1.901234
us_000481268,0.777007, 1.902210
us_000482834,0.777007, 1.906552
us_000522292,0.777007, 1.907219
us_000479900,0.777007, 1.908950
us_000480885,0.777007, 1.911415
us_000532067,0.777007, 1.916974
us_000517226,0.777007, 1.917243
us_000492231,0.777007, 1.918273
us_000513954,0.777007, 1.920941
us_000578929,0.777007, 1.923593
us_000470503,0.777007, 1.931976
us_000481204,0.777007, 1.932065
us_000497321,0.777007, 1.935802
us_000479195,0.777007, 1.939500
us_000498542,0.777007, 1.940202
us_000540345,0.777007, 1.942098
us_000505849,0.777007, 1.944875
us_000465388,0.777007, 1.946589
us_000458741,0.777007, 1.949978
us_000356449,0.777007, 1.950224
us_000482743,0.777007, 1.951861
us_000480502,0.777007, 1.951861
us_000518566,0.777007, 1.951861
us_000499350,0.777007, 1.951861
us_000481882,0.777007, 1.955159
us_000418771,0.777007, 1.955176
us_000539285,0.777007, 1.959723
us_000501670,0.777007, 1.963082
us_000475547,0.777007, 1.967190
us_000545906,0.777007, 1.970137
us_000479402,0.777007, 1.970181
us_000482851,0.777007, 1.970840
us_000540090,0.777007, 1.970987
us_000498036,0.777007, 1.970987
us_000482523,0.777007, 1.972065
us_000498736,0.777007, 1.972065
us_000498888,0.777007, 1.972065
us_000498052,0.777007, 1.972065
us_000470345,0.777007, 1.972065
us_000482510,0.777007, 1.972065
us_000482380,0.777007, 1.972065
us_000482480,0.777007, 1.972065
us_000479051,0.777007, 1.972065
us_000482076,0.777007, 1.972065
us_000518606,0.777007, 1.972065
us_000481867,0.777007, 1.972065
us_000479192,0.777007, 1.972065
us_000517941,0.777007, 1.972065
us_000479112,0.777007, 1.972065
us_000479053,0.777007, 1.972065
us_000502133,0.777007, 1.972065
us_000482896,0.777007, 1.972065
us_000544625,0.777007, 1.972065
us_000481975,0.777007, 1.972065
us_000481871,0.777007, 1.972065
us_000479708,0.777007, 1.972065
us_000479049,0.777007, 1.972065
us_000481864,0.777007, 1.972065
us_000518307,0.777007, 1.972065
us_000498735,0.777007, 1.972065
us_000479036,0.777007, 1.972065
us_000462116,0.777007, 1.972147
us_000112626,0.777007, 1.973135
us_000482101,0.777007, 1.974052
us_000480607,0.777007, 1.975953
us_000510187,0.777007, 1.978629
us_000477205,0.777007, 1.980848
us_000480614,0.777007, 1.982440
us_000535248,0.777007, 1.989743
us_000480711,0.777007, 1.994631
us_000501078,0.777007, 2.007722
us_000469147,0.777007, 2.030868
us_000492549,0.777007, 2.057681
us_000613564,0.777007, 2.107589
us_000590096,0.777007, 2.115797
us_000490517,0.777007, 2.120122
us_000466498,0.777007, 2.130228
us_000550054,0.777007, 2.154366
us_000482136,0.777007, 2.160977
us_000478774,0.777007, 2.305120
us_000505809,0.777007, 2.372823
pr_000831976,0.748610, 0.000000
pr_000234917,0.748610, 0.000001
us_000495902,0.748610, 1.383648
us_000585751,0.748610, 1.421183
us_000488853,0.748610, 1.495273
us_000461885,0.748610, 1.498786
us_000492937,0.748610, 1.501018
us_000570676,0.748610, 1.521901
us_000531992,0.748610, 1.558891
us_000498732,0.748610, 1.594820
us_000464856,0.748610, 1.609174
us_000501109,0.748610, 1.613002
us_000539827,0.748610, 1.627038
us_000484538,0.748610, 1.635456
us_000494869,0.748610, 1.643979
us_000586115,0.748610, 1.671524
us_000461511,0.748610, 1.681925
us_000536116,0.748610, 1.692389
us_000540987,0.748610, 1.696353
us_000475932,0.748610, 1.701774
us_000491145,0.748610, 1.703575
us_000490021,0.748610, 1.706165
us_000605419,0.748610, 1.708823
us_000500030,0.748610, 1.709938
us_000491297,0.748610, 1.733666
us_000493069,0.748610, 1.735012
us_000480617,0.748610, 1.735316
us_000487272,0.748610, 1.740752
us_000526228,0.748610, 1.743146
us_000509217,0.748610, 1.748609
us_000502882,0.748610, 1.751189
us_000497947,0.748610, 1.755779
us_000515624,0.748610, 1.770823
us_000486495,0.748610, 1.805736
us_000498713,0.748610, 1.809445
us_000521475,0.748610, 1.819522
pr_001808080,0.712793, 0.000000
pr_001887259,0.712793, 0.000000
pr_001939003,0.712793, 0.000000
pr_001723260,0.712793, 0.000000
pr_001780997,0.712793, 0.000000
pr_002015461,0.712793, 0.000000
pr_001806660,0.712793, 0.000000
pr_002001468,0.712793, 0.000000
pr_001809086,0.712793, 0.000000
pr_002027453,0.712793, 0.000000
pr_001789866,0.712793, 0.000000
pr_001782314,0.712793, 0.000000
pr_001784218,0.712793, 0.000000
pr_001887074,0.712793, 0.000000
pr_001893720,0.712793, 0.000000
pr_002014622,0.712793, 0.000000
pr_001887909,0.712793, 0.000000
pr_001803592,0.712793, 0.000000
pr_002036846,0.712793, 0.000000
pr_001855520,0.712793, 0.000000
pr_002038214,0.712793, 0.000000
pr_001789345,0.712793, 0.000000
pr_001888505,0.712793, 0.000000
pr_001788807,0.712793, 0.000000
pr_001939377,0.712793, 0.000000
pr_001883045,0.712793, 0.000000
pr_001778720,0.712793, 0.000000
pr_001807085,0.712793, 0.000000
pr_001942498,0.712793, 0.000000
pr_001778570,0.712793, 0.000000
pr_002045860,0.712793, 0.000000
pr_000748519,0.712793, 0.000000
pr_001785022,0.712793, 0.000000
pr_002041730,0.712793, 0.000000
pr_001801550,0.712793, 0.000000
pr_001940739,0.712793, 0.000000
pr_002046720,0.712793, 0.000000
pr_001894852,0.712793, 0.000000
pr_001778701,0.712793, 0.000000
pr_001779428,0.712793, 0.000000
pr_001888259,0.712793, 0.000000
pr_002046045,0.712793, 0.000000
pr_001893310,0.712793, 0.000000
pr_001851210,0.712793, 0.000000
pr_001804044,0.712793, 0.000000
pr_001789882,0.712793, 0.000000
pr_001790182,0.712793, 0.000000
pr_001787742,0.712793, 0.000000
pr_001808991,0.712793, 0.000000
pr_001778244,0.712793, 0.000000
pr_001864165,0.712793, 0.000000
pr_001775957,0.712793, 0.000000
pr_001782096,0.712793, 0.000000
pr_001801516,0.712793, 0.000000
pr_001792214,0.712793, 0.000000
pr_001790475,0.712793, 0.000000
pr_001801960,0.712793, 0.000000
pr_001792243,0.712793, 0.000000
pr_001776950,0.712793, 0.000000
pr_001888383,0.712793, 0.000000
pr_001854092,0.712793, 0.000000
pr_001775158,0.712793, 0.000000
pr_001800718,0.712793, 0.000000
pr_001886976,0.712793, 0.000000
pr_002045508,0.712793, 0.000000
pr_002046060,0.712793, 0.000000
pr_001939951,0.712793, 0.000000
pr_001888076,0.712793, 0.000000
pr_002044527,0.712793, 0.000000
pr_001807756,0.712793, 0.000000
pr_001853070,0.712793, 0.000000
pr_002039158,0.712793, 0.000000
pr_001949354,0.712793, 0.000000
pr_002079977,0.712793, 0.000000
pr_001983418,0.712793, 0.000000
pr_001417964,0.712793, 0.000000
pr_002155532,0.712793, 0.000000
pr_001950046,0.712793, 0.000000
pr_000419929,0.712793, 0.000000
pr_000227784,0.712793, 0.000000
pr_001907687,0.712793, 0.000000
pr_000416456,0.712793, 0.000000
pr_000787486,0.712793, 0.000000
pr_000962802,0.712793, 0.000000
pr_002159957,0.712793, 0.000000
pr_001015676,0.712793, 0.000000
pr_001764356,0.712793, 0.000000
pr_001669504,0.712793, 0.000000
pr_000321042,0.712793, 0.000000
pr_002161109,0.712793, 0.000000
pr_000426131,0.712793, 0.000000
pr_000889566,0.712793, 0.000000
pr_001899472,0.712793, 0.000000
pr_001981636,0.712793, 0.000000
pr_000013887,0.712793, 0.000000
pr_000418004,0.712793, 0.000000
pr_001075554,0.712793, 0.000000
pr_000783849,0.712793, 0.000000
pr_002067179,0.712793, 0.000000
pr_002159986,0.712793, 0.000000
pr_001935962,0.712793, 0.000000
pr_000024315,0.712793, 0.000000
pr_001719205,0.712793, 0.000000
pr_001096969,0.712793, 0.000000
pr_000426594,0.712793, 0.000000
pr_001691496,0.712793, 0.000000
pr_002160037,0.712793, 0.000000
pr_001967259,0.712793, 0.000000
pr_002082631,0.712793, 0.000000
pr_001735013,0.712793, 0.000000
pr_000624374,0.712793, 0.000000
pr_002169387,0.712793, 0.000000
pr_001955073,0.712793, 0.000000
pr_001602856,0.712793, 0.000000
pr_001739022,0.712793, 0.000000
pr_000217600,0.712793, 0.000000
pr_001902389,0.712793, 0.000000
pr_002072168,0.712793, 0.000000
pr_001025461,0.712793, 0.000000
pr_001906052,0.712793, 0.000000
pr_002195202,0.712793, 0.000000
pr_000312107,0.712793, 0.000000
pr_000980070,0.712793, 0.000000
pr_000833285,0.712793, 0.000000
pr_000940023,0.712793, 0.000000
pr_002192204,0.712793, 0.000000
pr_000100881,0.712793, 0.000000
pr_000311069,0.712793, 0.000000
pr_001870854,0.712793, 0.000000
pr_000742101,0.712793, 0.000000
pr_000107153,0.712793, 0.000000
pr_000997378,0.712793, 0.000000
pr_000995430,0.712793, 0.000000
pr_001927824,0.712793, 0.000000
pr_000019526,0.712793, 0.000000
pr_002159674,0.712793, 0.000000
pr_001911149,0.712793, 0.000000
pr_001093925,0.712793, 0.000000
pr_001095196,0.712793, 0.000000
pr_001898355,0.712793, 0.000000
pr_000741488,0.712793, 0.000000
pr_000802855,0.712793, 0.000000
pr_002056314,0.712793, 0.000000
pr_000740839,0.712793, 0.000000
pr_001667457,0.712793, 0.000000
pr_000084796,0.712793, 0.000000
us_000520972,0.712793, 0.000000
us_000481566,0.712793, 0.000001
us_000493215,0.712793, 0.000001
pr_000400779,0.712793, 0.000001
pr_000740472,0.712793, 0.000001
pr_001781451,0.712793, 0.000002
pr_001782739,0.712793, 0.000002
pr_001014403,0.712793, 0.000006
pr_000012178,0.712793, 0.000006
pr_000082908,0.712793, 0.000011
pr_000567537,0.712793, 0.000015
pr_000964904,0.712793, 0.000033
us_000608112,0.712793, 0.000170
us_000606342,0.712793, 0.000194
us_000600360,0.712793, 0.000351
us_000571677,0.712793, 0.000408
us_000466616,0.712793, 0.012021
us_000518119,0.712793, 2.640129
us_000533917,0.712793, 2.854441
us_000260693,0.712793, 3.157577
us_000574580,0.712793, 3.366055
us_000534001,0.712793, 3.397267
us_000567566,0.712793, 3.476426
us_000524059,0.712793, 3.486218
us_000518065,0.712793, 3.494004
us_000524097,0.712793, 3.501140
us_000504096,0.712793, 3.572701
us_000496476,0.712793, 3.581113
us_000534125,0.712793, 3.585050
us_000546909,0.712793, 3.615952
us_000462223,0.712793, 3.623647
us_000534042,0.712793, 3.653504
us_000462225,0.712793, 3.668966
us_000141464,0.712793, 3.672641
us_000593911,0.712793, 3.775726
us_000506964,0.712793, 3.966600
us_000574935,0.712793, 4.106942
us_000471596,0.641994, 0.698723
us_000520280,0.641994, 0.699026
us_000505621,0.641994, 0.712115
us_000489895,0.641994, 0.728545
us_000592287,0.641994, 0.730478
us_000502094,0.641994, 0.731956
us_000504540,0.641994, 0.732583
us_000459401,0.641994, 0.736769
us_000473580,0.641994, 0.745737
us_000473468,0.641994, 0.757056
us_000516919,0.641994, 0.772325
us_000539400,0.641994, 0.799789
us_000383464,0.641994, 0.801319
us_000502616,0.641994, 0.805002
us_000295977,0.641994, 0.809365
us_000508313,0.641994, 0.814825
us_000519908,0.641994, 0.815960
us_000605221,0.641994, 0.825111
us_000495964,0.641994, 0.829383
us_000197413,0.641994, 0.830879
us_000500231,0.641994, 0.832600
us_000497349,0.641994, 0.833497
us_000478884,0.641994, 0.836663
us_000494530,0.641994, 0.836801
us_000502556,0.641994, 0.837035
us_000523687,0.641994, 0.837035
us_000176699,0.641994, 0.840172
us_000520585,0.641994, 0.841132
us_000582612,0.641994, 0.841538
us_000494726,0.641994, 0.842415
us_000517978,0.641994, 0.845499
us_000509403,0.641994, 0.847769
us_000572140,0.641994, 0.852708
us_000508634,0.641994, 0.854555
us_000523092,0.641994, 0.854987
us_000555326,0.641994, 0.858016
us_000497125,0.641994, 0.858756
us_000559255,0.641994, 0.859260
us_000539486,0.641994, 0.868815
us_000501167,0.641994, 0.868815
us_000497042,0.641994, 0.868815
us_000500556,0.641994, 0.868815
us_000561283,0.641994, 0.872316
us_000499498,0.641994, 0.877232
us_000538361,0.641994, 0.877232
us_000517977,0.641994, 0.877232
us_000473549,0.641994, 0.877232
us_000502513,0.641994, 0.877232
us_000523501,0.641994, 0.877232
us_000539204,0.641994, 0.877232
us_000516600,0.641994, 0.877232
us_000499934,0.641994, 0.877232
us_000497164,0.641994, 0.877232
us_000555861,0.641994, 0.878170
us_000521972,0.641994, 0.886382
us_000494630,0.641994, 0.886505
us_000517422,0.641994, 0.891775
us_000571285,0.641994, 0.892741
us_000527995,0.641994, 0.896425
us_000617492,0.641994, 0.896990
us_000613181,0.641994, 0.898088
us_000594157,0.641994, 0.906416
us_000607026,0.641994, 0.907443
us_000516999,0.641994, 0.909141
us_000573361,0.641994, 0.910219
us_000496207,0.641994, 0.911816
us_000617507,0.641994, 0.913082
us_000521737,0.641994, 0.921748
us_000573277,0.641994, 0.922121
us_000488992,0.641994, 0.925157
us_000485631,0.641994, 0.925157
us_000590916,0.641994, 0.925414
us_000497912,0.641994, 0.925512
us_000494838,0.641994, 0.932531
us_000601009,0.641994, 0.932908
us_000580918,0.641994, 0.935015
us_000153982,0.641994, 0.937970
us_000606694,0.641994, 0.937970
us_000485827,0.641994, 0.939288
us_000605959,0.641994, 0.942202
us_000601008,0.641994, 0.944673
us_000580045,0.641994, 0.945549
us_000458807,0.641994, 0.945549
us_000581203,0.641994, 0.945549
us_000600419,0.641994, 0.946435
us_000607654,0.641994, 0.948730
us_000602360,0.641994, 0.949254
us_000497832,0.641994, 0.955465
us_000515393,0.641994, 0.965268
us_000501564,0.641994, 0.966702
us_000501063,0.641994, 0.966702
us_000500934,0.641994, 0.966702
us_000527608,0.641994, 0.978158
us_000523058,0.641994, 0.978167
us_000516159,0.641994, 0.978167
us_000503652,0.641994, 0.978167
us_000500094,0.641994, 0.978167
us_000499230,0.641994, 0.978167
us_000523591,0.641994, 0.978167
us_000517959,0.641994, 0.978167
us_000523389,0.641994, 0.978167
us_000522880,0.641994, 0.978167
us_000538473,0.641994, 0.978167
us_000497461,0.641994, 0.978167
us_000516871,0.641994, 0.978167
us_000517578,0.641994, 0.978167
us_000612255,0.641994, 0.978167
pr_001032386,0.641994, 0.991056
us_000484844,0.641994, 1.012581
us_000054987,0.641994, 1.037839
us_000538488,0.641994, 1.088561
us_000539700,0.641994, 1.358536
us_000522179,0.588557, 0.000000
us_000305409,0.588557, 0.000000
us_000478414,0.588557, 0.000000
us_000540444,0.588557, 0.000000
us_000519974,0.588557, 0.000000
us_000519134,0.588557, 0.000000
us_000567582,0.588557, 0.000000
us_000523258,0.588557, 0.000001
us_000564050,0.588557, 0.000008
us_000530426,0.588557, 0.000011
us_000586402,0.588557, 0.000012
us_000491525,0.588557, 0.000348
us_000562178,0.588557, 0.001234
us_000509415,0.562352, 0.000000
us_000594741,0.562352, 0.000000
us_000594046,0.562352, 0.000000
us_000553035,0.562352, 0.000000
us_000521094,0.562352, 0.000000
us_000460332,0.562352, 0.000000
us_000472648,0.562352, 0.000000
us_000502050,0.562352, 0.000000
pr_001063722,0.562352, 0.000000
us_000523182,0.562352, 0.000000
us_000511047,0.562352, 0.000000
us_000525321,0.562352, 0.000000
us_000494375,0.562352, 0.000000
us_000558905,0.562352, 0.000000
us_000485729,0.562352, 0.000000
us_000534734,0.562352, 0.000000
us_000525785,0.562352, 0.000000
us_000117377,0.562352, 0.000000
us_000494996,0.562352, 0.000000
us_000595192,0.562352, 0.000000
pr_001051791,0.562352, 0.000001
pr_001041910,0.562352, 0.000001
pr_001093895,0.562352, 0.000001
us_000502723,0.562352, 0.000002
us_000502194,0.562352, 0.000002
pr_000725016,0.562352, 0.000006
pr_001085488,0.562352, 0.000006
pr_001039818,0.562352, 0.000006
pr_001045293,0.562352, 0.000008
pr_000945558,0.562352, 0.000008
pr_000870781,0.562352, 0.000016
pr_001658733,0.562352, 0.000018
pr_001410899,0.562352, 0.000020
pr_001728765,0.562352, 0.000020
pr_002155699,0.562352, 0.000020
pr_002115192,0.562352, 0.000020
pr_001708352,0.562352, 0.000020
pr_001905520,0.562352, 0.000020
pr_001904929,0.562352, 0.000020
pr_001836189,0.562352, 0.000020
pr_001966318,0.562352, 0.000020
pr_002194526,0.562352, 0.000020
pr_002149275,0.562352, 0.000020
pr_001956982,0.562352, 0.000020
pr_001732422,0.562352, 0.000020
pr_001881303,0.562352, 0.000020
pr_001963266,0.562352, 0.000020
pr_002185346,0.562352, 0.000020
pr_001622675,0.562352, 0.000020
pr_001049619,0.562352, 0.000020
pr_000851935,0.562352, 0.000020
pr_001397828,0.562352, 0.000020
pr_001024313,0.562352, 0.000020
us_000497679,0.562352, 0.000021
pr_000581799,0.562352, 0.000028
pr_000656326,0.562352, 0.000031
pr_001143647,0.562352, 0.000032
pr_001076156,0.562352, 0.000041
pr_001903707,0.562352, 0.000042
pr_001411457,0.562352, 0.000043
us_000516304,0.562352, 0.000048
pr_000188293,0.562352, 0.000048
us_000524387,0.562352, 0.000049
pr_001722513,0.562352, 0.000052
pr_001959955,0.562352, 0.000067
us_000512532,0.562352, 0.000075
pr_001403687,0.562352, 0.000076
