Product ID : 2112 JPs covered : 329 : Bankruptcy-Asset-Sales, 
OID,Confidence at Map Node,Error at Map Node
us_000520998,1.000000, 0.000000
pr_000891587,1.000000, 0.000000
pr_000628165,1.000000, 0.000000
pr_000826627,1.000000, 0.000000
pr_001684346,1.000000, 0.000000
pr_001635495,1.000000, 0.000000
pr_000454330,1.000000, 0.000000
pr_002131524,1.000000, 0.000000
pr_001909445,1.000000, 0.000000
pr_001734200,1.000000, 0.000000
pr_000413445,1.000000, 0.000000
pr_002141441,1.000000, 0.000000
pr_001018932,1.000000, 0.000000
pr_001635070,1.000000, 0.000000
pr_000824697,1.000000, 0.000000
pr_000625925,1.000000, 0.000001
pr_000887331,1.000000, 0.000001
pr_000768974,1.000000, 0.000001
pr_000737219,1.000000, 0.000011
pr_000884679,1.000000, 0.000317
us_000497856,1.000000, 1.904602
us_000481821,1.000000, 2.208065
us_000486854,1.000000, 2.293633
us_000492449,1.000000, 2.310500
us_000510411,1.000000, 2.349105
us_000487831,1.000000, 2.369177
us_000491348,1.000000, 2.407476
us_000535760,1.000000, 2.517771
us_000473243,1.000000, 2.531175
us_000496366,1.000000, 2.545263
us_000533396,1.000000, 2.556550
us_000515878,1.000000, 2.570904
us_000519318,1.000000, 2.582807
us_000522809,1.000000, 2.614894
us_000499997,1.000000, 2.655034
us_000475389,1.000000, 2.656923
us_000492046,1.000000, 2.662038
us_000496875,1.000000, 2.682639
us_000535864,1.000000, 2.723577
us_000477527,1.000000, 2.724568
us_000058873,1.000000, 2.751217
us_000535661,1.000000, 2.773106
us_000529607,1.000000, 2.794048
us_000493713,1.000000, 2.800735
us_000525338,1.000000, 2.852850
us_000576227,1.000000, 2.856922
us_000532326,1.000000, 2.916571
us_000477528,1.000000, 2.939668
us_000541439,1.000000, 2.940261
us_000510006,1.000000, 2.943415
us_000493955,1.000000, 2.948580
us_000521662,1.000000, 2.950938
us_000500106,1.000000, 2.960663
us_000546456,1.000000, 2.961467
us_000498571,1.000000, 2.990006
us_000516222,1.000000, 2.992189
us_000501023,1.000000, 2.992189
us_000502725,1.000000, 2.992470
us_000482865,1.000000, 3.005139
us_000477464,1.000000, 3.015821
us_000500935,1.000000, 3.018813
us_000499565,1.000000, 3.028676
us_000599700,1.000000, 3.052369
us_000521294,1.000000, 3.072110
us_000065098,1.000000, 3.072722
us_000524064,1.000000, 3.079230
