Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
us_000573502,1.000000,0.000000
pr_002176306,1.000000,0.000000
us_000573075,1.000000,0.000000
us_000525604,1.000000,0.000000
pr_000201143,1.000000,0.000000
us_000594881,1.000000,0.000000
us_000613730,1.000000,0.000013
us_000512933,1.000000,0.000106
us_000555478,1.000000,0.000106
us_000609108,1.000000,0.000406
us_000606492,1.000000,0.000531
us_000566359,1.000000,0.000977
us_000612498,1.000000,0.001404
us_000606496,1.000000,0.002393
us_000611801,1.000000,0.004406
us_000573494,1.000000,0.621179
us_000618750,1.000000,0.687486
us_000538551,1.000000,0.701994
us_000615735,1.000000,0.766731
us_000585285,1.000000,0.784235
us_000587205,1.000000,0.800229
us_000552619,1.000000,0.805759
us_000565182,1.000000,0.828148
us_000614789,1.000000,0.834758
us_000529881,1.000000,0.837009
us_000567496,1.000000,0.838647
us_000585469,1.000000,0.848454
us_000546014,1.000000,0.852487
us_000540061,1.000000,0.866291
us_000552616,1.000000,0.891331
us_000561505,1.000000,0.892428
us_000561504,1.000000,0.895409
us_000590115,1.000000,0.898300
us_000606165,1.000000,0.926774
us_000590139,1.000000,0.930398
us_000594742,0.913829,0.000000
pr_001871816,0.913829,0.000000
pr_001003531,0.913829,0.000000
us_000520185,0.913829,0.000000
us_000519856,0.913829,0.000000
us_000516991,0.913829,0.000000
pr_001063703,0.913829,0.000000
us_000518958,0.913829,0.000000
us_000519828,0.913829,0.000000
us_000578034,0.913829,0.000002
pr_001450223,0.913829,0.000005
us_000552939,0.913829,0.000012
us_000541519,0.913829,0.000129
us_000562599,0.913829,0.000387
us_000564644,0.913829,0.000466
us_000562790,0.913829,0.000620
us_000563209,0.913829,0.000704
us_000552564,0.913829,0.001785
us_000589274,0.913829,0.003237
us_000606838,0.913829,0.407557
us_000606893,0.913829,0.407765
us_000542416,0.913829,0.411949
us_000584651,0.913829,0.415266
us_000584621,0.913829,0.420185
us_000584683,0.913829,0.421571
us_000537959,0.913829,0.422321
us_000617199,0.913829,0.428491
us_000617185,0.913829,0.430242
us_000582167,0.913829,0.435401
us_000615655,0.913829,0.456378
us_000505379,0.913829,0.456949
us_000505380,0.913829,0.458905
us_000600037,0.913829,0.465696
us_000533234,0.913829,0.473886
us_000599893,0.913829,0.480520
pr_000996172,0.769754,0.000000
us_000521076,0.769754,0.000000
pr_000026441,0.769754,0.000000
pr_000892363,0.769754,0.000000
pr_001110694,0.769754,0.000000
pr_000664627,0.769754,0.000000
pr_001761673,0.769754,0.000000
pr_000384084,0.769754,0.000000
us_000530720,0.769754,0.000000
us_000488268,0.769754,0.000000
us_000560780,0.769754,0.000000
pr_000261896,0.769754,0.000000
pr_000553006,0.769754,0.000002
pr_000842699,0.769754,0.000002
pr_000621177,0.769754,0.000004
us_000608270,0.769754,0.000062
us_000611882,0.769754,1.090933
us_000536582,0.769754,1.335662
us_000536422,0.769754,1.350879
us_000536462,0.769754,1.393440
us_000506834,0.769754,1.481277
us_000536468,0.769754,1.519187
us_000611876,0.769754,1.525559
us_000585470,0.769754,1.537785
us_000612276,0.769754,1.591398
us_000612267,0.769754,1.602987
us_000600240,0.769754,1.611946
us_000585422,0.769754,1.642408
us_000566314,0.769754,1.670386
us_000620602,0.769754,1.682711
us_000565697,0.769754,1.717412
us_000619037,0.769754,1.717919
us_000565138,0.769754,1.724357
us_000612700,0.769754,1.724808
us_000560202,0.769754,1.750225
us_000614145,0.769754,1.790958
us_000511472,0.769754,1.793053
us_000617157,0.769754,1.812886
us_000558766,0.769754,1.821437
us_000573542,0.769754,1.837565
us_000614009,0.769754,1.840588
us_000505892,0.769754,1.842256
us_000590133,0.769754,1.851719
us_000615725,0.769754,1.867698
us_000612125,0.769754,1.872821
us_000537848,0.769754,1.873404
us_000620557,0.769754,1.890440
us_000600035,0.769754,1.893586
us_000612334,0.769754,1.903587
us_000592358,0.769754,1.903996
us_000600038,0.769754,1.905977
us_000587549,0.769754,1.916899
us_000531342,0.769754,1.929500
us_000585277,0.769754,1.939795
us_000505061,0.769754,1.941463
us_000585284,0.769754,1.943706
us_000586851,0.769754,1.964034
us_000577455,0.769754,1.965454
us_000566552,0.769754,1.965562
us_000571169,0.769754,1.967927
us_000615679,0.769754,1.985591
us_000617233,0.769754,1.988601
us_000618398,0.769754,1.998467
us_000593029,0.769754,2.006704
us_000621672,0.769754,2.009380
us_000594421,0.769754,2.022918
us_000619676,0.769754,2.027385
us_000621105,0.769754,2.030483
us_000618985,0.769754,2.031262
us_000618442,0.769754,2.046798
us_000563372,0.769754,2.049469
us_000585305,0.769754,2.052324
us_000469759,0.769754,2.059424
us_000606489,0.769754,2.061428
us_000546808,0.769754,2.063787
us_000469771,0.769754,2.066631
us_000537863,0.769754,2.066725
us_000571146,0.769754,2.070114
us_000571148,0.769754,2.072306
us_000567480,0.769754,2.072716
us_000588881,0.769754,2.078266
us_000618489,0.769754,2.080918
us_000613500,0.769754,2.082040
us_000613379,0.769754,2.086170
us_000590228,0.769754,2.086308
us_000565161,0.769754,2.086930
us_000571181,0.769754,2.087677
us_000609948,0.769754,2.089379
us_000571175,0.769754,2.093477
us_000579806,0.769754,2.096252
us_000546012,0.769754,2.097346
us_000555964,0.769754,2.101795
us_000581229,0.769754,2.106643
us_000567477,0.769754,2.107836
us_000563092,0.769754,2.114476
us_000606667,0.769754,2.115361
us_000580645,0.769754,2.117972
us_000590144,0.769754,2.120135
us_000611826,0.769754,2.122489
us_000584676,0.769754,2.122759
us_000591712,0.769754,2.123640
us_000598640,0.769754,2.129634
us_000584680,0.769754,2.134255
us_000590093,0.769754,2.136161
us_000579837,0.769754,2.140084
us_000546846,0.769754,2.142311
us_000616197,0.769754,2.144498
us_000621426,0.769754,2.145601
us_000558846,0.769754,2.150964
us_000563381,0.769754,2.152905
us_000568260,0.769754,2.154670
us_000542429,0.769754,2.156567
us_000606111,0.769754,2.157156
us_000531008,0.769754,2.161116
us_000507040,0.769754,2.162882
us_000615303,0.769754,2.166647
us_000506842,0.769754,2.195580
us_000591460,0.769754,2.197601
us_000469761,0.769754,2.216834
us_000595784,0.769754,2.218238
us_000606977,0.769754,2.224970
us_000585273,0.769754,2.242369
us_000584637,0.769754,2.252137
us_000572296,0.769754,2.273430
us_000617385,0.769754,2.283536
us_000613385,0.769754,2.287061
us_000606709,0.769754,2.288911
us_000614523,0.769754,2.296623
us_000536553,0.769754,2.315532
us_000536568,0.769754,2.329999
us_000554904,0.769754,2.339280
us_000536560,0.769754,2.347579
us_000579840,0.769754,2.349497
us_000549996,0.769754,2.352264
us_000549968,0.769754,2.364182
us_000536548,0.769754,2.372335
us_000611840,0.769754,2.379102
us_000563340,0.769754,2.387829
us_000536583,0.769754,2.391911
us_000569281,0.769754,2.396119
us_000539550,0.769754,2.399836
us_000576981,0.769754,2.399949
us_000586720,0.769754,2.435057
us_000539551,0.769754,2.439188
us_000621931,0.769754,2.467582
us_000546975,0.769754,2.599459
us_000600831,0.769754,2.806487
us_000536312,0.769754,3.016875
us_000542425,0.769754,3.290328
us_000554869,0.769754,4.598017
pr_000601624,0.739313,0.000000
us_000619740,0.739313,0.000000
pr_000204090,0.739313,0.000000
us_000588980,0.739313,0.000003
us_000581857,0.739313,0.000004
us_000601021,0.739313,0.000210
us_000519412,0.739313,0.000240
us_000588030,0.739313,0.000437
us_000469336,0.739313,0.001525
us_000530433,0.739313,0.003969
us_000566383,0.739313,0.005175
us_000552021,0.739313,0.005285
us_000557174,0.739313,0.005618
us_000529209,0.739313,0.006076
us_000538311,0.739313,0.007340
us_000512860,0.739313,0.008918
us_000529058,0.739313,0.008954
us_000585315,0.739313,0.009811
us_000512153,0.739313,0.011560
us_000520431,0.739313,0.011819
us_000564459,0.739313,0.014491
us_000526442,0.739313,0.014987
us_000512871,0.739313,0.016017
us_000578970,0.739313,0.036670
us_000569624,0.739313,0.046025
us_000542273,0.739313,0.081758
us_000585316,0.739313,0.193805
pr_001832421,0.726635,0.000000
us_000616671,0.726635,0.000000
us_000620941,0.726635,0.000000
us_000554882,0.726635,0.010846
us_000600111,0.726635,0.019048
us_000585241,0.726635,0.096805
us_000585298,0.726635,0.381560
us_000606618,0.726635,0.407200
us_000606671,0.726635,0.462530
us_000522715,0.726635,0.535140
us_000621328,0.726635,0.616392
us_000595631,0.726635,0.648245
us_000615003,0.690866,0.000001
us_000499218,0.690866,0.000003
us_000557997,0.690866,0.000004
us_000618898,0.690866,0.000007
us_000616459,0.690866,0.001416
us_000617615,0.690866,0.014519
us_000524677,0.690866,0.019109
us_000536448,0.690866,0.376371
us_000591434,0.690866,0.612640
us_000507147,0.690866,0.773261
us_000507098,0.690866,0.775165
us_000506828,0.690866,0.778768
us_000543277,0.690866,0.951287
us_000596967,0.690866,0.956610
us_000594300,0.690866,0.966114
us_000596282,0.657871,0.000000
us_000533777,0.657871,0.000000
us_000496695,0.657871,0.000000
pr_001172438,0.657871,0.000001
us_000621021,0.657871,0.000005
us_000537875,0.657871,0.163219
us_000518490,0.657871,0.200412
us_000554716,0.657871,0.203731
us_000577063,0.657871,0.205657
us_000603422,0.657871,0.212776
us_000616201,0.657871,0.221447
us_000589088,0.657871,0.228670
us_000586304,0.657871,0.253755
us_000604989,0.657871,0.262873
us_000538526,0.657871,0.273009
us_000593282,0.657871,0.274405
us_000604817,0.500283,0.000000
pr_000762728,0.500283,0.000000
pr_000389404,0.500283,0.000000
pr_001146323,0.500283,0.000000
pr_001035009,0.500283,0.000000
pr_000384338,0.500283,0.000000
us_000450839,0.500283,0.000000
us_000506491,0.500283,0.000000
us_000586902,0.500283,0.000001
us_000586366,0.500283,0.000004
us_000597766,0.500283,0.000033
us_000575372,0.500283,0.000036
us_000600103,0.500283,0.000078
pr_001423904,0.500283,0.000417
us_000572342,0.500283,0.000671
us_000556386,0.500283,0.002936
us_000505147,0.500283,0.004372
us_000556369,0.500283,0.007058
us_000572294,0.500283,0.051351
us_000589373,0.500283,0.112576
us_000511720,0.500283,0.143628
us_000601481,0.500283,0.149831
us_000599501,0.500283,0.149970
us_000615498,0.500283,0.150497
us_000601109,0.500283,0.152244
us_000529632,0.500283,0.160038
us_000601233,0.500283,0.160179
us_000590180,0.500283,0.162302
us_000613535,0.500283,0.174437
us_000613883,0.500283,0.174819
us_000616541,0.500283,0.177631
us_000614556,0.500283,0.178604
us_000613708,0.500283,0.318335
pr_001060658,0.430871,0.000000
us_000187141,0.430871,0.000000
pr_001425881,0.430871,0.000000
pr_001435984,0.430871,0.000000
pr_001482522,0.430871,0.000000
pr_000513376,0.430871,0.000000
pr_001505975,0.430871,0.000000
pr_001435128,0.430871,0.000001
pr_001433055,0.430871,0.000001
us_000506667,0.430871,0.000002
us_000506785,0.430871,0.000002
us_000507435,0.430871,0.000002
pr_001443487,0.430871,0.000002
pr_001432041,0.430871,0.000003
pr_001444666,0.430871,0.000011
