Product ID : 2111 JPs covered : 190 : Accounting-Valuation Services, 
us_000482049,1.000000, 0.734050
us_000459575,1.000000, 0.734050
us_000462023,1.000000, 0.734050
us_000482255,1.000000, 0.734050
us_000461959,1.000000, 0.734050
us_000499990,1.000000, 0.734050
us_000188466,1.000000, 0.734050
us_000523186,1.000000, 0.734050
us_000460615,1.000000, 0.734050
us_000501294,1.000000, 0.734050
us_000459013,1.000000, 0.734050
us_000468183,1.000000, 0.734050
us_000466285,1.000000, 0.734050
us_000610072,1.000000, 0.734050
us_000222622,1.000000, 0.734050
us_000482052,1.000000, 0.734050
us_000470520,1.000000, 0.734050
us_000483384,1.000000, 0.734050
us_000482054,1.000000, 0.734050
us_000461329,1.000000, 0.734050
us_000460624,1.000000, 0.734050
us_000246333,1.000000, 0.734050
us_000483129,1.000000, 0.734050
us_000483715,1.000000, 0.734050
us_000470383,1.000000, 0.734050
us_000570378,1.000000, 0.734340
us_000056919,1.000000, 0.734893
us_000025129,1.000000, 0.736013
us_000471006,1.000000, 0.766985
us_000521827,0.592142, 0.000002
us_000581337,0.592142, 0.000002
us_000580909,0.592142, 0.000002
pr_000733435,0.592142, 0.000004
pr_001155407,0.592142, 0.000005
pr_000911058,0.592142, 0.000013
pr_001155587,0.592142, 0.000014
pr_001155932,0.592142, 0.000018
us_000599125,0.592142, 0.013292
pr_000375250,0.472987, 0.000000
pr_001597379,0.472987, 0.000001
pr_001684930,0.472987, 0.000001
pr_001612568,0.472987, 0.000009
pr_000363857,0.472987, 0.000011
pr_001037720,0.472987, 0.000017
us_000594725,0.472987, 0.006338
us_000598286,0.472987, 0.013499
us_000367335,0.472987, 0.139382
us_000458903,0.472987, 0.412413
us_000441989,0.472987, 0.460377
us_000458630,0.472987, 0.476613
us_000458754,0.472987, 0.492818
us_000459241,0.472987, 0.547495
us_000472147,0.472987, 0.547495
us_000463266,0.472987, 0.547495
us_000411952,0.472987, 0.547495
us_000458521,0.472987, 0.680820
us_000458775,0.472987, 0.682091
us_000461096,0.472987, 0.689110
us_000472631,0.302430, 0.000000
us_000461470,0.302430, 0.000000
pr_000374959,0.302430, 0.000005
us_000022883,0.302430, 0.000040
us_000467752,0.302430, 0.002967
us_000345263,0.302430, 0.056349
pr_000000592,0.032951, 0.000000
us_000466528,0.032951, 0.000000
pr_000365823,0.032951, 0.001225
pr_000605472,0.032951, 0.003401
pr_000789141,0.032951, 0.003578
pr_000403208,0.032951, 0.004528
pr_001631419,0.032951, 0.008324
pr_001096449,0.032951, 0.019333
pr_001073576,0.032951, 0.128729
