Product ID : 2119 # of JPs covered : 1 : 370 : Construction Contracts, 
OID,Confidence at Map Node,Error at Map Node
pr_001087116,1.000000, 0.000000
pr_000835396,1.000000, 0.000000
pr_000972009,1.000000, 0.000000
pr_001627507,1.000000, 0.000000
us_000598724,1.000000, 0.000004
pr_001835584,1.000000, 0.000051
us_000604438,1.000000, 0.000115
us_000579651,1.000000, 0.000153
pr_000886077,1.000000, 0.000158
us_000588991,1.000000, 0.000698
us_000575411,1.000000, 0.000753
us_000580751,1.000000, 0.001337
us_000615759,1.000000, 0.001337
us_000597538,1.000000, 0.001337
us_000591019,1.000000, 0.001337
us_000599108,1.000000, 0.001337
us_000592319,1.000000, 0.001337
us_000599117,1.000000, 0.001337
us_000582083,1.000000, 0.001337
us_000615760,1.000000, 0.001337
us_000569807,1.000000, 0.001337
us_000555143,1.000000, 0.001337
us_000615366,1.000000, 0.001353
us_000600600,1.000000, 0.001739
us_000465315,1.000000, 0.001879
us_000581513,1.000000, 0.002130
pr_000605045,1.000000, 0.002617
us_000570070,1.000000, 0.004754
us_000549435,1.000000, 0.007093
us_000569803,1.000000, 0.008330
us_000564033,1.000000, 0.010416
us_000528614,1.000000, 0.010457
us_000509725,1.000000, 0.011676
us_000510562,1.000000, 0.027847
us_000582237,1.000000, 0.039440
us_000465783,1.000000, 0.099510
us_000476077,1.000000, 1.004666
us_000525887,1.000000, 1.064365
us_000486325,1.000000, 1.316416
us_000499551,1.000000, 1.482571
us_000495621,1.000000, 1.628553
us_000292496,1.000000, 1.666743
us_000589781,1.000000, 1.681162
us_000589518,1.000000, 1.714944
us_000495693,1.000000, 1.728053
us_000586000,1.000000, 1.729734
us_000585933,1.000000, 1.766578
us_000487982,1.000000, 1.803741
us_000527753,1.000000, 1.814778
us_000488234,1.000000, 1.829641
us_000537379,1.000000, 1.872085
us_000488015,1.000000, 1.873659
us_000537464,1.000000, 1.885186
us_000468149,1.000000, 1.891515
us_000486466,1.000000, 1.956812
us_000488033,1.000000, 1.975552
us_000500843,1.000000, 2.003440
us_000512862,1.000000, 2.026688
us_000589929,1.000000, 2.068544
us_000586087,1.000000, 2.074639
us_000537731,1.000000, 2.109096
us_000503660,1.000000, 2.266546
us_000495276,1.000000, 2.277052
us_000504907,1.000000, 2.304615
us_000503675,1.000000, 2.321935
us_000486590,1.000000, 2.454964
pr_000293388,0.884831, 0.000001
pr_000444824,0.884831, 0.000001
pr_001059142,0.884831, 0.000001
pr_000726723,0.884831, 0.000001
pr_000470311,0.884831, 0.000001
us_000594691,0.884831, 0.000003
us_000595442,0.884831, 0.000003
us_000576188,0.884831, 0.000003
us_000573126,0.884831, 0.000003
us_000599490,0.884831, 0.000003
us_000602218,0.884831, 0.000003
us_000590403,0.884831, 0.000007
us_000555059,0.884831, 0.000029
us_000602121,0.884831, 0.000081
pr_002189269,0.884831, 0.000081
us_000505011,0.884831, 0.000088
pr_001006443,0.884831, 0.000090
pr_000753255,0.884831, 0.000090
pr_000719682,0.884831, 0.000090
pr_001012273,0.884831, 0.000110
pr_000879839,0.884831, 0.000239
pr_001017762,0.884831, 0.000279
pr_000900147,0.884831, 0.000279
pr_000719669,0.884831, 0.000279
pr_000860287,0.884831, 0.000279
pr_001066136,0.884831, 0.000279
pr_000739968,0.884831, 0.000279
pr_000164623,0.884831, 0.000279
pr_000880808,0.884831, 0.000279
pr_000950328,0.884831, 0.000350
us_000565179,0.884831, 0.000354
us_000570034,0.884831, 0.000429
pr_000507875,0.884831, 0.000430
us_000528812,0.884831, 0.001290
us_000525740,0.884831, 0.067762
us_000535536,0.884831, 0.116677
us_000461604,0.679526, 0.000000
us_000458484,0.679526, 0.000000
us_000495327,0.679526, 0.000000
us_000461491,0.679526, 0.000000
pr_001633432,0.679526, 0.000000
pr_001611088,0.679526, 0.000000
pr_000362828,0.679526, 0.000000
pr_001165867,0.679526, 0.000000
pr_001614170,0.679526, 0.000000
pr_000569565,0.679526, 0.000000
pr_001871761,0.679526, 0.000000
pr_000627248,0.679526, 0.000000
pr_001611200,0.679526, 0.000000
pr_000385570,0.679526, 0.000000
pr_000372373,0.679526, 0.000000
pr_002150367,0.679526, 0.000000
pr_000561490,0.679526, 0.000000
pr_000570123,0.679526, 0.000000
pr_001158890,0.679526, 0.000000
pr_001151485,0.679526, 0.000000
pr_001033477,0.679526, 0.000000
pr_001612158,0.679526, 0.000000
pr_001147542,0.679526, 0.000000
pr_000364083,0.679526, 0.000000
pr_000436052,0.679526, 0.000000
pr_000406559,0.679526, 0.000000
pr_001620321,0.679526, 0.000000
pr_001679873,0.679526, 0.000000
pr_000510883,0.679526, 0.000000
pr_001620348,0.679526, 0.000000
pr_000570581,0.679526, 0.000000
pr_000370883,0.679526, 0.000000
pr_001148532,0.679526, 0.000000
pr_001146734,0.679526, 0.000000
pr_001147287,0.679526, 0.000000
pr_001731874,0.679526, 0.000000
pr_001155260,0.679526, 0.000000
pr_000817149,0.679526, 0.000000
pr_001671331,0.679526, 0.000000
pr_000914842,0.679526, 0.000000
pr_000968440,0.679526, 0.000000
pr_001679828,0.679526, 0.000000
pr_000551913,0.679526, 0.000000
pr_001673491,0.679526, 0.000000
pr_000373505,0.679526, 0.000000
pr_000926096,0.679526, 0.000000
pr_001148950,0.679526, 0.000000
pr_000560938,0.679526, 0.000000
pr_001612215,0.679526, 0.000000
pr_001612494,0.679526, 0.000000
pr_000655708,0.679526, 0.000000
pr_000363406,0.679526, 0.000000
pr_000982303,0.679526, 0.000000
pr_000287946,0.679526, 0.000000
pr_000648799,0.679526, 0.000000
pr_001146034,0.679526, 0.000000
pr_001146665,0.679526, 0.000000
pr_001611105,0.679526, 0.000000
pr_000396272,0.679526, 0.000000
pr_001673475,0.679526, 0.000000
pr_000519840,0.679526, 0.000000
pr_001415719,0.679526, 0.000000
pr_000654809,0.679526, 0.000000
pr_001612375,0.679526, 0.000000
pr_000569927,0.679526, 0.000000
pr_001158008,0.679526, 0.000000
pr_001613349,0.679526, 0.000000
pr_001146379,0.679526, 0.000000
pr_000397250,0.679526, 0.000000
pr_000633801,0.679526, 0.000000
pr_000558873,0.679526, 0.000000
pr_000373590,0.679526, 0.000000
pr_000565624,0.679526, 0.000000
pr_001059499,0.679526, 0.000000
pr_000639090,0.679526, 0.000000
pr_001679807,0.679526, 0.000000
pr_001871814,0.679526, 0.000000
pr_001001478,0.679526, 0.000000
pr_000619561,0.679526, 0.000000
pr_001148648,0.679526, 0.000000
pr_000285844,0.679526, 0.000000
pr_000567737,0.679526, 0.000000
pr_001622157,0.679526, 0.000000
pr_000553087,0.679526, 0.000000
pr_000396908,0.679526, 0.000001
pr_000397212,0.679526, 0.000006
us_000547672,0.679526, 0.000010
pr_000372759,0.679526, 0.000015
us_000588225,0.679526, 0.000022
us_000538680,0.679526, 0.000027
us_000528748,0.679526, 0.000255
us_000549174,0.679526, 0.000312
us_000498980,0.679526, 0.000455
us_000528841,0.679526, 0.001060
us_000490321,0.679526, 0.001810
us_000578715,0.679526, 0.005779
us_000522624,0.519867, 0.000000
us_000474370,0.519867, 0.000019
us_000557930,0.519867, 0.000172
us_000519502,0.519867, 0.000695
us_000539970,0.519867, 0.001446
us_000527779,0.519867, 0.002105
us_000568853,0.519867, 0.002221
us_000490140,0.519867, 0.003284
us_000489931,0.519867, 0.003672
us_000467954,0.519867, 0.068347
us_000275301,0.519867, 0.131439
us_000538468,0.519867, 0.154703
us_000494452,0.519867, 0.518112
us_000498154,0.519867, 0.607857
us_000473280,0.519867, 0.649236
us_000540259,0.519867, 0.654961
us_000594145,0.519867, 0.668887
us_000540042,0.519867, 0.678188
us_000557491,0.519867, 0.685558
us_000544383,0.519867, 0.691810
us_000118437,0.519867, 0.703070
us_000543667,0.519867, 0.711071
us_000321489,0.519867, 0.712718
us_000594159,0.519867, 0.714416
us_000468370,0.519867, 0.714762
us_000544045,0.519867, 0.715987
us_000562614,0.519867, 0.716428
us_000498153,0.519867, 0.725188
us_000591743,0.519867, 0.725510
us_000476313,0.519867, 0.726798
us_000490132,0.519867, 0.732935
us_000590889,0.519867, 0.733600
us_000556101,0.519867, 0.733744
us_000593523,0.519867, 0.734173
us_000599693,0.519867, 0.734173
us_000472767,0.519867, 0.734603
us_000599624,0.519867, 0.735137
us_000556146,0.519867, 0.736275
us_000540570,0.519867, 0.736859
us_000591546,0.519867, 0.737897
us_000590511,0.519867, 0.738589
us_000484284,0.519867, 0.740382
us_000473539,0.519867, 0.740412
us_000550386,0.519867, 0.742629
us_000572713,0.519867, 0.750886
us_000489150,0.519867, 0.757477
us_000549677,0.519867, 0.759076
us_000470685,0.519867, 0.761922
us_000511311,0.519867, 0.763103
us_000511276,0.519867, 0.767256
us_000594807,0.519867, 0.770148
us_000488429,0.519867, 0.772457
us_000511715,0.519867, 0.774089
us_000583350,0.519867, 0.774231
us_000528942,0.519867, 0.777142
us_000526857,0.519867, 0.777632
us_000590954,0.519867, 0.778603
us_000553893,0.519867, 0.780730
us_000511371,0.519867, 0.782345
us_000376863,0.519867, 0.782587
us_000476492,0.519867, 0.782764
us_000514806,0.519867, 0.782820
us_000591199,0.519867, 0.786416
us_000594804,0.519867, 0.786741
us_000562713,0.519867, 0.787945
us_000526797,0.519867, 0.790266
us_000582393,0.519867, 0.790490
us_000493829,0.519867, 0.790649
us_000598697,0.519867, 0.791141
us_000591372,0.519867, 0.793125
us_000591379,0.519867, 0.793959
us_000484352,0.519867, 0.794430
us_000529998,0.519867, 0.795647
us_000600553,0.519867, 0.797062
us_000583521,0.519867, 0.799203
us_000505049,0.519867, 0.799801
us_000513772,0.519867, 0.801047
us_000488249,0.519867, 0.801109
us_000592632,0.519867, 0.801148
us_000484134,0.519867, 0.801432
us_000572719,0.519867, 0.801496
us_000479188,0.519867, 0.801936
us_000591412,0.519867, 0.803616
us_000522338,0.519867, 0.804462
us_000504795,0.519867, 0.804845
us_000541964,0.519867, 0.805356
us_000594194,0.519867, 0.807390
us_000594193,0.519867, 0.807390
us_000590802,0.519867, 0.807390
us_000600986,0.519867, 0.807390
us_000590946,0.519867, 0.811260
us_000598675,0.519867, 0.811260
us_000591835,0.519867, 0.811260
us_000591810,0.519867, 0.811260
us_000612350,0.519867, 0.811260
us_000600195,0.519867, 0.811260
us_000599690,0.519867, 0.811260
us_000591312,0.519867, 0.811260
us_000591223,0.519867, 0.811260
us_000591866,0.519867, 0.811260
us_000590291,0.519867, 0.811260
us_000504788,0.519867, 0.811699
us_000576003,0.519867, 0.820944
us_000588988,0.519867, 0.822171
us_000506267,0.519867, 0.826609
us_000566938,0.519867, 0.828788
us_000548551,0.519867, 0.835616
us_000530391,0.519867, 0.836146
us_000560384,0.519867, 0.839353
us_000461336,0.519867, 0.839706
us_000530190,0.519867, 0.847615
us_000582601,0.519867, 0.848632
us_000583677,0.519867, 0.849053
us_000582691,0.519867, 0.849193
us_000582038,0.519867, 0.849834
us_000557399,0.519867, 0.850386
us_000566056,0.519867, 0.850986
us_000583239,0.519867, 0.852237
us_000585151,0.519867, 0.853242
us_000536410,0.519867, 0.854465
us_000594393,0.519867, 0.857621
us_000585072,0.519867, 0.858270
us_000208994,0.519867, 0.858849
us_000549195,0.519867, 0.859883
us_000494535,0.519867, 0.864462
us_000488369,0.519867, 0.870151
