Product ID : 2135 # of JPs covered : 1 : 76 : Copyrights, 
OID,Confidence at Map Node,Error at Map Node
us_000500082,1.000000, 0.000000
us_000542064,1.000000, 0.000000
us_000562339,1.000000, 0.001302
us_000516803,1.000000, 0.003123
us_000487510,0.507028, 0.372995
us_000402635,0.507028, 0.841334
pr_001913606,0.205453, 0.000000
pr_001736467,0.205453, 0.000000
pr_000587182,0.205453, 0.000000
pr_000265640,0.205453, 0.000001
pr_000264665,0.205453, 0.000010
us_000486429,0.205453, 0.000012
pr_001661711,0.205453, 0.000026
pr_000361088,0.205453, 0.000070
us_000567481,0.205453, 0.010666
us_000483301,0.205453, 0.021831
us_000575654,0.205453, 0.029083
us_000473451,0.205453, 0.029551
us_000558743,0.205453, 0.032513
us_000522738,0.205453, 0.032568
us_000475341,0.205453, 0.032594
us_000483429,0.205453, 0.032847
us_000516867,0.205453, 0.033990
us_000581541,0.205453, 0.034630
us_000581544,0.205453, 0.034630
us_000528893,0.205453, 0.034787
us_000574968,0.205453, 0.035673
us_000596976,0.205453, 0.037167
us_000461513,0.205453, 0.039355
us_000490750,0.205453, 0.040111
us_000472953,0.205453, 0.056523
us_000460713,0.205453, 0.057361
us_000591230,0.205453, 0.060186
us_000491022,0.205453, 0.078813
us_000615052,0.205453, 0.091183
us_000498529,0.205453, 0.129948
us_000558136,0.205453, 0.131003
us_000468156,0.205453, 0.181303
us_000585226,0.205453, 0.254873
us_000537718,0.205453, 0.256610
pr_002200865,0.202870, 0.000000
pr_002159583,0.202870, 0.000001
us_000552797,0.202870, 0.005760
us_000181035,0.202870, 0.009977
us_000487115,0.202870, 0.011511
us_000488165,0.202870, 0.012548
us_000382361,0.202870, 0.012941
us_000227966,0.202870, 0.013361
us_000503859,0.202870, 0.013361
us_000491844,0.202870, 0.013810
us_000487708,0.202870, 0.014493
us_000481243,0.202870, 0.017206
us_000471805,0.202870, 0.017445
us_000478111,0.202870, 0.018097
us_000472887,0.202870, 0.046925
pr_002070690,0.185346, 0.000000
pr_000832920,0.185346, 0.000000
pr_000777058,0.185346, 0.000000
pr_002070786,0.185346, 0.000001
pr_001675545,0.185346, 0.000004
us_000473914,0.185346, 0.001614
us_000479179,0.185346, 0.007743
us_000529945,0.185346, 0.008307
us_000488408,0.185346, 0.015733
us_000468250,0.185346, 0.015733
us_000462613,0.185346, 0.019798
us_000471660,0.185346, 0.026380
us_000501618,0.185346, 0.033460
us_000522250,0.185346, 0.033460
us_000502023,0.185346, 0.033460
us_000482765,0.185346, 0.033460
us_000500691,0.185346, 0.034149
us_000518328,0.185346, 0.034149
us_000468597,0.185346, 0.034149
us_000552610,0.185346, 0.034149
us_000482891,0.185346, 0.034149
us_000522246,0.185346, 0.037177
us_000529046,0.185346, 0.045908
us_000472207,0.185346, 0.049114
us_000469352,0.185346, 0.049124
us_000427456,0.185346, 0.364117
us_000407427,0.071116, 0.000001
us_000557155,0.071116, 0.000001
us_000491603,0.071116, 0.000001
us_000543576,0.071116, 0.000001
us_000459287,0.071116, 0.000001
us_000473566,0.071116, 0.000001
us_000463709,0.071116, 0.000001
us_000616496,0.071116, 0.000001
us_000507668,0.071116, 0.000001
us_000482766,0.071116, 0.000002
us_000396096,0.071116, 0.000037
us_000469552,0.071116, 0.000084
us_000483867,0.071116, 0.000084
us_000518155,0.071116, 0.000283
us_000458886,0.071116, 0.000283
us_000016414,0.071116, 0.000283
us_000501708,0.071116, 0.000283
us_000461438,0.071116, 0.000283
us_000581546,0.071116, 0.000760
us_000590201,0.071116, 0.000912
us_000517639,0.071116, 0.001092
us_000487036,0.071116, 0.001800
us_000509824,0.071116, 0.002109
us_000581631,0.071116, 0.002226
us_000042476,0.071116, 0.005501
us_000505248,0.071116, 0.011216
us_000577774,0.071116, 0.015735
us_000495848,0.071116, 0.015814
us_000520466,0.071116, 0.015870
us_000511661,0.071116, 0.015900
us_000469562,0.071116, 0.016113
us_000483300,0.071116, 0.016113
us_000483821,0.071116, 0.016113
us_000544977,0.071116, 0.016113
us_000518253,0.071116, 0.016113
us_000469410,0.071116, 0.016113
us_000483978,0.071116, 0.016113
us_000573276,0.071116, 0.016154
us_000478203,0.071116, 0.016277
us_000579924,0.071116, 0.016295
us_000596607,0.071116, 0.016295
us_000598644,0.071116, 0.016295
us_000581413,0.071116, 0.016295
us_000587421,0.071116, 0.016295
us_000600539,0.071116, 0.016295
us_000558558,0.071116, 0.016311
us_000459133,0.071116, 0.016311
us_000558526,0.071116, 0.016311
us_000524230,0.071116, 0.016311
us_000482681,0.071116, 0.016311
us_000459080,0.071116, 0.016311
us_000553506,0.071116, 0.016311
us_000470072,0.071116, 0.016311
us_000486589,0.071116, 0.016311
us_000488151,0.071116, 0.016311
us_000468765,0.071116, 0.016311
us_000468374,0.071116, 0.016311
us_000524233,0.071116, 0.016311
us_000524231,0.071116, 0.016311
us_000191182,0.071116, 0.016311
us_000529897,0.071116, 0.016311
us_000486449,0.071116, 0.016311
us_000529885,0.071116, 0.016311
us_000552695,0.071116, 0.016311
us_000460122,0.071116, 0.016311
us_000075621,0.071116, 0.016311
us_000502963,0.071116, 0.016311
us_000528495,0.071116, 0.016311
us_000461431,0.071116, 0.016311
us_000553507,0.071116, 0.016311
us_000460005,0.071116, 0.016311
us_000553461,0.071116, 0.016311
us_000469986,0.071116, 0.016311
us_000558897,0.071116, 0.016311
us_000553503,0.071116, 0.016311
us_000459106,0.071116, 0.016311
us_000468186,0.071116, 0.016311
us_000553502,0.071116, 0.016311
us_000460050,0.071116, 0.016311
us_000458881,0.071116, 0.016311
us_000486393,0.071116, 0.016311
us_000482855,0.071116, 0.016311
us_000581426,0.071116, 0.016352
us_000600681,0.071116, 0.016912
us_000479048,0.071116, 0.017009
us_000478380,0.071116, 0.018119
us_000580486,0.071116, 0.023512
us_000558746,0.071116, 0.028630
us_000499199,0.071116, 0.035987
us_000477397,0.071116, 0.038498
us_000554143,0.071116, 0.068654
