Product ID : 2129 # of JPs covered : 1 : 291 : Healthcare Business, 
pr_000170110,0.954746, 0.001112
pr_001687430,0.954746, 0.001518
pr_001658032,0.954746, 0.001624
us_000464767,0.954746, 0.013400
us_000488485,0.954746, 1.108380
us_000516597,0.954746, 1.308005
us_000217019,0.954746, 1.402696
us_000482601,0.954746, 1.661724
us_000516367,0.954746, 1.789856
us_000468596,0.954746, 1.959848
us_000501637,0.954746, 2.229444
us_000548893,0.954746, 2.252475
us_000486265,0.954746, 2.264685
us_000581698,0.954746, 2.431772
us_000469453,0.954746, 2.444049
us_000495294,0.954746, 2.453921
us_000565889,0.954746, 2.467686
us_000477865,0.954746, 2.489479
us_000194274,0.954746, 2.501434
us_000495376,0.954746, 2.642992
us_000472441,0.954746, 2.646743
us_000496574,0.954746, 2.670195
us_000469603,0.954746, 2.691877
us_000502599,0.954746, 2.739452
us_000513675,0.954746, 2.786381
us_000514490,0.954746, 2.806206
us_000306644,0.954746, 3.243540
us_000458492,0.954746, 8.278189
pr_000787631,0.711734, 0.000045
us_000472317,0.711734, 0.115513
us_000079318,0.711734, 0.142687
us_000471578,0.711734, 0.171127
us_000538401,0.711734, 0.181787
us_000269593,0.711734, 0.199064
us_000523888,0.711734, 0.203981
us_000488470,0.711734, 0.207761
us_000462839,0.711734, 0.210710
us_000545317,0.711734, 0.211559
us_000270178,0.711734, 0.213035
us_000476468,0.711734, 0.218026
us_000510705,0.711734, 0.220210
us_000504859,0.711734, 0.221283
us_000512516,0.711734, 0.221958
us_000476455,0.711734, 0.222826
us_000475257,0.711734, 0.223008
us_000475249,0.711734, 0.231894
us_000244450,0.711734, 0.232095
us_000495127,0.711734, 0.233252
us_000497141,0.711734, 0.233437
us_000464738,0.711734, 0.233445
us_000480120,0.711734, 0.234140
us_000485564,0.711734, 0.239445
us_000485518,0.711734, 0.240568
us_000481689,0.711734, 0.242462
us_000582254,0.711734, 0.243009
us_000509241,0.711734, 0.244709
us_000511159,0.711734, 0.246245
us_000532652,0.711734, 0.247452
us_000478664,0.711734, 0.248029
us_000533746,0.711734, 0.249026
us_000121410,0.711734, 0.253802
us_000543654,0.711734, 0.255262
us_000477931,0.711734, 0.255864
us_000504760,0.711734, 0.255907
us_000473011,0.711734, 0.256305
us_000506188,0.711734, 0.258883
us_000552679,0.711734, 0.259691
us_000470039,0.711734, 0.260023
us_000496799,0.711734, 0.260718
us_000121710,0.711734, 0.261253
us_000504650,0.711734, 0.261714
us_000502845,0.711734, 0.262299
us_000540454,0.711734, 0.262529
us_000515923,0.711734, 0.262955
us_000553527,0.711734, 0.263546
us_000501111,0.711734, 0.263728
us_000478506,0.711734, 0.265167
us_000503741,0.711734, 0.265910
us_000498314,0.711734, 0.266778
us_000488428,0.711734, 0.268117
us_000481646,0.711734, 0.273312
us_000477893,0.711734, 0.273526
us_000525371,0.711734, 0.274533
us_000525375,0.711734, 0.276409
us_000473019,0.711734, 0.277455
us_000473917,0.711734, 0.278292
us_000505961,0.711734, 0.278863
us_000504737,0.711734, 0.278863
us_000525320,0.711734, 0.279679
us_000490753,0.711734, 0.283121
us_000496589,0.711734, 0.284565
us_000530018,0.711734, 0.284902
us_000489532,0.711734, 0.284902
us_000596925,0.711734, 0.284947
us_000485479,0.711734, 0.285329
us_000582482,0.711734, 0.286567
us_000514133,0.711734, 0.287849
us_000504687,0.711734, 0.288460
us_000556971,0.711734, 0.289078
us_000536440,0.711734, 0.289380
us_000523456,0.711734, 0.289652
us_000509404,0.711734, 0.290206
us_000514110,0.711734, 0.290765
us_000541795,0.711734, 0.290922
us_000477986,0.711734, 0.293389
us_000521268,0.711734, 0.293389
us_000483290,0.711734, 0.293813
us_000491789,0.711734, 0.294992
us_000575804,0.711734, 0.296178
us_000471850,0.711734, 0.296759
us_000523078,0.711734, 0.301358
us_000504826,0.711734, 0.301943
us_000471852,0.711734, 0.302099
us_000495271,0.711734, 0.302729
us_000512329,0.711734, 0.302833
us_000521327,0.711734, 0.303783
us_000514122,0.711734, 0.305152
us_000473581,0.711734, 0.306653
us_000480829,0.711734, 0.307909
us_000484985,0.711734, 0.309254
us_000519900,0.711734, 0.309588
us_000483926,0.711734, 0.309840
us_000471857,0.711734, 0.310483
us_000466314,0.711734, 0.310483
us_000518483,0.711734, 0.312888
us_000493098,0.711734, 0.313018
us_000495653,0.711734, 0.313293
us_000485651,0.711734, 0.313976
us_000538236,0.711734, 0.314184
us_000500592,0.711734, 0.314970
us_000489919,0.711734, 0.315159
us_000487154,0.711734, 0.315169
us_000437409,0.711734, 0.316249
us_000481458,0.711734, 0.316358
us_000482300,0.711734, 0.316631
us_000546013,0.711734, 0.316685
us_000469141,0.711734, 0.317035
us_000537098,0.711734, 0.317035
us_000529006,0.711734, 0.317591
us_000540458,0.711734, 0.318072
us_000463382,0.711734, 0.318145
us_000553944,0.711734, 0.319658
us_000544402,0.711734, 0.320492
us_000554293,0.711734, 0.320668
us_000542494,0.711734, 0.320709
us_000527932,0.711734, 0.320815
us_000519630,0.711734, 0.321373
us_000529698,0.711734, 0.321523
us_000545470,0.711734, 0.321545
us_000057229,0.711734, 0.322515
us_000551757,0.711734, 0.322720
us_000551783,0.711734, 0.322720
us_000468248,0.711734, 0.323303
us_000479996,0.711734, 0.323578
us_000529023,0.711734, 0.323980
us_000540484,0.711734, 0.324603
us_000468780,0.711734, 0.324975
us_000488017,0.711734, 0.325041
us_000495260,0.711734, 0.326038
us_000469166,0.711734, 0.326555
us_000484546,0.711734, 0.326557
us_000555796,0.711734, 0.326633
us_000514293,0.711734, 0.327190
us_000485666,0.711734, 0.330432
us_000544187,0.711734, 0.330432
us_000493071,0.711734, 0.332007
us_000479445,0.711734, 0.332384
us_000537225,0.711734, 0.332384
us_000529213,0.711734, 0.333404
us_000473888,0.711734, 0.334055
us_000555025,0.711734, 0.334345
us_000552554,0.711734, 0.334345
us_000488802,0.711734, 0.334505
us_000533564,0.711734, 0.336316
us_000525901,0.711734, 0.336316
us_000529702,0.711734, 0.336316
us_000534720,0.711734, 0.336316
us_000530449,0.711734, 0.336316
us_000479303,0.711734, 0.342046
us_000517702,0.711734, 0.342241
us_000515950,0.711734, 0.342746
us_000517999,0.711734, 0.342746
us_000516859,0.711734, 0.342746
us_000495203,0.711734, 0.342746
us_000491993,0.711734, 0.342746
us_000582294,0.711734, 0.344497
us_000303652,0.711734, 0.345161
us_000488787,0.711734, 0.348020
us_000529672,0.711734, 0.350579
us_000592383,0.711734, 0.350928
us_000489059,0.711734, 0.350941
us_000480713,0.711734, 0.354492
us_000562270,0.711734, 0.355653
us_000528221,0.711734, 0.356123
us_000525457,0.711734, 0.357860
us_000282660,0.711734, 0.358209
us_000489324,0.711734, 0.360990
us_000559205,0.711734, 0.361079
us_000480417,0.711734, 0.361408
us_000495298,0.711734, 0.365938
us_000496588,0.711734, 0.366611
pr_001074672,0.711734, 0.367066
us_000490391,0.711734, 0.367538
us_000517701,0.711734, 0.371619
us_000525451,0.711734, 0.385732
us_000544354,0.711734, 0.394355
us_000484993,0.711734, 0.396175
us_000501686,0.711734, 0.426600
us_000526134,0.711734, 0.452362
us_000534859,0.711734, 0.464568
us_000396895,0.711734, 0.543261
us_000559391,0.711734, 0.562284
us_000590510,0.711734, 0.642505
us_000483363,0.711734, 0.654965
us_000309222,0.711734, 0.869611
us_000497545,0.711734, 0.931435
us_000582117,0.711734, 1.358607
us_000470007,0.685598, 0.302632
us_000387790,0.685598, 0.326326
us_000475316,0.685598, 0.336756
us_000477988,0.685598, 0.371814
us_000508474,0.685598, 0.395264
us_000475799,0.685598, 0.405083
us_000546086,0.685598, 0.409264
us_000335473,0.685598, 0.410384
us_000074707,0.685598, 0.413796
us_000493162,0.685598, 0.419042
us_000597165,0.685598, 0.427461
us_000445966,0.685598, 0.431958
us_000496284,0.685598, 0.432110
us_000553974,0.685598, 0.436511
us_000552418,0.685598, 0.448273
us_000513044,0.685598, 0.451697
us_000515115,0.685598, 0.471935
us_000559640,0.685598, 0.610835
us_000467308,0.597808, 0.000273
us_000467382,0.597808, 0.000273
us_000590274,0.597808, 0.746441
us_000500519,0.597808, 2.206436
us_000535970,0.597808, 2.262697
us_000580333,0.597808, 2.315945
us_000478085,0.597808, 2.422504
us_000581920,0.597808, 2.555549
us_000516024,0.597808, 2.587815
us_000535984,0.597808, 2.632328
us_000538082,0.597808, 2.671212
us_000614443,0.597808, 2.710948
us_000239257,0.597808, 2.880627
pr_000446633,0.460472, 0.000000
us_000490825,0.460472, 0.000047
us_000477099,0.460472, 0.915898
us_000494625,0.460472, 1.159621
us_000483593,0.460472, 1.159741
us_000466361,0.460472, 1.193660
us_000507871,0.460472, 1.215966
us_000473758,0.460472, 1.218197
us_000471615,0.460472, 1.220967
us_000483241,0.460472, 1.235511
us_000560513,0.460472, 1.251182
us_000571856,0.460472, 1.265914
us_000551753,0.460472, 1.273536
us_000548644,0.460472, 1.289958
us_000475477,0.460472, 1.329202
us_000561541,0.460472, 1.390706
pr_001039266,0.458946, 0.000000
us_000476189,0.458946, 0.166124
us_000485506,0.458946, 0.173118
us_000477422,0.458946, 0.185129
us_000510698,0.458946, 0.192574
us_000472910,0.458946, 0.195555
us_000469716,0.458946, 0.198522
us_000479177,0.458946, 0.199241
us_000479170,0.458946, 0.199243
us_000504768,0.458946, 0.202666
us_000509473,0.458946, 0.211020
us_000527273,0.458946, 0.213975
us_000510097,0.458946, 0.214237
us_000509444,0.458946, 0.216057
us_000492634,0.458946, 0.216312
us_000490372,0.458946, 0.216409
us_000511233,0.458946, 0.219720
us_000483166,0.458946, 0.222457
us_000465423,0.458946, 0.222583
us_000555450,0.458946, 0.223709
us_000469191,0.458946, 0.223973
us_000487326,0.458946, 0.226061
us_000476669,0.458946, 0.226898
us_000487309,0.458946, 0.228674
us_000461052,0.458946, 0.230507
us_000482960,0.458946, 0.230750
us_000355208,0.458946, 0.232639
us_000495293,0.458946, 0.233773
us_000599181,0.458946, 0.234511
us_000516466,0.458946, 0.235211
us_000510344,0.458946, 0.237007
us_000488753,0.458946, 0.238050
us_000484007,0.458946, 0.238353
us_000277051,0.458946, 0.238426
us_000484465,0.458946, 0.242031
us_000281369,0.458946, 0.242898
us_000499161,0.458946, 0.243830
us_000531649,0.458946, 0.244375
us_000493154,0.458946, 0.245814
us_000531867,0.458946, 0.246101
us_000506062,0.458946, 0.248917
us_000531996,0.458946, 0.248946
us_000472904,0.458946, 0.249467
us_000480626,0.458946, 0.251328
pr_000983213,0.458946, 0.251903
us_000524777,0.458946, 0.252922
us_000513091,0.458946, 0.253917
us_000525511,0.458946, 0.254027
us_000485693,0.458946, 0.256235
us_000509117,0.458946, 0.256985
us_000054963,0.458946, 0.256985
us_000509435,0.458946, 0.257911
us_000531988,0.458946, 0.258905
us_000556749,0.458946, 0.261448
us_000513420,0.458946, 0.263059
us_000481540,0.458946, 0.263961
us_000491010,0.458946, 0.263982
us_000551819,0.458946, 0.264064
us_000484745,0.458946, 0.265145
us_000507893,0.458946, 0.265336
us_000484595,0.458946, 0.265347
us_000508292,0.458946, 0.279100
us_000485354,0.458946, 0.279436
us_000482735,0.458946, 0.280278
us_000492014,0.458946, 0.280922
us_000501488,0.458946, 0.281712
us_000484661,0.458946, 0.282842
us_000503786,0.458946, 0.285917
us_000551846,0.458946, 0.287244
us_000525480,0.458946, 0.287365
us_000480613,0.458946, 0.295024
us_000551619,0.458946, 0.297072
us_000495338,0.458946, 0.304059
us_000492275,0.458946, 0.306967
us_000480896,0.458946, 0.319196
us_000499197,0.458946, 0.320233
us_000353885,0.458946, 0.324366
us_000548660,0.458946, 0.330041
us_000541854,0.458946, 0.333579
us_000597196,0.458946, 0.367697
us_000485353,0.458946, 0.462131
us_000521504,0.458946, 0.702053
us_000222560,0.310376, 0.067258
us_000057824,0.310376, 0.227985
us_000230781,0.310376, 0.277364
us_000322645,0.310376, 0.320531
us_000489526,0.310376, 0.362980
us_000547136,0.310376, 0.370775
us_000538403,0.310376, 0.380348
us_000517524,0.310376, 0.381592
us_000582389,0.310376, 0.392297
us_000581955,0.310376, 0.392652
us_000532712,0.310376, 0.400841
us_000582168,0.310376, 0.406033
us_000537982,0.310376, 0.408882
us_000522396,0.310376, 0.411145
us_000473573,0.310376, 0.419980
us_000479742,0.310376, 0.420493
us_000512372,0.310376, 0.421887
us_000512465,0.310376, 0.422589
us_000511840,0.310376, 0.423418
us_000597188,0.310376, 0.423706
us_000555910,0.310376, 0.430992
us_000528686,0.310376, 0.436814
us_000518010,0.310376, 0.440279
us_000535273,0.310376, 0.441427
us_000513142,0.310376, 0.442189
us_000579461,0.310376, 0.443946
us_000581926,0.310376, 0.450063
us_000473664,0.310376, 0.451165
us_000542509,0.310376, 0.452019
us_000575613,0.310376, 0.452190
us_000494443,0.310376, 0.453857
us_000477937,0.310376, 0.458643
us_000582093,0.310376, 0.459934
us_000515755,0.310376, 0.462873
us_000556214,0.310376, 0.465329
us_000545815,0.310376, 0.465780
us_000569558,0.310376, 0.466438
us_000533600,0.310376, 0.468980
us_000528445,0.310376, 0.470774
us_000576386,0.310376, 0.471962
us_000550406,0.310376, 0.472858
us_000595059,0.310376, 0.473296
us_000541038,0.310376, 0.474794
us_000485308,0.310376, 0.475837
us_000586099,0.310376, 0.477877
us_000479264,0.310376, 0.478000
us_000556389,0.310376, 0.478399
us_000501014,0.310376, 0.479503
us_000569560,0.310376, 0.480429
us_000485781,0.310376, 0.481693
us_000515627,0.310376, 0.481699
us_000491203,0.310376, 0.482158
us_000557408,0.310376, 0.482181
us_000482251,0.310376, 0.483864
us_000596990,0.310376, 0.484338
us_000584253,0.310376, 0.484452
us_000565245,0.310376, 0.485267
us_000587262,0.310376, 0.488521
us_000600489,0.310376, 0.489056
us_000558015,0.310376, 0.491568
us_000581256,0.310376, 0.491623
us_000549075,0.310376, 0.492928
us_000566816,0.310376, 0.494878
us_000558505,0.310376, 0.496630
us_000537104,0.310376, 0.499812
us_000550753,0.310376, 0.500757
us_000561068,0.310376, 0.501402
us_000557319,0.310376, 0.502291
us_000570137,0.310376, 0.505598
us_000597335,0.310376, 0.505651
us_000557409,0.310376, 0.507049
us_000508954,0.310376, 0.507960
us_000522724,0.310376, 0.508680
us_000522762,0.310376, 0.508956
us_000582397,0.310376, 0.512805
us_000576181,0.310376, 0.514346
us_000551878,0.310376, 0.517183
us_000546134,0.310376, 0.520921
us_000600062,0.310376, 0.525215
us_000582073,0.310376, 0.529673
us_000569841,0.310376, 0.530232
us_000479097,0.310376, 0.532185
us_000570079,0.310376, 0.568980
us_000529825,0.310376, 0.605271
us_000079129,0.305395, 0.841852
us_000572933,0.305395, 0.888299
us_000496191,0.305395, 1.134359
us_000527543,0.305395, 1.190568
us_000488466,0.305395, 1.250393
us_000585770,0.305395, 1.469508
us_000516596,0.305395, 1.704567
us_000538329,0.305395, 1.718774
us_000509361,0.281851, 0.000029
us_000549889,0.281851, 0.000029
us_000522650,0.281851, 1.397569
us_000592680,0.281851, 1.780992
us_000592673,0.281851, 1.858198
us_000594070,0.281851, 1.891714
us_000561669,0.281851, 2.027883
us_000537263,0.281851, 2.063172
us_000484081,0.281851, 2.128169
us_000485008,0.281851, 2.187827
us_000544020,0.281851, 2.227948
us_000527504,0.281851, 2.294690
us_000535789,0.281851, 2.325907
us_000595348,0.281851, 2.341877
us_000547759,0.281851, 2.390194
us_000483181,0.281851, 2.517861
pr_000444933,0.229623, 0.000000
pr_000913755,0.229623, 0.000000
us_000513282,0.229623, 0.000009
us_000466489,0.229623, 0.017200
us_000457821,0.229623, 0.037911
us_000465227,0.229623, 0.137094
us_000276343,0.229623, 0.141110
us_000472025,0.229623, 0.156879
us_000503942,0.229623, 0.158114
us_000580196,0.229623, 0.159754
us_000504114,0.229623, 0.167718
us_000533086,0.229623, 0.169672
us_000536130,0.229623, 0.177477
us_000511926,0.229623, 0.179266
us_000522709,0.229623, 0.181569
us_000536017,0.229623, 0.181585
us_000353229,0.229623, 0.181959
us_000485150,0.229623, 0.183203
us_000522673,0.229623, 0.183386
us_000596629,0.229623, 0.183847
us_000561539,0.229623, 0.185717
us_000522705,0.229623, 0.186962
us_000472379,0.229623, 0.187070
us_000469832,0.229623, 0.189505
us_000553579,0.229623, 0.189886
us_000584644,0.229623, 0.190861
us_000539825,0.229623, 0.191465
us_000277967,0.229623, 0.191773
us_000490883,0.229623, 0.192020
us_000504391,0.229623, 0.192563
us_000532319,0.229623, 0.192660
us_000575210,0.229623, 0.192789
us_000516966,0.229623, 0.193692
us_000460593,0.229623, 0.193761
us_000567385,0.229623, 0.194042
us_000482901,0.229623, 0.194288
us_000517798,0.229623, 0.195632
us_000476480,0.229623, 0.195817
us_000568965,0.229623, 0.195936
us_000580332,0.229623, 0.196145
us_000466104,0.229623, 0.196311
us_000468155,0.229623, 0.197095
us_000478756,0.229623, 0.197156
us_000469200,0.229623, 0.197630
us_000575792,0.229623, 0.197891
us_000553019,0.229623, 0.198526
pr_001770188,0.229623, 0.198616
us_000496922,0.229623, 0.199504
us_000471626,0.229623, 0.199593
pr_000320527,0.229623, 0.199791
us_000473189,0.229623, 0.199899
us_000476381,0.229623, 0.200051
us_000482949,0.229623, 0.200214
us_000551141,0.229623, 0.200572
us_000507372,0.229623, 0.201212
us_000495359,0.229623, 0.202284
us_000541179,0.229623, 0.202313
us_000473679,0.229623, 0.202347
us_000519878,0.229623, 0.202716
us_000515240,0.229623, 0.203179
us_000468252,0.229623, 0.203616
us_000219537,0.229623, 0.203658
us_000525471,0.229623, 0.203738
us_000470337,0.229623, 0.203840
us_000470329,0.229623, 0.204850
us_000516855,0.229623, 0.204894
pr_000865807,0.229623, 0.205131
us_000518644,0.229623, 0.205214
us_000557066,0.229623, 0.205214
us_000502967,0.229623, 0.205791
us_000545856,0.229623, 0.205860
us_000518690,0.229623, 0.206225
us_000561562,0.229623, 0.207320
us_000552872,0.229623, 0.207668
us_000458796,0.229623, 0.209023
us_000535695,0.229623, 0.209195
us_000487807,0.229623, 0.209296
us_000488784,0.229623, 0.209503
us_000492488,0.229623, 0.209714
us_000159482,0.229623, 0.210201
us_000552440,0.229623, 0.210221
us_000546810,0.229623, 0.210361
us_000546811,0.229623, 0.210361
us_000545871,0.229623, 0.210541
us_000470270,0.229623, 0.211282
us_000478896,0.229623, 0.211561
us_000488778,0.229623, 0.211673
us_000482379,0.229623, 0.212009
us_000546740,0.229623, 0.213711
us_000496094,0.229623, 0.217055
us_000575907,0.229623, 0.224005
us_000507340,0.229623, 0.224104
us_000463764,0.229623, 0.224417
us_000482591,0.229623, 0.230564
us_000279720,0.229623, 0.235511
us_000458791,0.229623, 0.236824
us_000460467,0.229623, 0.238031
us_000465166,0.229623, 0.243968
us_000516230,0.229623, 0.248601
us_000552357,0.229623, 0.253969
us_000530351,0.229623, 0.254919
us_000159553,0.229623, 0.256922
us_000482817,0.229623, 0.257799
us_000491268,0.229623, 0.259267
us_000536514,0.229623, 0.267916
us_000252048,0.229623, 0.273851
us_000474257,0.229623, 0.279129
us_000499965,0.229623, 0.326034
us_000559368,0.229623, 0.327171
us_000511195,0.229623, 0.336555
us_000472885,0.229623, 0.341196
us_000473376,0.229623, 0.353941
us_000518581,0.229623, 0.356102
us_000509566,0.229623, 0.377884
us_000515257,0.229623, 0.549401
us_000132962,0.201279, 0.336150
us_000496995,0.201279, 0.385051
us_000517969,0.201279, 0.394396
us_000534450,0.201279, 0.418296
us_000486276,0.201279, 0.418915
us_000122764,0.201279, 0.425008
us_000529364,0.201279, 0.429639
us_000486225,0.201279, 0.434381
us_000479034,0.201279, 0.434850
us_000353702,0.201279, 0.435599
us_000414852,0.201279, 0.436780
us_000509627,0.201279, 0.437755
us_000516875,0.201279, 0.441283
us_000535807,0.201279, 0.444006
us_000490405,0.201279, 0.450996
us_000490914,0.201279, 0.456321
us_000542783,0.201279, 0.460063
us_000505832,0.201279, 0.460611
us_000486205,0.201279, 0.461615
us_000481346,0.201279, 0.462831
us_000224125,0.201279, 0.463680
us_000474910,0.201279, 0.463771
us_000487263,0.201279, 0.465156
us_000487187,0.201279, 0.469244
us_000481060,0.201279, 0.472308
us_000504253,0.201279, 0.473341
us_000480886,0.201279, 0.474012
us_000481789,0.201279, 0.474959
us_000526061,0.201279, 0.476810
us_000474077,0.201279, 0.476850
us_000497760,0.201279, 0.479901
us_000539868,0.201279, 0.480124
us_000485047,0.201279, 0.480415
us_000589066,0.201279, 0.480625
us_000461193,0.201279, 0.481552
us_000483183,0.201279, 0.482054
us_000197187,0.201279, 0.482363
us_000497013,0.201279, 0.482987
us_000485004,0.201279, 0.483641
us_000496484,0.201279, 0.485734
us_000523694,0.201279, 0.488546
us_000515833,0.201279, 0.489396
us_000523998,0.201279, 0.489651
us_000494716,0.201279, 0.493883
us_000524011,0.201279, 0.494483
us_000505860,0.201279, 0.495718
us_000476710,0.201279, 0.496352
us_000484689,0.201279, 0.496836
us_000480578,0.201279, 0.499794
us_000484116,0.201279, 0.502692
us_000480839,0.201279, 0.503051
us_000518820,0.201279, 0.508804
us_000488619,0.201279, 0.518472
us_000480837,0.201279, 0.520229
us_000494978,0.201279, 0.521180
us_000487846,0.201279, 0.521242
us_000475189,0.201279, 0.535085
us_000560568,0.201279, 0.539181
us_000515781,0.201279, 0.548777
us_000477485,0.201279, 0.560383
us_000504619,0.201279, 0.577955
us_000582280,0.201279, 0.591708
us_000484451,0.201279, 0.614949
us_000551635,0.201279, 0.645367
us_000474738,0.201279, 0.736147
us_000241025,0.170468, 0.264816
us_000480167,0.170468, 0.326422
us_000531822,0.170468, 0.365330
us_000553390,0.170468, 0.369573
us_000477490,0.170468, 0.377366
us_000461306,0.170468, 0.393593
us_000503002,0.170468, 0.410097
us_000473498,0.170468, 0.425602
us_000459248,0.170468, 0.428873
us_000568035,0.170468, 0.434865
us_000533455,0.170468, 0.445144
us_000503906,0.170468, 0.478529
us_000484614,0.170468, 0.484173
us_000532935,0.170468, 0.525566
us_000518044,0.170468, 0.618680
us_000573584,0.170468, 0.704160
us_000584679,0.170468, 0.859640
pr_000411934,0.134497, 0.000002
pr_001834935,0.134497, 0.000028
us_000497231,0.134497, 0.000346
us_000496831,0.134497, 0.435217
us_000572967,0.134497, 0.464866
us_000497574,0.134497, 0.472807
us_000496821,0.134497, 0.477102
us_000497046,0.134497, 0.498664
us_000573782,0.134497, 0.510844
us_000496769,0.134497, 0.519301
us_000573783,0.134497, 0.524478
us_000579457,0.134497, 0.525665
us_000580114,0.134497, 0.541867
us_000614960,0.134497, 0.571093
us_000614610,0.134497, 0.573706
us_000571778,0.134497, 0.596034
us_000585309,0.134497, 0.602034
us_000579621,0.134497, 0.610985
us_000550369,0.134497, 0.618922
us_000572694,0.134497, 0.623435
us_000275660,0.134497, 0.626703
us_000615192,0.134497, 0.628355
us_000616328,0.134497, 0.639727
us_000585392,0.134497, 0.691826
us_000554629,0.134497, 0.698872
us_000485319,0.134497, 0.706959
us_000485604,0.134497, 0.727411
us_000319046,0.134497, 0.728773
us_000569091,0.134497, 0.729731
us_000543405,0.134497, 0.746750
us_000324891,0.134497, 0.752337
us_000551076,0.134497, 0.752529
us_000549578,0.134497, 0.753148
us_000568645,0.134497, 0.754092
us_000523529,0.134497, 0.754650
us_000569154,0.134497, 0.758595
us_000478757,0.134497, 0.758603
us_000569886,0.134497, 0.772267
us_000509447,0.134497, 0.775087
us_000520873,0.134497, 0.779754
us_000508161,0.134497, 0.787659
us_000584430,0.134497, 0.791565
us_000499394,0.134497, 0.795798
us_000519020,0.134497, 0.796168
us_000568130,0.134497, 0.800563
us_000517965,0.134497, 0.800805
us_000593987,0.134497, 0.803281
us_000569933,0.134497, 0.805559
us_000517538,0.134497, 0.809680
us_000519601,0.134497, 0.811617
us_000556751,0.134497, 0.812155
us_000246885,0.134497, 0.812754
us_000598851,0.134497, 0.817191
us_000478386,0.134497, 0.817915
us_000556288,0.134497, 0.819486
us_000594101,0.134497, 0.824617
us_000543593,0.134497, 0.831077
us_000550086,0.134497, 0.831337
us_000600467,0.134497, 0.835626
us_000600476,0.134497, 0.844039
us_000519565,0.134497, 0.844122
us_000593962,0.134497, 0.845002
us_000617052,0.134497, 0.845968
us_000598943,0.134497, 0.845968
us_000593203,0.134497, 0.845968
us_000594135,0.134497, 0.845968
us_000598640,0.134497, 0.848745
us_000567343,0.134497, 0.850950
us_000594108,0.134497, 0.851722
us_000598688,0.134497, 0.859899
us_000553977,0.134497, 0.861163
us_000518385,0.134497, 0.865390
us_000593398,0.134497, 0.881395
us_000509351,0.134497, 1.146324
us_000221970,0.134497, 2.299683
us_000554671,0.083521, 0.000000
pr_001112473,0.083521, 0.000000
us_000496365,0.083521, 0.000000
us_000544623,0.083521, 0.000000
us_000535783,0.083521, 0.000000
us_000496566,0.083521, 0.000000
us_000496108,0.083521, 0.000000
us_000532030,0.083521, 0.000000
us_000543350,0.083521, 0.000000
pr_000575941,0.083521, 0.000007
pr_001953261,0.083521, 0.000014
pr_001665776,0.083521, 0.000195
pr_000587716,0.083521, 0.000376
us_000076354,0.083521, 0.268644
us_000481997,0.083521, 0.272447
us_000462687,0.083521, 0.273047
us_000472809,0.083521, 0.273453
us_000522679,0.083521, 0.276198
us_000545040,0.083521, 0.293275
us_000154001,0.083521, 0.296464
us_000491162,0.083521, 0.299878
us_000578340,0.083521, 0.300126
us_000500504,0.083521, 0.301075
us_000485056,0.083521, 0.301902
us_000515223,0.083521, 0.304538
us_000482125,0.083521, 0.304646
us_000516198,0.083521, 0.304767
us_000514193,0.083521, 0.305357
us_000573530,0.083521, 0.307098
us_000511406,0.083521, 0.307143
