Product ID : 2062 # of JPs covered : 1 : 111 : International Trade, 
OID,Confidence at Map Node,Error at Map Node
pr_000006733,0.531767, 0.000000
us_000535101,0.531767, 0.000023
us_000472262,0.531767, 0.007106
us_000178280,0.531767, 0.033863
us_000464698,0.531767, 0.056168
us_000409962,0.531767, 0.119810
us_000495865,0.531767, 0.307949
pr_001665098,0.475845, 0.000003
us_000551013,0.475845, 0.000424
us_000479146,0.475845, 0.002099
us_000606209,0.475845, 0.007140
us_000509053,0.475845, 0.013591
us_000542780,0.475845, 0.030387
us_000499272,0.475845, 0.039506
us_000536946,0.475845, 0.121583
us_000518286,0.475845, 0.121583
us_000542154,0.475845, 0.121583
us_000501491,0.475845, 0.121583
us_000501502,0.475845, 0.121583
us_000518025,0.475845, 0.128417
us_000567121,0.475845, 0.128417
us_000543066,0.475845, 0.128417
us_000521369,0.475845, 0.128417
us_000511821,0.475845, 0.128417
us_000535447,0.475845, 0.128417
us_000542306,0.475845, 0.128417
us_000501469,0.475845, 0.128417
us_000501445,0.475845, 0.128417
us_000518233,0.475845, 0.135521
us_000534287,0.475845, 0.135521
us_000532950,0.475845, 0.135521
us_000552615,0.475845, 0.135521
us_000567980,0.475845, 0.135521
us_000559712,0.475845, 0.135521
us_000481466,0.475845, 0.135521
us_000559674,0.475845, 0.135521
us_000500246,0.475845, 0.135521
us_000565746,0.475845, 0.135521
us_000559199,0.475845, 0.135521
us_000568515,0.475845, 0.135521
us_000517317,0.475845, 0.135521
us_000540179,0.475845, 0.142896
us_000517748,0.475845, 0.142896
us_000568251,0.475845, 0.142896
us_000561249,0.475845, 0.142896
us_000568566,0.475845, 0.142896
us_000568254,0.475845, 0.142896
us_000568761,0.475845, 0.142896
us_000542950,0.475845, 0.142896
us_000522601,0.475845, 0.142896
us_000540849,0.475845, 0.142896
us_000568757,0.475845, 0.142896
us_000603035,0.475845, 0.142896
us_000522208,0.475845, 0.142896
us_000525401,0.475845, 0.142896
us_000542793,0.475845, 0.142896
us_000560251,0.475845, 0.142896
us_000540100,0.475845, 0.142896
us_000542075,0.475845, 0.142896
us_000569381,0.475845, 0.142896
us_000566421,0.475845, 0.142896
us_000527422,0.475845, 0.142896
us_000513191,0.475845, 0.142896
us_000506934,0.475845, 0.142896
us_000480826,0.475845, 0.142896
us_000542409,0.475845, 0.142896
us_000532649,0.475845, 0.142896
us_000536394,0.475845, 0.142896
us_000569620,0.475845, 0.142896
us_000568564,0.475845, 0.142896
us_000562901,0.475845, 0.142896
us_000569380,0.475845, 0.142896
us_000568386,0.475845, 0.142896
us_000567865,0.475845, 0.142896
us_000534468,0.475845, 0.142896
us_000560249,0.475845, 0.142896
us_000506284,0.475845, 0.142896
us_000547016,0.475845, 0.142896
us_000542108,0.475845, 0.142896
us_000568228,0.475845, 0.142896
us_000567872,0.475845, 0.142896
us_000522523,0.475845, 0.142896
us_000569230,0.475845, 0.142896
us_000511723,0.475845, 0.142896
us_000560232,0.475845, 0.142896
us_000532141,0.475845, 0.142896
us_000549780,0.475845, 0.142896
us_000506429,0.475845, 0.142896
us_000568211,0.475845, 0.142896
us_000551896,0.475845, 0.142896
us_000515278,0.475845, 0.142896
us_000560628,0.475845, 0.142896
us_000567913,0.475845, 0.142896
us_000532290,0.475845, 0.142896
us_000560625,0.475845, 0.142896
us_000560285,0.475845, 0.142896
us_000542942,0.475845, 0.142896
us_000534659,0.475845, 0.142896
us_000569899,0.475845, 0.142896
us_000505081,0.475845, 0.142896
us_000569385,0.475845, 0.142896
us_000568565,0.475845, 0.142896
us_000542348,0.475845, 0.142896
us_000482169,0.475845, 0.142896
us_000569373,0.475845, 0.142896
us_000568704,0.475845, 0.142896
us_000569379,0.475845, 0.142896
us_000518067,0.475845, 0.144360
us_000546991,0.475845, 0.150273
us_000511039,0.382270, 0.000000
us_000512007,0.382270, 0.000000
us_000475289,0.382270, 0.000000
us_000535825,0.382270, 0.000000
us_000566194,0.382270, 0.000000
pr_001819539,0.382270, 0.000000
pr_000747274,0.382270, 0.000000
pr_001153418,0.382270, 0.000000
pr_000212919,0.382270, 0.000000
pr_000208179,0.382270, 0.000000
pr_001122259,0.382270, 0.000000
pr_000978687,0.382270, 0.000000
pr_000962667,0.382270, 0.000000
pr_001060772,0.382270, 0.000000
pr_001825574,0.382270, 0.000000
pr_001015081,0.382270, 0.000000
pr_000484380,0.382270, 0.000000
pr_000496287,0.382270, 0.000004
pr_000111203,0.382270, 0.000021
pr_000488520,0.382270, 0.000022
us_000538638,0.382270, 0.000421
pr_000202619,0.382270, 0.000437
us_000586770,0.382270, 0.001990
us_000505777,0.382270, 0.004445
us_000555566,0.382270, 0.005034
us_000600555,0.382270, 0.035409
us_000532574,0.382270, 0.046087
us_000532486,0.382270, 0.046691
us_000499883,0.382270, 0.064650
us_000505487,0.257131, 0.000271
pr_001846520,0.186087, 0.000000
pr_000249604,0.186087, 0.000000
pr_000753747,0.186087, 0.000000
pr_001013519,0.186087, 0.000000
pr_001581110,0.186087, 0.000000
us_000556262,0.186087, 0.000021
pr_000378889,0.186087, 0.000062
us_000501387,0.186087, 0.000163
us_000579544,0.186087, 0.000193
us_000590250,0.186087, 0.000193
us_000591092,0.186087, 0.000193
us_000519207,0.186087, 0.000536
us_000563623,0.186087, 0.000711
us_000511355,0.186087, 0.000805
us_000528590,0.186087, 0.000815
us_000590335,0.186087, 0.000838
us_000597377,0.186087, 0.000877
us_000585740,0.186087, 0.001532
us_000570496,0.186087, 0.003514
us_000556852,0.186087, 0.003537
us_000490344,0.186087, 0.006177
us_000569862,0.186087, 0.007055
us_000487074,0.186087, 0.010550
pr_000800421,0.145479, 0.000000
pr_000119546,0.145479, 0.000000
pr_000795490,0.145479, 0.000000
pr_000624337,0.145479, 0.000000
pr_000824029,0.145479, 0.000000
pr_000608080,0.145479, 0.000000
pr_000624310,0.145479, 0.000000
pr_000085143,0.145479, 0.000000
pr_000140629,0.145479, 0.000000
pr_000777651,0.145479, 0.000000
pr_000018222,0.145479, 0.000000
pr_000731581,0.145479, 0.000000
pr_000381025,0.145479, 0.000003
us_000532604,0.145479, 0.000024
us_000482324,0.145479, 0.000024
us_000464223,0.145479, 0.000031
us_000189773,0.145479, 0.000031
us_000590462,0.145479, 0.000111
us_000462742,0.145479, 0.000240
us_000497208,0.145479, 0.000365
us_000523219,0.145479, 0.000365
us_000536507,0.145479, 0.000501
us_000520435,0.145479, 0.000501
us_000475402,0.145479, 0.000868
us_000580402,0.145479, 0.002424
us_000053089,0.145479, 0.014736
us_000481289,0.145479, 0.081555
pr_000274197,0.092085, 0.000000
pr_000010172,0.092085, 0.000001
us_000594528,0.092085, 0.000001
us_000575363,0.092085, 0.000001
us_000594541,0.092085, 0.000001
pr_000347852,0.092085, 0.000002
us_000536954,0.092085, 0.000030
us_000504149,0.092085, 0.000030
us_000552611,0.092085, 0.000315
us_000482366,0.092085, 0.000863
us_000532503,0.092085, 0.000863
us_000521323,0.092085, 0.000863
us_000528731,0.092085, 0.000863
us_000537044,0.092085, 0.000863
us_000521320,0.092085, 0.000863
us_000486760,0.092085, 0.003602
us_000518011,0.092085, 0.003848
us_000471691,0.092085, 0.004191
us_000551060,0.092085, 0.007507
us_000486769,0.092085, 0.010821
us_000551011,0.092085, 0.010920
us_000518748,0.092085, 0.012970
us_000558286,0.092085, 0.014172
us_000488966,0.092085, 0.017864
us_000504106,0.092085, 0.018572
us_000524924,0.092085, 0.022139
us_000485292,0.092085, 0.022505
us_000468732,0.092085, 0.023111
us_000466910,0.092085, 0.024523
us_000484069,0.092085, 0.024909
us_000516823,0.092085, 0.025916
us_000506405,0.092085, 0.028300
us_000286220,0.092085, 0.028343
us_000506764,0.092085, 0.028630
us_000488878,0.092085, 0.031171
us_000501921,0.092085, 0.032066
us_000482344,0.092085, 0.035987
us_000501550,0.092085, 0.046579
us_000550828,0.092085, 0.050223
us_000502603,0.092085, 0.050806
us_000471734,0.092085, 0.050980
us_000529311,0.092085, 0.053818
us_000410813,0.092085, 0.057227
us_000482369,0.092085, 0.057405
us_000555271,0.092085, 0.060716
us_000530800,0.092085, 0.061532
us_000530310,0.092085, 0.061987
us_000514443,0.092085, 0.068533
us_000493842,0.092085, 0.071367
us_000545180,0.092085, 0.071367
us_000464265,0.092085, 0.071633
us_000484404,0.092085, 0.072151
us_000549706,0.092085, 0.073457
us_000483911,0.092085, 0.074055
us_000523886,0.092085, 0.074253
us_000323546,0.092085, 0.074879
us_000483943,0.092085, 0.075153
us_000471713,0.092085, 0.076180
us_000513059,0.092085, 0.078497
us_000529195,0.092085, 0.081269
us_000468665,0.092085, 0.082092
us_000464989,0.092085, 0.084167
us_000487526,0.092085, 0.085372
us_000530149,0.092085, 0.085627
us_000540278,0.092085, 0.108991
us_000467648,0.092085, 0.108991
us_000518710,0.092085, 0.108991
us_000544201,0.092085, 0.108991
us_000520345,0.092085, 0.109142
us_000500788,0.092085, 0.109142
us_000483925,0.092085, 0.109556
us_000499267,0.092085, 0.110608
us_000518308,0.092085, 0.115388
us_000496129,0.092085, 0.116393
us_000471573,0.092085, 0.125579
us_000540300,0.092085, 0.126739
us_000484889,0.092085, 0.131627
us_000517855,0.092085, 0.133982
us_000501404,0.092085, 0.136299
us_000487448,0.092085, 0.137913
us_000550139,0.092085, 0.177800
us_000517836,0.092085, 0.204552
us_000262970,0.092085, 0.213388
us_000466878,0.092085, 0.217029
us_000459272,0.092085, 0.476091
us_000530760,0.092085, 1.088345
