Product ID : 929 # of JPs covered : 1 : 85 : Employment, 
OID,Confidence at Map Node,Error at Map Node
pr_000582979,0.167202, 0.000231
pr_000217881,0.167202, 0.000234
pr_001120242,0.167202, 0.000251
pr_000346396,0.167202, 0.000275
pr_000646798,0.167202, 0.000275
pr_000343851,0.167202, 0.000281
pr_001642690,0.167202, 0.000359
pr_000938885,0.167202, 0.000380
pr_000798397,0.167202, 0.000677
us_000592168,0.167202, 0.001554
us_000551414,0.167202, 0.001586
us_000391815,0.167202, 0.007065
us_000477762,0.167202, 1.981374
us_000533314,0.023873, 0.000000
pr_000194396,0.023873, 0.000091
us_000474598,0.023873, 0.025673
us_000247366,0.023873, 0.414228
us_000504054,0.023873, 0.593747
us_000460772,0.023873, 0.682828
us_000460804,0.023873, 0.689852
us_000500056,0.023873, 0.729131
pr_001119461,0.015392, 0.000000
pr_001098753,0.015392, 0.000000
pr_000811740,0.015392, 0.000000
pr_001686879,0.015392, 0.000000
pr_000973639,0.015392, 0.000000
pr_001693438,0.015392, 0.000000
us_000526800,0.015392, 0.000004
pr_000187657,0.015392, 0.000021
pr_000199961,0.015392, 0.000030
pr_000199404,0.015392, 0.000030
pr_001401087,0.015392, 0.000030
pr_000199527,0.015392, 0.000030
pr_000556316,0.015392, 0.000039
pr_000666162,0.015392, 0.000046
pr_000717622,0.015392, 0.000058
pr_000889180,0.015392, 0.000064
pr_001095280,0.015392, 0.000064
pr_000887411,0.015392, 0.000064
pr_000313768,0.015392, 0.000064
pr_000563633,0.015392, 0.000084
pr_000209371,0.015392, 0.000084
pr_000989343,0.015392, 0.000084
pr_000743224,0.015392, 0.000084
pr_000206511,0.015392, 0.000084
pr_000566089,0.015392, 0.000084
pr_001722920,0.015392, 0.000084
pr_000763875,0.015392, 0.000084
pr_001700224,0.015392, 0.000084
pr_000204412,0.015392, 0.000084
pr_001163752,0.015392, 0.000088
pr_000657817,0.015392, 0.000096
pr_000829773,0.015392, 0.000096
pr_000569601,0.015392, 0.000096
pr_000234712,0.015392, 0.000101
pr_000193543,0.015392, 0.000122
pr_000219823,0.015392, 0.000165
pr_000903670,0.015392, 0.000201
pr_000155966,0.015392, 0.000210
pr_000742634,0.015392, 0.000249
pr_000586632,0.015392, 0.000265
pr_000850198,0.015392, 0.000300
pr_000760256,0.015392, 0.000399
pr_000903593,0.015392, 0.000463
pr_001685218,0.015392, 0.000528
pr_000989830,0.015392, 0.000677
pr_001106223,0.015392, 0.000684
pr_000210244,0.015392, 0.000749
pr_001015991,0.015392, 0.000786
pr_001025926,0.015392, 0.001473
us_000538777,0.015392, 0.006298
us_000527934,0.015392, 0.024420
us_000245697,0.015392, 1.092182
us_000505589,0.015392, 1.161716
us_000093803,0.015392, 1.321901
