Product ID : 993 JPs covered : 210 : Accounting-Employee Benefit Plan, 
OID,Confidence at Map Node,Error at Map Node
us_000532161,1.000000, 1.794890
us_000507161,1.000000, 1.794987
us_000538825,1.000000, 1.801252
us_000519953,1.000000, 1.801252
us_000538720,1.000000, 1.807662
us_000506205,1.000000, 1.919845
us_000468291,1.000000, 2.024984
pr_000557693,0.952117, 0.000000
pr_001158210,0.952117, 0.000000
us_000486195,0.952117, 0.000000
us_000500670,0.952117, 0.000000
us_000586355,0.952117, 0.000000
pr_001873462,0.952117, 0.000000
us_000530774,0.952117, 0.000001
us_000545809,0.952117, 0.000001
us_000544548,0.952117, 0.000001
pr_001873335,0.952117, 0.000001
pr_002050689,0.952117, 0.000001
us_000460986,0.952117, 0.000009
pr_001778745,0.952117, 0.000013
pr_000005246,0.952117, 0.000027
us_000533237,0.952117, 0.000030
us_000531145,0.952117, 0.000399
us_000470655,0.952117, 0.000411
us_000539395,0.952117, 0.006789
us_000537988,0.952117, 0.025486
us_000518919,0.952117, 1.174891
pr_000514031,0.486947, 0.000000
pr_001044744,0.486947, 0.000000
pr_000566198,0.486947, 0.000000
pr_001028448,0.486947, 0.000003
us_000471987,0.486947, 0.000004
pr_001065550,0.486947, 0.000005
pr_001999652,0.486947, 0.000024
pr_000962129,0.486947, 0.000027
us_000573803,0.486947, 0.000075
us_000579840,0.486947, 0.000192
pr_001785138,0.486947, 0.000224
pr_001049181,0.486947, 0.000231
pr_002137395,0.486947, 0.000281
pr_000829246,0.486947, 0.000354
pr_001148639,0.486947, 0.000446
pr_000570095,0.486947, 0.000898
pr_001891988,0.486947, 0.001059
pr_000817726,0.486947, 0.001235
pr_001147179,0.486947, 0.001617
us_000484050,0.486947, 0.005344
us_000573849,0.486947, 0.021120
us_000025508,0.486947, 0.107546
us_000217292,0.486947, 0.297111
us_000022324,0.486947, 0.319710
us_000565160,0.486947, 0.324810
us_000459429,0.486947, 0.340431
us_000469506,0.486947, 0.340724
us_000529743,0.486947, 0.344354
us_000530093,0.486947, 0.350315
us_000004320,0.486947, 0.352344
us_000597661,0.486947, 0.362757
us_000533886,0.486947, 0.365765
us_000555576,0.486947, 0.365939
us_000460204,0.486947, 0.374177
us_000564604,0.486947, 0.376952
us_000533927,0.486947, 0.380033
us_000000642,0.486947, 0.380033
us_000468937,0.486947, 0.381494
us_000500277,0.486947, 0.388990
us_000548713,0.486947, 0.390445
us_000564774,0.486947, 0.392837
us_000554974,0.486947, 0.394883
us_000030767,0.486947, 0.407836
us_000555467,0.486947, 0.550705
us_000458621,0.486947, 0.811163
us_000548257,0.385872, 0.000000
us_000565291,0.385872, 0.000000
us_000524983,0.385872, 0.000000
us_000557222,0.385872, 0.000000
pr_001010683,0.385872, 0.000000
pr_001156460,0.385872, 0.000001
pr_000567343,0.385872, 0.000008
pr_001853625,0.385872, 0.000009
pr_001800896,0.385872, 0.000009
pr_001151113,0.385872, 0.000009
us_000548287,0.385872, 0.000013
pr_000821528,0.385872, 0.000045
us_000529802,0.385872, 0.000053
us_000529739,0.385872, 0.000053
us_000581687,0.385872, 0.000053
us_000532159,0.385872, 0.000053
pr_001149991,0.385872, 0.000203
pr_000817401,0.385872, 0.000612
pr_001149038,0.385872, 0.000738
pr_000641905,0.385872, 0.000855
pr_002108777,0.385872, 0.001038
pr_001155518,0.385872, 0.001147
pr_001156981,0.385872, 0.001199
pr_001110591,0.385872, 0.001252
pr_001781199,0.385872, 0.001681
pr_001804783,0.385872, 0.001944
pr_001671930,0.385872, 0.002266
pr_001159047,0.385872, 0.002951
us_000482787,0.385872, 0.007802
us_000512542,0.385872, 0.220936
us_000215448,0.385872, 0.237192
us_000520246,0.385872, 0.238081
us_000537900,0.385872, 0.244162
us_000553272,0.385872, 0.265957
us_000476410,0.385872, 0.269037
us_000480242,0.385872, 0.272619
us_000535136,0.385872, 0.277212
us_000229265,0.385872, 0.281347
us_000460509,0.385872, 0.285505
us_000521878,0.385872, 0.286421
us_000523765,0.385872, 0.286521
us_000480965,0.385872, 0.286737
us_000464791,0.385872, 0.286940
us_000459330,0.385872, 0.287551
us_000460347,0.385872, 0.288701
us_000005271,0.385872, 0.289559
us_000569851,0.385872, 0.291517
us_000520087,0.385872, 0.291759
us_000458721,0.385872, 0.293322
us_000460063,0.385872, 0.295490
us_000581657,0.385872, 0.296484
us_000542233,0.385872, 0.296548
us_000597928,0.385872, 0.297183
us_000492250,0.385872, 0.297727
us_000529668,0.385872, 0.298644
us_000385500,0.385872, 0.305034
