Feature Weight Segment using Normalized (across all features per example) examples for ftr idx : 68 corresponding to JP :250
ftrVal,count,BMU Map Loc
0.9848053,1.0,(8|20)
0.9808701,1.0,(7|21)
0.9758581,1.0,(7|20)
0.9752912,1.0,(8|19)
0.9552681,1.0,(6|21)
0.9422501,1.0,(9|20)
0.9400799,1.0,(7|19)
0.9277996,1.0,(8|21)
0.8480994,1.0,(8|18)
0.8396617,1.0,(9|19)
0.8220462,1.0,(7|18)
0.5703891,1.0,(9|21)
0.5656735,1.0,(9|18)
0.5368255,1.0,(8|17)
0.3765508,1.0,(6|19)
0.3591317,1.0,(7|22)
0.3349103,1.0,(9|22)
0.3124868,1.0,(7|17)
0.2561567,1.0,(7|39)
0.2315719,1.0,(17|37)
0.2307402,1.0,(7|41)
0.2296633,1.0,(7|38)
0.2288197,1.0,(7|40)
0.2256573,1.0,(1|46)
0.2252330,1.0,(10|19)
0.2218377,1.0,(16|37)
0.2202580,1.0,(8|39)
0.2087511,1.0,(6|41)
0.2040938,1.0,(6|42)
0.1956458,1.0,(8|35)
0.1881025,1.0,(7|42)
0.1870205,1.0,(7|43)
0.1829327,1.0,(17|4)
0.1829098,1.0,(10|21)
0.1827994,1.0,(16|27)
0.1805458,1.0,(8|22)
0.1677640,1.0,(8|40)
0.1595470,1.0,(11|16)
0.1539227,1.0,(6|40)
0.1534014,1.0,(14|39)
0.1491992,1.0,(16|26)
0.1472229,1.0,(8|43)
0.1424831,1.0,(8|34)
0.1413590,1.0,(6|20)
0.1382222,1.0,(9|43)
0.1375935,1.0,(13|41)
0.1289427,1.0,(2|45)
0.1270331,1.0,(2|44)
0.1235424,1.0,(10|20)
0.1167918,1.0,(6|43)
0.1137977,1.0,(10|16)
0.1136722,1.0,(9|17)
0.1099491,1.0,(8|42)
0.1073126,1.0,(18|37)
0.1058117,1.0,(10|18)
0.09779051,1.0,(7|35)
0.09431680,1.0,(11|29)
0.09338215,1.0,(8|38)
0.08903328,1.0,(17|3)
0.08726437,1.0,(8|44)
0.08521794,1.0,(17|36)
0.08404958,1.0,(9|42)
0.08369011,1.0,(11|14)
0.08205435,1.0,(1|37)
0.08059584,1.0,(2|46)
0.07922268,1.0,(16|36)
0.07911207,1.0,(11|15)
0.07878650,1.0,(10|10)
0.07672420,1.0,(1|45)
0.07514527,1.0,(5|42)
0.07355277,1.0,(13|42)
0.07355188,1.0,(9|35)
0.07338596,1.0,(9|26)
0.07182426,1.0,(7|36)
0.07087988,1.0,(7|37)
0.07082574,1.0,(9|16)
0.06962418,1.0,(8|36)
0.06663642,1.0,(12|15)
0.06579721,1.0,(10|22)
0.06577902,1.0,(9|44)
0.06540696,1.0,(10|43)
0.06108615,1.0,(8|16)
0.06083477,1.0,(14|41)
0.05676358,1.0,(10|26)
0.05538162,1.0,(15|14)
0.05448052,1.0,(12|16)
0.05315213,1.0,(13|40)
0.05235127,1.0,(13|39)
0.05173531,1.0,(15|26)
0.05072973,1.0,(32|3)
0.05070042,1.0,(16|25)
0.04783602,1.0,(30|23)
0.04726351,1.0,(12|29)
0.04700298,1.0,(8|26)
0.04692439,1.0,(9|15)
0.04644747,1.0,(17|27)
0.04530989,1.0,(1|47)
0.04491662,1.0,(11|17)
0.04424598,1.0,(17|38)
0.04378380,1.0,(17|18)
0.04340717,1.0,(10|15)
0.04334145,1.0,(15|39)
0.04232314,1.0,(11|21)
0.04173501,1.0,(16|5)
0.04112149,1.0,(9|34)
0.04092210,1.0,(22|30)
0.04071230,1.0,(14|14)
0.04069714,1.0,(23|30)
0.04007159,1.0,(18|38)
0.03962846,1.0,(12|18)
0.03960453,1.0,(17|35)
0.03925549,1.0,(2|43)
0.03916102,1.0,(12|41)
0.03810637,1.0,(11|28)
0.03778819,1.0,(18|36)
0.03734664,1.0,(9|25)
0.03680985,1.0,(3|44)
0.03561095,1.0,(13|28)
0.03531235,1.0,(12|28)
0.03397359,1.0,(14|15)
0.03367948,1.0,(12|33)
0.03293208,1.0,(12|34)
0.03167413,1.0,(13|22)
0.03123142,1.0,(0|21)
0.03065376,1.0,(10|14)
0.03063628,1.0,(12|3)
0.03022576,1.0,(10|25)
0.02994832,1.0,(17|17)
0.02988145,1.0,(0|46)
0.02945150,1.0,(19|42)
0.02904439,1.0,(16|38)
0.02877671,1.0,(16|20)
0.02832885,1.0,(0|17)
0.02808432,1.0,(21|16)
0.02790143,1.0,(2|37)
0.02766865,1.0,(10|27)
0.02742325,1.0,(16|47)
0.02729619,1.0,(29|49)
0.02725450,1.0,(17|5)
0.02704647,1.0,(33|3)
0.02643340,1.0,(18|4)
0.02637665,1.0,(16|19)
0.02580729,1.0,(10|39)
0.02574329,1.0,(11|13)
0.02516022,1.0,(15|15)
0.02464809,1.0,(14|31)
0.02453425,1.0,(6|31)
0.02430237,1.0,(29|23)
0.02429828,1.0,(16|28)
0.02410935,1.0,(20|13)
0.02395216,1.0,(20|12)
0.02394013,1.0,(8|25)
0.02382671,1.0,(17|28)
0.02343713,1.0,(12|17)
0.02342113,1.0,(1|36)
0.02328818,1.0,(17|23)
0.02324307,1.0,(0|18)
0.02269026,1.0,(15|37)
0.02256641,1.0,(22|31)
0.02243813,1.0,(13|15)
0.02227404,1.0,(11|19)
0.02191770,1.0,(32|2)
0.02164972,1.0,(13|14)
0.02144668,1.0,(15|40)
0.02099966,1.0,(2|20)
0.02082965,1.0,(6|39)
0.02075409,1.0,(0|16)
0.02059654,1.0,(16|21)
0.02039247,1.0,(1|20)
0.02017181,1.0,(16|4)
0.02012525,1.0,(6|22)
0.01970197,1.0,(2|8)
0.01950591,1.0,(7|16)
0.01945479,1.0,(8|15)
0.01930580,1.0,(21|13)
0.01914354,1.0,(17|2)
0.01911075,1.0,(30|22)
0.01883392,1.0,(7|34)
0.01852814,1.0,(8|33)
0.01850195,1.0,(11|26)
0.01809381,1.0,(17|20)
0.01803188,1.0,(38|4)
0.01793183,1.0,(17|26)
0.01782395,1.0,(2|9)
0.01781008,1.0,(11|34)
0.01778326,1.0,(29|25)
0.01776862,1.0,(16|18)
0.01767289,1.0,(15|28)
0.01753923,1.0,(18|18)
0.01731282,1.0,(13|33)
0.01728979,1.0,(17|19)
0.01724421,1.0,(12|19)
0.01723688,1.0,(29|48)
0.01706612,1.0,(30|48)
0.01705983,1.0,(18|17)
0.01698273,1.0,(31|23)
0.01692811,1.0,(15|20)
0.01678378,1.0,(25|25)
0.01655187,1.0,(21|17)
0.01651792,1.0,(14|16)
0.01636649,1.0,(6|35)
0.01636581,1.0,(11|18)
0.01631414,1.0,(22|16)
0.01627610,1.0,(13|30)
0.01621164,1.0,(19|13)
0.01607119,1.0,(13|21)
0.01589039,1.0,(9|5)
0.01579799,1.0,(16|3)
0.01559189,1.0,(30|49)
0.01554562,1.0,(48|35)
0.01517860,1.0,(11|10)
0.01514263,1.0,(42|15)
0.01513837,1.0,(17|22)
0.01506790,1.0,(6|38)
0.01501506,1.0,(16|14)
0.01490376,1.0,(13|18)
0.01484486,1.0,(41|15)
0.01476095,1.0,(9|14)
0.01475383,1.0,(14|40)
0.01467723,1.0,(25|24)
0.01456141,1.0,(11|27)
0.01456083,1.0,(17|16)
0.01453429,1.0,(13|38)
0.01432659,1.0,(2|34)
0.01420144,1.0,(15|27)
0.01410989,1.0,(28|49)
0.01408265,1.0,(9|27)
0.01392829,1.0,(43|15)
0.01389450,1.0,(18|19)
0.01383252,1.0,(13|17)
0.01380104,1.0,(0|19)
0.01367443,1.0,(40|15)
0.01362176,1.0,(29|0)
0.01350499,1.0,(21|37)
0.01339789,1.0,(26|48)
0.01328508,1.0,(10|28)
0.01324191,1.0,(19|21)
0.01307979,1.0,(15|13)
0.01305946,1.0,(18|16)
0.01293899,1.0,(8|14)
