Product ID : 2121 # of JPs covered : 1 : 145 : White Collar Crime, 
pr_000756471,0.998515, 0.000002
pr_000335591,0.998515, 0.000002
pr_000815242,0.998515, 0.000002
pr_000173105,0.998515, 0.000002
pr_000829587,0.998515, 0.000002
pr_000729162,0.998515, 0.000002
pr_000232583,0.998515, 0.000002
pr_001059619,0.998515, 0.000002
pr_000170017,0.998515, 0.000002
pr_000028118,0.998515, 0.000002
pr_000745304,0.998515, 0.000002
pr_000879431,0.998515, 0.000002
pr_000969013,0.998515, 0.000002
pr_000318177,0.998515, 0.000002
pr_000217784,0.998515, 0.000002
pr_001633091,0.998515, 0.000002
pr_000108977,0.998515, 0.000002
pr_000977442,0.998515, 0.000002
pr_000867407,0.998515, 0.000002
pr_000845770,0.998515, 0.000003
pr_000227322,0.998515, 0.000003
pr_000595222,0.998515, 0.000003
pr_000749987,0.998515, 0.000003
us_000475293,0.998515, 0.000004
us_000464841,0.998515, 0.000004
pr_000736889,0.998515, 0.000005
pr_001702259,0.998515, 0.000006
pr_000916816,0.998515, 0.000007
pr_000344888,0.998515, 0.000008
pr_000731356,0.998515, 0.000008
pr_000812605,0.998515, 0.000008
pr_000954472,0.998515, 0.000008
us_000458560,0.998515, 0.000008
us_000489478,0.998515, 0.000008
us_000474289,0.998515, 0.000008
pr_000885662,0.998515, 0.000011
pr_000175312,0.998515, 0.000011
pr_001071136,0.998515, 0.000017
pr_000178057,0.998515, 0.000018
pr_000936768,0.998515, 0.000023
pr_002181871,0.998515, 0.000023
pr_000880822,0.998515, 0.000024
pr_000281624,0.998515, 0.000028
pr_000299336,0.998515, 0.000036
pr_000334130,0.998515, 0.000036
pr_000023592,0.998515, 0.000036
pr_000335033,0.998515, 0.000036
pr_000002234,0.998515, 0.000038
pr_001024552,0.998515, 0.000043
pr_000012310,0.998515, 0.000049
pr_001693774,0.998515, 0.000050
pr_001026032,0.998515, 0.000050
pr_000878847,0.998515, 0.000050
pr_000919014,0.998515, 0.000050
pr_000725695,0.998515, 0.000050
pr_001071009,0.998515, 0.000050
pr_000899879,0.998515, 0.000050
pr_000692632,0.998515, 0.000050
pr_000939632,0.998515, 0.000050
pr_001706843,0.998515, 0.000050
pr_001096906,0.998515, 0.000052
pr_000588093,0.998515, 0.000062
pr_000651695,0.998515, 0.000062
pr_000343517,0.998515, 0.000063
pr_001077524,0.998515, 0.000063
pr_001005465,0.998515, 0.000064
pr_000339428,0.998515, 0.000070
pr_000892995,0.998515, 0.000070
pr_000183888,0.998515, 0.000070
pr_000341429,0.998515, 0.000071
pr_000554553,0.998515, 0.000071
pr_000845307,0.998515, 0.000072
pr_000220824,0.998515, 0.000074
pr_000330795,0.998515, 0.000075
pr_001586616,0.998515, 0.000077
pr_000966908,0.998515, 0.000080
pr_000660847,0.998515, 0.000084
pr_000733043,0.998515, 0.000087
pr_000188058,0.998515, 0.000089
us_000492229,0.998515, 0.000093
pr_001035748,0.998515, 0.000100
pr_000708632,0.998515, 0.000102
pr_000929999,0.998515, 0.000102
pr_001652383,0.998515, 0.000109
pr_000857576,0.998515, 0.000112
pr_000548823,0.998515, 0.000112
pr_000853035,0.998515, 0.000112
pr_000725665,0.998515, 0.000112
pr_000175575,0.998515, 0.000112
pr_000573254,0.998515, 0.000112
pr_000884303,0.998515, 0.000112
pr_000975628,0.998515, 0.000112
pr_001029353,0.998515, 0.000112
pr_001388227,0.998515, 0.000112
pr_001026147,0.998515, 0.000112
pr_000693731,0.998515, 0.000112
pr_001688174,0.998515, 0.000113
pr_002081605,0.998515, 0.000115
pr_001603988,0.998515, 0.000116
pr_000561661,0.998515, 0.000119
pr_000719522,0.998515, 0.000119
pr_000717034,0.998515, 0.000121
pr_001697301,0.998515, 0.000124
pr_000317102,0.998515, 0.000132
pr_001158002,0.998515, 0.000133
pr_001119623,0.998515, 0.000145
pr_001687456,0.998515, 0.000151
us_000582490,0.998515, 0.000153
pr_000205114,0.998515, 0.000181
us_000585727,0.998515, 0.000201
pr_000233791,0.998515, 0.000202
pr_000565680,0.998515, 0.000203
pr_001617469,0.998515, 0.000211
pr_000171281,0.998515, 0.000219
pr_001005785,0.998515, 0.000222
us_000580555,0.998515, 0.000223
pr_001119235,0.998515, 0.000245
pr_000297892,0.998515, 0.000269
pr_000180575,0.998515, 0.000274
pr_000988803,0.998515, 0.000297
us_000524371,0.998515, 0.000395
us_000026887,0.998515, 0.000407
us_000574699,0.998515, 0.000535
pr_001950261,0.998515, 0.000537
pr_001023283,0.998515, 0.000539
pr_000941212,0.998515, 0.000584
pr_000972482,0.998515, 0.000586
pr_000977433,0.998515, 0.000844
pr_000850788,0.998515, 0.000925
pr_000828063,0.998515, 0.000982
pr_000968314,0.998515, 0.001095
us_000544254,0.998515, 0.001606
pr_001693055,0.998515, 0.001759
us_000476048,0.998515, 0.001899
us_000471443,0.998515, 0.002410
pr_000004093,0.998515, 0.002540
us_000588916,0.998515, 0.002741
us_000530382,0.998515, 0.002757
pr_001131525,0.998515, 0.003051
us_000487859,0.998515, 0.004725
us_000615353,0.998515, 0.006732
us_000477132,0.998515, 0.007381
us_000463588,0.998515, 0.012556
us_000462368,0.998515, 0.015198
us_000487829,0.998515, 0.016448
us_000489420,0.998515, 0.018918
us_000271630,0.998515, 0.021847
us_000502474,0.998515, 0.021924
us_000468835,0.998515, 0.023806
us_000596223,0.998515, 0.035323
us_000482478,0.998515, 0.068523
us_000466662,0.998515, 0.071438
us_000616814,0.998515, 0.091492
us_000510277,0.975383, 0.000000
pr_001936776,0.975383, 0.000000
pr_000905439,0.975383, 0.000000
us_000474785,0.975383, 0.000000
us_000479831,0.975383, 0.000000
us_000462666,0.975383, 0.000000
us_000466419,0.975383, 0.000000
us_000479871,0.975383, 0.000000
pr_000758404,0.975383, 0.000000
pr_000875408,0.975383, 0.000000
pr_001891295,0.975383, 0.000000
pr_002121475,0.975383, 0.000000
pr_000787176,0.975383, 0.000000
pr_001864193,0.975383, 0.000000
pr_001943044,0.975383, 0.000000
pr_001033439,0.975383, 0.000000
us_000477163,0.975383, 0.000000
us_000556218,0.975383, 0.000000
us_000560823,0.975383, 0.000000
us_000558550,0.975383, 0.000000
us_000529210,0.975383, 0.000000
pr_001963212,0.975383, 0.000000
pr_000912362,0.975383, 0.000000
pr_000984359,0.975383, 0.000002
us_000469678,0.975383, 0.000002
us_000467623,0.975383, 0.000002
us_000200482,0.975383, 0.000002
us_000472939,0.975383, 0.000002
us_000461284,0.975383, 0.000002
us_000469975,0.975383, 0.000002
us_000468082,0.975383, 0.000002
us_000469645,0.975383, 0.000002
us_000465132,0.975383, 0.000002
us_000460445,0.975383, 0.000002
us_000470669,0.975383, 0.000002
us_000472760,0.975383, 0.000002
us_000462923,0.975383, 0.000002
us_000460066,0.975383, 0.000002
us_000458884,0.975383, 0.000002
us_000464526,0.975383, 0.000002
us_000462026,0.975383, 0.000002
us_000599338,0.975383, 0.000002
us_000469640,0.975383, 0.000002
us_000471211,0.975383, 0.000002
us_000461956,0.975383, 0.000002
us_000474518,0.975383, 0.000002
us_000461891,0.975383, 0.000002
us_000482024,0.975383, 0.000002
pr_000400772,0.975383, 0.000004
us_000578749,0.975383, 0.000005
us_000604430,0.975383, 0.000005
us_000577654,0.975383, 0.000005
us_000594932,0.975383, 0.000005
us_000554329,0.975383, 0.000005
us_000470787,0.975383, 0.000005
us_000609829,0.975383, 0.000005
pr_001688668,0.975383, 0.000006
pr_000924795,0.975383, 0.000009
us_000584188,0.975383, 0.000029
us_000595646,0.975383, 0.000029
us_000595651,0.975383, 0.000029
us_000583382,0.975383, 0.000029
us_000583403,0.975383, 0.000029
us_000514773,0.975383, 0.000040
us_000538725,0.975383, 0.000046
us_000603496,0.975383, 0.000047
pr_001983421,0.975383, 0.000073
us_000470876,0.975383, 0.000073
us_000478710,0.975383, 0.000118
us_000594072,0.975383, 0.000118
us_000594073,0.975383, 0.000118
pr_001118441,0.975383, 0.000134
pr_000650156,0.975383, 0.000194
pr_001013624,0.975383, 0.000249
pr_000596353,0.975383, 0.000249
pr_000869511,0.975383, 0.000261
pr_000581826,0.975383, 0.000290
pr_000889739,0.975383, 0.000350
pr_000180807,0.975383, 0.000408
pr_000708609,0.975383, 0.000459
pr_001389842,0.975383, 0.000490
pr_000581236,0.975383, 0.000523
pr_000832611,0.975383, 0.000567
pr_000756342,0.975383, 0.000568
pr_000827524,0.975383, 0.000646
pr_000815662,0.975383, 0.000648
pr_000339123,0.975383, 0.000802
pr_000900360,0.975383, 0.000802
pr_000343464,0.975383, 0.000802
pr_000224878,0.975383, 0.001013
pr_000750228,0.975383, 0.001077
pr_000167745,0.975383, 0.001132
pr_000332456,0.975383, 0.001286
pr_000892928,0.975383, 0.001292
pr_001004831,0.975383, 0.001315
pr_000658449,0.975383, 0.001354
pr_000870856,0.975383, 0.001426
pr_000897872,0.975383, 0.001548
pr_001664499,0.975383, 0.001591
pr_002078587,0.975383, 0.001686
pr_001880744,0.975383, 0.001820
pr_001680847,0.975383, 0.001876
pr_001991441,0.975383, 0.001902
pr_001664576,0.975383, 0.001956
pr_001667042,0.975383, 0.001972
pr_001682813,0.975383, 0.002016
pr_002123410,0.975383, 0.002079
pr_000851893,0.975383, 0.002163
pr_000949585,0.975383, 0.002579
pr_000335153,0.975383, 0.002682
pr_001722975,0.975383, 0.002810
pr_000192319,0.975383, 0.002876
us_000614728,0.975383, 0.003244
pr_000654386,0.975383, 0.003321
pr_001816830,0.975383, 0.003503
pr_000333705,0.975383, 0.003792
pr_001035788,0.975383, 0.003863
us_000474474,0.975383, 0.003867
pr_000632013,0.975383, 0.004195
pr_002152260,0.975383, 0.008548
pr_000496011,0.975383, 0.010768
us_000588440,0.975383, 0.010917
pr_000847590,0.975383, 0.016424
pr_000721314,0.975383, 0.023086
pr_002053015,0.975383, 0.037705
us_000558183,0.975383, 0.040103
pr_002156548,0.975383, 0.103778
pr_002169189,0.975383, 0.108495
pr_002038762,0.975383, 0.117012
pr_000935514,0.975383, 0.190130
us_000467399,0.975383, 0.226030
us_000499667,0.975383, 0.236564
us_000486825,0.975383, 0.241586
us_000502232,0.975383, 0.244822
us_000505135,0.975383, 0.245037
us_000503790,0.975383, 0.245909
us_000499340,0.975383, 0.266040
us_000504724,0.975383, 0.272141
us_000467086,0.975383, 0.277000
us_000490915,0.975383, 0.284353
us_000497112,0.975383, 0.290874
us_000474118,0.975383, 0.325428
us_000470509,0.975383, 0.330032
us_000468671,0.975383, 0.333417
us_000487912,0.975383, 0.637302
us_000504009,0.975383, 1.122958
us_000466154,0.975383, 1.233407
us_000468602,0.975383, 1.312072
us_000460720,0.540799, 0.000000
us_000550366,0.540799, 0.000000
us_000485892,0.540799, 0.000000
us_000489558,0.540799, 0.000000
us_000472932,0.540799, 0.000000
us_000489992,0.540799, 0.000000
us_000334760,0.540799, 0.000000
us_000477817,0.540799, 0.000000
us_000467043,0.540799, 0.000000
us_000467165,0.540799, 0.000000
us_000496168,0.540799, 0.000000
us_000482150,0.540799, 0.000000
us_000462576,0.540799, 0.000000
us_000055459,0.540799, 0.000000
us_000337159,0.540799, 0.000000
us_000475471,0.540799, 0.000000
pr_001910025,0.540799, 0.000000
pr_001795157,0.540799, 0.000000
pr_001889539,0.540799, 0.000000
pr_002244087,0.540799, 0.000000
pr_002230926,0.540799, 0.000000
pr_001894976,0.540799, 0.000000
pr_001895133,0.540799, 0.000000
pr_001905968,0.540799, 0.000000
pr_002121350,0.540799, 0.000000
pr_001886219,0.540799, 0.000000
pr_001907633,0.540799, 0.000000
pr_001625422,0.540799, 0.000000
pr_001398993,0.540799, 0.000000
pr_001888714,0.540799, 0.000000
pr_002063817,0.540799, 0.000000
pr_002080868,0.540799, 0.000000
pr_001942211,0.540799, 0.000000
pr_001835231,0.540799, 0.000000
pr_001610021,0.540799, 0.000000
pr_001840212,0.540799, 0.000000
pr_002244139,0.540799, 0.000000
pr_001895037,0.540799, 0.000000
pr_001729582,0.540799, 0.000000
pr_002198244,0.540799, 0.000000
pr_002121895,0.540799, 0.000000
pr_001806050,0.540799, 0.000000
pr_001719640,0.540799, 0.000000
pr_001790175,0.540799, 0.000000
pr_001138603,0.540799, 0.000000
pr_002245401,0.540799, 0.000000
pr_001851203,0.540799, 0.000000
pr_002069481,0.540799, 0.000000
pr_001940059,0.540799, 0.000000
pr_001895463,0.540799, 0.000000
pr_001975808,0.540799, 0.000000
pr_002099522,0.540799, 0.000000
pr_001895424,0.540799, 0.000000
pr_001939302,0.540799, 0.000000
pr_002040499,0.540799, 0.000000
pr_001635031,0.540799, 0.000000
pr_001815064,0.540799, 0.000000
pr_002204781,0.540799, 0.000000
pr_002132328,0.540799, 0.000000
pr_001942590,0.540799, 0.000000
pr_002105308,0.540799, 0.000000
pr_002136151,0.540799, 0.000000
pr_001898640,0.540799, 0.000000
pr_001899381,0.540799, 0.000000
pr_002121870,0.540799, 0.000000
pr_001963421,0.540799, 0.000000
pr_001786250,0.540799, 0.000000
pr_001397452,0.540799, 0.000000
pr_001884664,0.540799, 0.000000
pr_002053779,0.540799, 0.000000
pr_002201026,0.540799, 0.000000
pr_002121938,0.540799, 0.000000
pr_001942195,0.540799, 0.000000
pr_001583809,0.540799, 0.000000
pr_001980777,0.540799, 0.000000
pr_002123605,0.540799, 0.000000
pr_001908659,0.540799, 0.000000
pr_001940604,0.540799, 0.000000
pr_001154010,0.540799, 0.000000
pr_001906133,0.540799, 0.000000
pr_002176529,0.540799, 0.000000
pr_001907472,0.540799, 0.000000
pr_001942557,0.540799, 0.000000
pr_002222870,0.540799, 0.000000
pr_002065757,0.540799, 0.000000
pr_001733356,0.540799, 0.000000
us_000460885,0.540799, 0.000000
us_000265889,0.540799, 0.000001
pr_001884379,0.540799, 0.000001
pr_001802625,0.540799, 0.000001
pr_001936294,0.540799, 0.000001
pr_001906137,0.540799, 0.000001
pr_001906164,0.540799, 0.000001
pr_001907198,0.540799, 0.000001
pr_001391552,0.540799, 0.000001
pr_001888757,0.540799, 0.000001
pr_001158271,0.540799, 0.000001
pr_001901513,0.540799, 0.000002
pr_001053652,0.540799, 0.000003
pr_001134268,0.540799, 0.000003
pr_001058248,0.540799, 0.000003
pr_000934956,0.540799, 0.000003
pr_000755902,0.540799, 0.000003
pr_001104374,0.540799, 0.000003
pr_001149587,0.540799, 0.000003
pr_000848162,0.540799, 0.000003
pr_000882684,0.540799, 0.000003
pr_001135018,0.540799, 0.000003
pr_001614140,0.540799, 0.000003
pr_001628306,0.540799, 0.000003
pr_001011612,0.540799, 0.000003
pr_001134269,0.540799, 0.000003
pr_001137097,0.540799, 0.000003
pr_001134817,0.540799, 0.000003
pr_001098658,0.540799, 0.000003
pr_000946972,0.540799, 0.000003
pr_000946603,0.540799, 0.000003
pr_001049934,0.540799, 0.000003
pr_001153498,0.540799, 0.000003
pr_001028027,0.540799, 0.000005
us_000595288,0.540799, 0.000006
pr_001120535,0.540799, 0.000006
pr_001787351,0.540799, 0.000006
pr_001802613,0.540799, 0.000006
us_000550108,0.540799, 0.000006
us_000573322,0.540799, 0.000007
us_000558039,0.540799, 0.000007
pr_002171482,0.540799, 0.000007
pr_001948843,0.540799, 0.000007
pr_001942956,0.540799, 0.000007
pr_001882165,0.540799, 0.000007
pr_001889118,0.540799, 0.000007
pr_001939875,0.540799, 0.000007
us_000471298,0.540799, 0.000007
pr_001167614,0.540799, 0.000007
pr_000768914,0.540799, 0.000009
us_000608993,0.540799, 0.000011
us_000574733,0.540799, 0.000011
us_000460710,0.540799, 0.000013
pr_000728222,0.540799, 0.000017
pr_001881379,0.540799, 0.000018
pr_001121113,0.540799, 0.000024
pr_001022269,0.540799, 0.000024
pr_001747433,0.540799, 0.000024
pr_001143067,0.540799, 0.000024
pr_000914305,0.540799, 0.000024
pr_000952103,0.540799, 0.000024
us_000493301,0.540799, 0.000025
pr_000587458,0.540799, 0.000026
pr_001635522,0.540799, 0.000026
pr_000708661,0.540799, 0.000030
us_000503362,0.540799, 0.000032
pr_001107469,0.540799, 0.000035
pr_000983870,0.540799, 0.000038
pr_000565403,0.540799, 0.000038
pr_001118135,0.540799, 0.000038
pr_000663060,0.540799, 0.000049
pr_001119496,0.540799, 0.000064
pr_001956873,0.540799, 0.000068
pr_000957808,0.540799, 0.000073
pr_001730442,0.540799, 0.000078
us_000556710,0.540799, 0.000084
pr_000932349,0.540799, 0.000088
pr_001150507,0.540799, 0.000098
pr_001656133,0.540799, 0.000100
pr_001874867,0.540799, 0.000117
pr_001889405,0.540799, 0.000156
pr_000948885,0.540799, 0.000161
pr_001027166,0.540799, 0.000174
us_000590316,0.540799, 0.000206
us_000569382,0.540799, 0.000209
us_000459439,0.540799, 0.000221
pr_001039909,0.540799, 0.000227
pr_001028602,0.540799, 0.000237
us_000580254,0.540799, 0.000238
pr_001071658,0.540799, 0.000240
pr_001406313,0.540799, 0.000272
pr_001936712,0.540799, 0.000275
us_000593893,0.540799, 0.000314
us_000600361,0.540799, 0.000320
us_000508929,0.540799, 0.000354
us_000265094,0.540799, 0.000374
pr_000738861,0.540799, 0.000447
us_000615525,0.540799, 0.000576
us_000459543,0.540799, 0.000614
us_000479705,0.540799, 0.000620
us_000474211,0.540799, 0.000620
us_000575375,0.540799, 0.000705
us_000604530,0.540799, 0.000750
us_000484774,0.540799, 0.000811
us_000591279,0.540799, 0.000816
us_000574851,0.540799, 0.000871
us_000607888,0.540799, 0.000895
us_000488446,0.540799, 0.000950
us_000558013,0.540799, 0.001036
us_000502938,0.540799, 0.001310
us_000474201,0.540799, 0.001334
us_000506460,0.540799, 0.001376
us_000611752,0.540799, 0.001416
us_000471199,0.540799, 0.001538
pr_001120105,0.540799, 0.002137
us_000547658,0.540799, 0.002156
pr_001084616,0.540799, 0.002268
pr_002232365,0.540799, 0.002353
us_000505282,0.540799, 0.002404
us_000592067,0.540799, 0.002430
pr_000772293,0.540799, 0.002454
us_000307611,0.540799, 0.002639
us_000479553,0.540799, 0.002717
pr_001600964,0.540799, 0.003058
pr_001049279,0.540799, 0.003058
pr_000174038,0.540799, 0.003153
pr_000970293,0.540799, 0.003901
pr_000636450,0.540799, 0.003901
pr_001015146,0.540799, 0.003901
pr_000917463,0.540799, 0.003901
pr_001087476,0.540799, 0.003990
us_000540044,0.540799, 0.004134
pr_000198291,0.540799, 0.004276
us_000531135,0.540799, 0.004291
pr_000916278,0.540799, 0.004293
pr_000292094,0.540799, 0.004442
pr_000911590,0.540799, 0.004540
pr_000975116,0.540799, 0.004644
pr_000179039,0.540799, 0.004644
pr_000739495,0.540799, 0.004644
us_000478256,0.540799, 0.004646
pr_000216985,0.540799, 0.004662
us_000459242,0.540799, 0.004818
pr_000171817,0.540799, 0.004883
pr_001062592,0.540799, 0.004883
pr_000876742,0.540799, 0.004883
pr_002165855,0.540799, 0.004883
pr_001994143,0.540799, 0.004883
pr_001927761,0.540799, 0.004883
pr_002188368,0.540799, 0.004883
pr_000849840,0.540799, 0.004883
pr_001955954,0.540799, 0.004883
pr_002099349,0.540799, 0.004883
pr_002109984,0.540799, 0.004883
pr_000171901,0.540799, 0.004883
pr_001959379,0.540799, 0.004883
pr_000582290,0.540799, 0.004883
pr_000577634,0.540799, 0.004883
pr_001168360,0.540799, 0.004883
pr_000707890,0.540799, 0.004883
pr_002155402,0.540799, 0.004883
pr_000762073,0.540799, 0.004883
pr_001048793,0.540799, 0.004886
pr_000566026,0.540799, 0.004887
pr_001969680,0.540799, 0.004971
us_000480966,0.540799, 0.005502
pr_002082157,0.540799, 0.005520
pr_000172478,0.540799, 0.005551
us_000328918,0.540799, 0.005897
us_000586359,0.540799, 0.006457
us_000571559,0.540799, 0.006573
pr_000970055,0.540799, 0.006712
us_000477178,0.540799, 0.007974
us_000560134,0.540799, 0.008083
pr_001956984,0.540799, 0.008242
us_000515537,0.540799, 0.010378
us_000250631,0.540799, 0.011997
us_000472642,0.540799, 0.012070
us_000546164,0.540799, 0.012219
pr_000691299,0.540799, 0.012372
us_000604666,0.540799, 0.012489
us_000513291,0.540799, 0.012530
pr_001821368,0.540799, 0.013063
us_000233054,0.540799, 0.014036
us_000488739,0.540799, 0.014959
us_000487034,0.540799, 0.015194
us_000489551,0.540799, 0.015330
us_000485991,0.540799, 0.015960
us_000544342,0.540799, 0.023246
us_000467835,0.540799, 0.023362
us_000507199,0.540799, 0.026088
us_000539101,0.540799, 0.028527
us_000464685,0.540799, 0.031216
us_000479767,0.540799, 0.031567
us_000584281,0.540799, 0.032872
us_000539063,0.540799, 0.033406
us_000474168,0.540799, 0.034844
us_000463865,0.540799, 0.037198
us_000474041,0.540799, 0.039983
us_000472781,0.540799, 0.040570
us_000588355,0.540799, 0.042041
us_000535507,0.540799, 0.046052
us_000017113,0.540799, 0.049843
us_000594953,0.540799, 0.052466
us_000490773,0.540799, 0.053314
us_000352337,0.540799, 0.053473
us_000572335,0.540799, 0.057789
us_000484871,0.540799, 0.076576
us_000498694,0.540799, 0.099217
us_000528497,0.540799, 0.101306
us_000529914,0.540799, 0.107250
us_000550531,0.540799, 0.157218
us_000535832,0.540799, 0.234843
us_000513075,0.540799, 0.279443
us_000538378,0.540799, 0.297040
us_000506302,0.540799, 0.346667
us_000469544,0.540799, 0.375093
us_000499512,0.540799, 0.428810
us_000535479,0.540799, 0.447256
us_000529132,0.540799, 0.517559
us_000582734,0.540799, 0.613068
pr_000169063,0.500968, 0.000000
us_000465051,0.500968, 0.000000
us_000480142,0.500968, 0.000000
us_000471836,0.500968, 0.000000
us_000589624,0.500968, 0.000000
us_000469839,0.500968, 0.000000
us_000049443,0.500968, 0.000000
us_000018097,0.500968, 0.000000
us_000533102,0.500968, 0.000000
us_000487422,0.500968, 0.000000
us_000471272,0.500968, 0.000000
us_000474672,0.500968, 0.000000
us_000480456,0.500968, 0.000000
us_000334476,0.500968, 0.000000
us_000554344,0.500968, 0.000000
us_000468981,0.500968, 0.000000
us_000469269,0.500968, 0.000000
