Product ID : 2104 JPs covered : 397 : RP Transactions-Proj-Dev, 
OID,Confidence at Map Node,Error at Map Node
us_000548649,0.986515, 0.732021
us_000557371,0.986515, 0.733196
us_000531998,0.986515, 0.734730
us_000458714,0.986515, 0.738764
us_000486661,0.986515, 0.744098
us_000530908,0.986515, 0.757525
us_000533253,0.986515, 0.760251
us_000467952,0.986515, 0.763979
us_000487099,0.986515, 0.815031
us_000508700,0.986515, 0.870402
us_000505549,0.986515, 1.050880
us_000508004,0.986515, 1.294342
us_000518872,0.885076, 0.000000
us_000587702,0.885076, 0.000000
us_000609869,0.885076, 0.000000
us_000564486,0.885076, 0.000000
us_000614230,0.885076, 0.000000
us_000514465,0.885076, 0.000000
us_000594589,0.885076, 0.000000
us_000571941,0.885076, 0.000000
us_000556005,0.885076, 0.000000
us_000520659,0.885076, 0.000000
us_000526673,0.885076, 0.000000
us_000615324,0.885076, 0.000000
us_000561867,0.885076, 0.000000
us_000608585,0.885076, 0.000000
us_000583571,0.885076, 0.000000
us_000557045,0.885076, 0.000000
us_000566511,0.885076, 0.000000
us_000483302,0.885076, 0.000000
us_000481478,0.885076, 0.000000
us_000480554,0.885076, 0.000000
us_000568936,0.885076, 0.000000
us_000510383,0.885076, 0.000000
us_000484897,0.885076, 0.000000
pr_001198356,0.885076, 0.000000
us_000561609,0.885076, 0.000000
us_000459965,0.885076, 0.000000
pr_000512936,0.885076, 0.000001
pr_000553708,0.885076, 0.000001
pr_000525022,0.885076, 0.000001
us_000488177,0.885076, 0.000005
us_000566717,0.885076, 0.000005
us_000555845,0.885076, 0.000005
pr_001159357,0.885076, 0.000006
pr_000547930,0.885076, 0.000006
us_000590277,0.885076, 0.000007
us_000566916,0.885076, 0.000008
us_000558506,0.885076, 0.000008
us_000589284,0.885076, 0.000015
us_000582837,0.885076, 0.000240
us_000596575,0.885076, 0.000686
us_000609144,0.885076, 0.000794
us_000584686,0.885076, 0.000828
us_000617081,0.885076, 0.000863
us_000579349,0.885076, 0.001431
us_000599987,0.885076, 0.001849
us_000599695,0.885076, 0.001849
us_000572177,0.885076, 0.002521
us_000549376,0.885076, 0.003183
us_000598769,0.885076, 0.003353
us_000584434,0.885076, 0.004975
us_000501268,0.885076, 0.007158
us_000523697,0.885076, 0.016723
us_000580430,0.885076, 0.030038
us_000496334,0.885076, 0.048682
us_000468274,0.885076, 4.406743
us_000553362,0.885076, 4.538523
us_000523992,0.885076, 5.194504
us_000547588,0.885076, 5.391441
us_000539626,0.885076, 6.676672
us_000535163,0.885076, 6.939778
us_000460249,0.885076, 7.183022
us_000524201,0.885076, 7.585209
us_000553375,0.885076, 8.848219
us_000609107,0.568949, 0.000000
us_000599618,0.568949, 0.260235
us_000250928,0.568949, 0.293413
us_000551775,0.568949, 0.299603
us_000532193,0.568949, 0.314328
us_000547946,0.568949, 0.323366
us_000518389,0.568949, 0.327487
us_000544702,0.568949, 0.327931
us_000494292,0.568949, 0.328479
us_000544592,0.568949, 0.330109
us_000575526,0.568949, 0.330536
us_000541187,0.568949, 0.335963
us_000593928,0.568949, 0.338785
us_000507184,0.568949, 0.338970
us_000345897,0.568949, 0.339567
us_000578949,0.568949, 0.340217
us_000515636,0.568949, 0.340601
us_000523725,0.568949, 0.340902
us_000578993,0.568949, 0.340985
us_000538457,0.568949, 0.341330
