Product ID : 987 # of JPs covered : 1 : 123 : Patents, 
OID,Confidence at Map Node,Error at Map Node
us_000595839,0.356507, 0.260795
us_000523047,0.356507, 0.290172
us_000561557,0.356507, 0.326657
us_000597651,0.356507, 0.349425
us_000352143,0.356507, 0.361218
us_000505301,0.356507, 0.376154
us_000575579,0.356507, 0.389272
us_000507188,0.356507, 0.392751
us_000575658,0.356507, 0.394553
us_000535408,0.356507, 0.415450
us_000552011,0.356507, 0.428873
us_000536039,0.356507, 0.435619
us_000552042,0.356507, 0.440876
us_000551431,0.356507, 0.457681
us_000615301,0.356507, 0.462114
us_000596445,0.356507, 0.476083
us_000615067,0.356507, 0.484998
us_000556300,0.356507, 0.518584
us_000567863,0.356507, 0.524260
us_000552135,0.356507, 0.539823
us_000463330,0.292975, 0.000005
us_000550318,0.292975, 0.000064
us_000550969,0.292975, 0.000064
us_000494593,0.292975, 0.001396
us_000495138,0.292975, 0.014595
us_000517643,0.292975, 0.075075
us_000497217,0.292975, 0.076436
us_000586407,0.292975, 0.083838
us_000478061,0.292975, 0.102094
us_000528700,0.292975, 0.122463
us_000569353,0.292975, 0.136785
us_000530428,0.292975, 0.144505
us_000508236,0.292975, 0.146042
us_000504504,0.292975, 0.153802
us_000496226,0.292975, 0.159359
us_000590185,0.292975, 0.164389
us_000473315,0.292975, 0.175524
us_000474859,0.292975, 0.177787
us_000516434,0.292975, 0.180048
us_000522708,0.292975, 0.187200
us_000522447,0.292975, 0.210241
us_000486021,0.292975, 0.212932
us_000483233,0.292975, 0.213561
us_000472974,0.292975, 0.219585
us_000466456,0.292975, 0.225992
us_000544021,0.292975, 0.230323
us_000467511,0.292975, 0.231483
us_000495596,0.292975, 0.233072
us_000460069,0.292975, 0.236003
us_000469567,0.292975, 0.238883
us_000514555,0.292975, 0.242866
us_000515258,0.292975, 0.243944
us_000530035,0.292975, 0.244742
us_000528404,0.292975, 0.251455
us_000479180,0.292975, 0.254072
us_000515462,0.292975, 0.261689
us_000527245,0.292975, 0.262119
us_000521659,0.292975, 0.266661
us_000460134,0.292975, 0.267008
us_000479114,0.292975, 0.268241
us_000496228,0.292975, 0.268466
us_000270614,0.292975, 0.272425
us_000551526,0.292975, 0.275296
us_000539032,0.292975, 0.275551
us_000549180,0.292975, 0.275811
us_000498609,0.292975, 0.277841
us_000535451,0.292975, 0.279843
us_000556251,0.292975, 0.280179
us_000473598,0.292975, 0.281669
us_000515546,0.292975, 0.282876
us_000612823,0.292975, 0.289995
us_000463918,0.292975, 0.292720
us_000490296,0.292975, 0.293951
