Product ID : 889 # of JPs covered : 1 : 79 : Corp Law, 
OID,Confidence at Map Node,Error at Map Node
us_000468508,1.000000, 0.009901
us_000468607,1.000000, 0.166777
us_000545139,1.000000, 0.331685
us_000475939,1.000000, 0.331685
us_000474826,1.000000, 0.375242
us_000469513,1.000000, 0.381684
us_000473992,1.000000, 0.388180
us_000440602,1.000000, 0.394732
us_000476387,1.000000, 0.394732
us_000474569,1.000000, 0.435191
us_000462276,1.000000, 0.442126
us_000465257,1.000000, 0.449116
us_000466218,1.000000, 0.449116
us_000466228,1.000000, 0.449116
us_000469526,1.000000, 0.449116
us_000469872,1.000000, 0.456161
us_000486713,1.000000, 0.456161
us_000474820,1.000000, 0.456161
us_000524849,1.000000, 0.463260
us_000484906,1.000000, 0.463260
us_000146473,1.000000, 0.463260
us_000490513,1.000000, 0.463260
us_000474908,1.000000, 0.463260
us_000469913,1.000000, 0.463260
us_000474404,1.000000, 0.463260
us_000469549,1.000000, 0.463260
us_000461251,1.000000, 0.463260
us_000487913,0.949499, 0.273486
us_000269734,0.949499, 0.301515
us_000534833,0.949499, 0.301515
us_000478060,0.949499, 0.301515
us_000482776,0.949499, 0.307285
us_000050152,0.949499, 0.307285
us_000477763,0.949499, 0.307285
us_000461163,0.949499, 0.307285
us_000463031,0.932299, 0.282572
us_000460335,0.932299, 0.284135
us_000473289,0.932299, 0.284135
us_000026038,0.932299, 0.284135
us_000460349,0.932299, 0.284135
us_000611267,0.932299, 0.284135
us_000479454,0.932299, 0.284135
us_000490530,0.932299, 0.284135
us_000462930,0.932299, 0.284135
us_000460582,0.932299, 0.284135
us_000535562,0.932299, 0.284135
us_000482858,0.932299, 0.284135
us_000465888,0.932299, 0.284135
us_000611146,0.932299, 0.284135
us_000478216,0.932299, 0.284135
us_000465695,0.932299, 0.284135
us_000474630,0.932299, 0.284135
us_000571491,0.890323, 0.406034
us_000589733,0.890323, 0.484886
us_000589711,0.890323, 0.484886
us_000468335,0.863070, 0.223316
us_000469020,0.863070, 0.223316
us_000482203,0.863070, 0.228292
us_000473895,0.863070, 0.228292
us_000482767,0.863070, 0.228292
us_000481924,0.863070, 0.228292
us_000473901,0.863070, 0.228292
us_000479692,0.863070, 0.228292
us_000480119,0.863070, 0.228292
us_000480076,0.863070, 0.228292
pr_000094804,0.838657, 0.000001
pr_000256207,0.838657, 0.000001
pr_000256573,0.838657, 0.000001
pr_000199592,0.838657, 0.000001
pr_000239771,0.838657, 0.000001
us_000569867,0.838657, 0.000002
us_000531295,0.838657, 0.000002
us_000493543,0.838657, 0.000002
us_000505447,0.838657, 0.000038
pr_000249237,0.838657, 0.000166
us_000518523,0.838657, 0.000392
us_000518828,0.838657, 0.001341
us_000598858,0.838657, 0.044749
us_000524377,0.816930, 0.192115
us_000463790,0.816930, 0.192115
us_000463870,0.816930, 0.192115
us_000468573,0.816930, 0.192115
us_000493785,0.816930, 0.192115
us_000462334,0.816930, 0.192115
us_000464838,0.816930, 0.192115
us_000468547,0.816930, 0.192115
us_000487101,0.816930, 0.196731
us_000484220,0.816930, 0.196731
us_000465033,0.816930, 0.196731
us_000156858,0.816930, 0.196731
us_000465787,0.816930, 0.196731
us_000464306,0.816930, 0.196731
us_000469307,0.816930, 0.196731
us_000463517,0.816930, 0.196731
us_000468143,0.816930, 0.196731
us_000478045,0.816930, 0.196731
us_000484190,0.816930, 0.196731
us_000463518,0.816930, 0.196731
us_000478448,0.816930, 0.196731
us_000481598,0.816930, 0.196731
us_000558888,0.808242, 0.000000
us_000506418,0.808242, 0.000000
us_000497100,0.808242, 0.000000
us_000525490,0.808242, 0.000000
us_000547024,0.808242, 0.000000
us_000566152,0.808242, 0.000000
us_000557641,0.808242, 0.000000
pr_001673419,0.808242, 0.000000
pr_001033794,0.808242, 0.000000
pr_001699464,0.808242, 0.000000
pr_000763681,0.808242, 0.000000
pr_000765310,0.808242, 0.000000
pr_000411504,0.808242, 0.000000
us_000558510,0.808242, 0.000002
pr_000762784,0.808242, 0.000003
us_000530380,0.808242, 0.000004
us_000569285,0.808242, 0.000004
us_000555251,0.808242, 0.000004
us_000515736,0.808242, 0.000004
pr_000857395,0.808242, 0.000014
us_000463286,0.808242, 0.000017
us_000463334,0.808242, 0.000017
us_000553617,0.808242, 0.000017
us_000560237,0.808242, 0.000022
us_000580273,0.808242, 0.000026
us_000543995,0.808242, 0.000027
us_000549015,0.808242, 0.000046
us_000581116,0.808242, 0.000051
us_000596978,0.808242, 0.000071
pr_000867146,0.808242, 0.000086
us_000593803,0.808242, 0.000100
us_000559389,0.808242, 0.000106
us_000612768,0.808242, 0.000119
us_000529376,0.808242, 0.000133
us_000596649,0.808242, 0.000159
pr_000763652,0.808242, 0.000174
us_000573033,0.808242, 0.000223
us_000569930,0.808242, 0.000266
us_000560054,0.808242, 0.000371
pr_000763261,0.808242, 0.000416
us_000555435,0.808242, 0.000548
us_000535745,0.808242, 0.001000
us_000550174,0.808242, 0.001095
us_000530886,0.808242, 0.001193
us_000607569,0.808242, 0.001670
us_000558185,0.808242, 0.002608
us_000479346,0.808242, 0.003334
us_000540804,0.808242, 0.003363
pr_000647859,0.808242, 0.003508
us_000550023,0.808242, 0.004081
us_000544525,0.808242, 0.014191
us_000473291,0.808242, 0.030113
us_000566157,0.808242, 0.218401
us_000567796,0.808242, 0.223306
us_000568089,0.808242, 0.389748
us_000567648,0.808242, 0.412663
us_000473832,0.808242, 0.479114
us_000568918,0.808242, 0.518324
us_000568725,0.808242, 0.525001
us_000479568,0.808242, 0.556071
us_000493472,0.808242, 0.573573
us_000473945,0.808242, 0.577865
us_000490831,0.808242, 0.632233
us_000488208,0.808242, 0.649577
us_000474869,0.808242, 0.688173
us_000492851,0.808242, 1.200209
us_000485194,0.808242, 1.226049
us_000476404,0.808242, 1.255759
us_000461584,0.807311, 0.194184
us_000462559,0.807311, 0.194184
us_000483202,0.807311, 0.194184
us_000469875,0.807311, 0.194184
us_000534785,0.807311, 0.194184
us_000171536,0.807311, 0.194184
us_000494639,0.807311, 0.194184
us_000482794,0.807311, 0.194184
us_000484880,0.807311, 0.194184
us_000483785,0.807311, 0.194184
us_000462557,0.807311, 0.194184
us_000482004,0.807311, 0.194184
us_000480409,0.807311, 0.194184
us_000461158,0.807311, 0.194184
us_000466475,0.807311, 0.194184
us_000524421,0.807311, 0.194184
us_000461692,0.807311, 0.194184
us_000242110,0.807311, 0.194184
us_000484830,0.807311, 0.194184
us_000478288,0.807311, 0.194184
us_000468058,0.807311, 0.194184
us_000486319,0.807311, 0.194184
us_000486688,0.807311, 0.194184
us_000473489,0.807311, 0.194184
us_000384288,0.807311, 0.194184
us_000484859,0.807311, 0.194184
us_000480263,0.807311, 0.194184
us_000468495,0.807311, 0.194184
us_000468008,0.807311, 0.194184
pr_000701582,0.799011, 0.000000
pr_000574235,0.799011, 0.000000
pr_000425201,0.799011, 0.000000
pr_001663147,0.799011, 0.000000
pr_000693482,0.799011, 0.000000
pr_001031864,0.799011, 0.000001
pr_001065938,0.799011, 0.000006
pr_000164845,0.799011, 0.000023
pr_001660075,0.799011, 0.000206
pr_000295958,0.799011, 0.000558
pr_000312184,0.799011, 0.000635
pr_000382377,0.799011, 0.000740
us_000575616,0.799011, 0.003026
us_000597882,0.799011, 0.011954
us_000478634,0.799011, 0.021508
us_000461162,0.791252, 0.185516
us_000282720,0.791252, 0.186715
us_000482007,0.791252, 0.186715
us_000478390,0.791252, 0.186715
us_000483137,0.791252, 0.186715
us_000474646,0.791252, 0.186715
us_000484067,0.791252, 0.186715
us_000475929,0.791252, 0.186715
us_000475921,0.791252, 0.186715
us_000486666,0.791252, 0.186715
us_000474382,0.791252, 0.186715
us_000476078,0.791252, 0.186715
us_000461768,0.791252, 0.186715
us_000465607,0.791252, 0.186715
us_000484944,0.791252, 0.186715
us_000489866,0.791252, 0.186715
us_000524373,0.791252, 0.186715
us_000545066,0.791252, 0.186715
us_000476115,0.791252, 0.186715
us_000486851,0.791252, 0.186715
us_000461300,0.791252, 0.186715
us_000545047,0.791252, 0.186715
us_000545065,0.791252, 0.186715
us_000482095,0.791252, 0.186715
us_000545056,0.791252, 0.186715
us_000473526,0.791252, 0.186715
us_000482315,0.791252, 0.186715
us_000486371,0.791252, 0.186715
us_000495066,0.791252, 0.186715
us_000093568,0.791252, 0.186715
us_000463071,0.791252, 0.186715
us_000545046,0.791252, 0.186715
us_000469368,0.791252, 0.186715
us_000481796,0.791252, 0.186715
us_000494652,0.791252, 0.186715
us_000466380,0.791252, 0.186715
us_000558341,0.791252, 0.186715
us_000481267,0.791252, 0.186715
us_000541864,0.791252, 0.186715
us_000461860,0.791252, 0.186715
us_000545045,0.791252, 0.186715
us_000475436,0.791252, 0.186715
us_000545049,0.791252, 0.186715
us_000545064,0.791252, 0.186715
us_000480280,0.791252, 0.186715
us_000475919,0.791252, 0.186715
