Product ID : 2132 JPs covered : 332 : Bankruptcy-Reorganization, 
OID,Confidence at Map Node,Error at Map Node
pr_001130343,0.728938, 0.000000
pr_000979388,0.728938, 0.000000
pr_000553631,0.728938, 0.000000
us_000558652,0.728938, 0.000000
us_000542920,0.728938, 0.000000
us_000553651,0.728938, 0.000000
pr_001612512,0.728938, 0.000000
pr_000689893,0.728938, 0.000000
pr_001661875,0.728938, 0.000003
pr_000733337,0.728938, 0.000003
pr_000626543,0.728938, 0.000003
pr_001682170,0.728938, 0.000003
pr_001056907,0.728938, 0.000003
pr_001008637,0.728938, 0.000004
pr_002095344,0.728938, 0.000004
us_000537309,0.728938, 0.000006
pr_000526777,0.728938, 0.000007
pr_001013248,0.728938, 0.000007
pr_001033568,0.728938, 0.000012
pr_000847702,0.728938, 0.000015
pr_002062722,0.728938, 0.000019
pr_001999429,0.728938, 0.000020
pr_000633068,0.728938, 0.000026
us_000597549,0.728938, 0.000044
us_000551173,0.728938, 0.000098
us_000542916,0.728938, 0.000543
us_000476765,0.728938, 0.000860
us_000546502,0.728938, 0.001415
us_000594803,0.728938, 0.002058
us_000483853,0.728938, 0.003330
us_000478803,0.728938, 0.016506
us_000545942,0.728938, 0.032574
us_000537082,0.728938, 0.038749
us_000497706,0.728938, 0.065039
us_000531618,0.728938, 4.458370
us_000491042,0.728938, 4.718196
us_000560103,0.554014, 0.000000
us_000559765,0.554014, 0.000000
pr_000781355,0.554014, 0.000001
pr_001758997,0.554014, 0.000063
pr_000788687,0.554014, 0.000401
us_000471629,0.554014, 1.017881
us_000473779,0.554014, 1.190350
us_000476580,0.554014, 1.259432
us_000476719,0.554014, 1.363667
us_000512010,0.554014, 1.412181
us_000476759,0.554014, 1.423815
us_000476643,0.554014, 1.436329
us_000491192,0.554014, 1.450577
us_000481845,0.554014, 1.467104
us_000490873,0.554014, 1.485338
us_000463353,0.554014, 1.486486
us_000485904,0.554014, 1.488036
us_000576335,0.554014, 1.492845
us_000484868,0.554014, 1.497875
us_000482093,0.554014, 1.500889
us_000487621,0.554014, 1.526647
us_000525271,0.554014, 1.529913
us_000575420,0.554014, 1.541215
us_000491172,0.554014, 1.554852
us_000485325,0.554014, 1.559756
us_000514348,0.554014, 1.561089
us_000488469,0.554014, 1.568870
us_000492501,0.554014, 1.572358
us_000178035,0.554014, 1.584144
us_000519645,0.554014, 1.595284
us_000575537,0.554014, 1.598014
us_000525201,0.554014, 1.598846
us_000489159,0.554014, 1.609795
us_000470224,0.554014, 1.618922
us_000481104,0.554014, 1.620583
us_000499090,0.554014, 1.627873
us_000476263,0.554014, 1.629448
us_000482700,0.554014, 1.633046
us_000487481,0.554014, 1.634736
us_000481105,0.554014, 1.645534
us_000499736,0.554014, 1.646464
us_000345694,0.554014, 1.647772
us_000505568,0.554014, 1.655272
us_000499126,0.554014, 1.658865
us_000497273,0.554014, 1.664579
us_000468484,0.554014, 1.670852
us_000488251,0.554014, 1.671123
us_000478867,0.554014, 1.679084
us_000516142,0.554014, 1.679709
us_000469212,0.554014, 1.683421
us_000480856,0.554014, 1.686315
us_000089747,0.554014, 1.692705
us_000575124,0.554014, 1.712490
us_000578047,0.554014, 1.712906
us_000482739,0.554014, 1.713908
us_000488740,0.554014, 1.721212
us_000545978,0.554014, 1.725912
us_000466724,0.554014, 1.726119
us_000539466,0.554014, 1.728035
us_000543087,0.554014, 1.735133
us_000475966,0.554014, 1.739842
us_000520137,0.554014, 1.740911
us_000518576,0.554014, 1.746907
us_000522911,0.554014, 1.747767
us_000481166,0.554014, 1.749414
us_000485692,0.554014, 1.750037
us_000475571,0.554014, 1.753839
us_000065023,0.554014, 1.757184
us_000476033,0.554014, 1.764697
us_000480615,0.554014, 1.774366
us_000517059,0.554014, 1.776390
us_000486275,0.554014, 1.782373
us_000578397,0.554014, 1.787245
us_000475628,0.554014, 1.794983
us_000541325,0.554014, 1.795736
us_000498737,0.554014, 1.797248
us_000524579,0.554014, 1.798674
us_000481063,0.554014, 1.798894
us_000480308,0.554014, 1.801956
us_000505791,0.554014, 1.808678
us_000536384,0.554014, 1.817440
us_000503090,0.554014, 1.817993
us_000520743,0.554014, 1.821021
us_000482736,0.554014, 1.824832
us_000499674,0.554014, 1.828156
us_000482728,0.554014, 1.831066
us_000479773,0.554014, 1.831326
us_000501308,0.554014, 1.831944
us_000458660,0.554014, 1.833274
us_000482710,0.554014, 1.836225
us_000498552,0.554014, 1.845068
us_000518535,0.554014, 1.848485
us_000476959,0.554014, 1.850693
us_000481035,0.554014, 1.851876
us_000481834,0.554014, 1.856660
us_000537298,0.554014, 1.862115
us_000473187,0.554014, 1.862908
us_000499675,0.554014, 1.863875
us_000480739,0.554014, 1.866465
us_000482897,0.554014, 1.869073
us_000477475,0.554014, 1.869407
us_000502124,0.554014, 1.870166
us_000480291,0.554014, 1.871131
us_000481162,0.554014, 1.872577
us_000475070,0.554014, 1.875201
us_000483153,0.554014, 1.876145
us_000481167,0.554014, 1.878273
us_000502089,0.554014, 1.880689
us_000471300,0.554014, 1.881057
us_000544628,0.554014, 1.881885
us_000465146,0.554014, 1.886783
us_000113253,0.554014, 1.887805
us_000545100,0.554014, 1.896164
us_000478915,0.554014, 1.899690
us_000606221,0.554014, 1.901234
us_000481268,0.554014, 1.902210
us_000482834,0.554014, 1.906552
us_000522292,0.554014, 1.907219
us_000479900,0.554014, 1.908950
us_000480885,0.554014, 1.911415
us_000532067,0.554014, 1.916974
us_000517226,0.554014, 1.917243
us_000492231,0.554014, 1.918273
us_000513954,0.554014, 1.920941
us_000578929,0.554014, 1.923593
us_000470503,0.554014, 1.931976
us_000481204,0.554014, 1.932065
us_000497321,0.554014, 1.935802
us_000479195,0.554014, 1.939500
us_000498542,0.554014, 1.940202
us_000540345,0.554014, 1.942098
us_000505849,0.554014, 1.944875
us_000465388,0.554014, 1.946589
us_000458741,0.554014, 1.949978
us_000356449,0.554014, 1.950224
us_000518566,0.554014, 1.951861
us_000482743,0.554014, 1.951861
us_000480502,0.554014, 1.951861
us_000499350,0.554014, 1.951861
us_000481882,0.554014, 1.955159
us_000418771,0.554014, 1.955176
us_000539285,0.554014, 1.959723
us_000501670,0.554014, 1.963082
us_000475547,0.554014, 1.967190
us_000545906,0.554014, 1.970137
us_000479402,0.554014, 1.970181
us_000482851,0.554014, 1.970840
us_000540090,0.554014, 1.970987
us_000498036,0.554014, 1.970987
us_000502133,0.554014, 1.972065
us_000518606,0.554014, 1.972065
us_000479036,0.554014, 1.972065
us_000498888,0.554014, 1.972065
us_000517941,0.554014, 1.972065
us_000482896,0.554014, 1.972065
us_000479192,0.554014, 1.972065
us_000479051,0.554014, 1.972065
us_000482510,0.554014, 1.972065
us_000482523,0.554014, 1.972065
us_000481871,0.554014, 1.972065
us_000482380,0.554014, 1.972065
us_000470345,0.554014, 1.972065
us_000482076,0.554014, 1.972065
us_000518307,0.554014, 1.972065
us_000544625,0.554014, 1.972065
us_000479049,0.554014, 1.972065
us_000481975,0.554014, 1.972065
us_000479708,0.554014, 1.972065
us_000479053,0.554014, 1.972065
us_000498052,0.554014, 1.972065
us_000481867,0.554014, 1.972065
us_000498735,0.554014, 1.972065
us_000498736,0.554014, 1.972065
us_000482480,0.554014, 1.972065
us_000481864,0.554014, 1.972065
us_000479112,0.554014, 1.972065
us_000462116,0.554014, 1.972147
us_000112626,0.554014, 1.973135
us_000482101,0.554014, 1.974052
us_000480607,0.554014, 1.975953
us_000510187,0.554014, 1.978629
us_000477205,0.554014, 1.980848
us_000480614,0.554014, 1.982440
us_000535248,0.554014, 1.989743
us_000480711,0.554014, 1.994631
us_000501078,0.554014, 2.007722
us_000469147,0.554014, 2.030868
us_000492549,0.554014, 2.057681
us_000613564,0.554014, 2.107589
us_000590096,0.554014, 2.115797
us_000490517,0.554014, 2.120122
us_000466498,0.554014, 2.130228
us_000550054,0.554014, 2.154366
us_000482136,0.554014, 2.160977
us_000478774,0.554014, 2.305120
us_000505809,0.554014, 2.372823
pr_000831976,0.497220, 0.000000
pr_000234917,0.497220, 0.000001
us_000495902,0.497220, 1.383648
us_000585751,0.497220, 1.421183
us_000488853,0.497220, 1.495273
us_000461885,0.497220, 1.498786
us_000492937,0.497220, 1.501018
us_000570676,0.497220, 1.521901
us_000531992,0.497220, 1.558891
us_000498732,0.497220, 1.594820
us_000464856,0.497220, 1.609174
us_000501109,0.497220, 1.613002
us_000539827,0.497220, 1.627038
us_000484538,0.497220, 1.635456
us_000494869,0.497220, 1.643979
us_000586115,0.497220, 1.671524
us_000461511,0.497220, 1.681925
us_000536116,0.497220, 1.692389
us_000540987,0.497220, 1.696353
us_000475932,0.497220, 1.701774
us_000491145,0.497220, 1.703575
us_000490021,0.497220, 1.706165
us_000605419,0.497220, 1.708823
us_000500030,0.497220, 1.709938
us_000491297,0.497220, 1.733666
us_000493069,0.497220, 1.735012
us_000480617,0.497220, 1.735316
us_000487272,0.497220, 1.740752
