Product ID : 1034 # of JPs covered : 1 : 224 : Employment Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000547884,1.000000, 0.000000
us_000510348,1.000000, 0.000000
pr_000915826,1.000000, 0.000001
pr_000909723,1.000000, 0.000001
pr_000707006,1.000000, 0.000001
pr_000786271,1.000000, 0.000002
pr_001079016,1.000000, 0.000002
pr_001413167,1.000000, 0.000002
pr_001647711,1.000000, 0.000004
pr_001748304,1.000000, 0.000004
pr_001011588,1.000000, 0.000004
pr_000923956,1.000000, 0.000004
pr_000942654,1.000000, 0.000006
pr_001922355,1.000000, 0.000007
pr_000929640,1.000000, 0.000007
pr_000810507,1.000000, 0.000013
pr_001928680,1.000000, 0.000035
pr_000879253,1.000000, 0.000042
pr_001947034,1.000000, 0.000062
pr_000709869,1.000000, 0.000069
pr_000842837,1.000000, 0.000077
pr_000735153,1.000000, 0.000109
pr_000948458,1.000000, 0.000261
pr_000228660,1.000000, 0.001048
pr_000168994,1.000000, 0.001978
pr_000335899,1.000000, 0.002053
pr_000752172,1.000000, 0.004416
us_000537976,1.000000, 0.012576
pr_000838195,1.000000, 0.021874
pr_000641879,1.000000, 0.022757
us_000504093,1.000000, 0.827569
us_000486446,1.000000, 1.052866
us_000459255,1.000000, 1.100320
us_000459014,1.000000, 1.127559
us_000459217,1.000000, 1.129640
us_000466235,1.000000, 1.161066
us_000378787,1.000000, 1.166800
us_000473310,1.000000, 1.181775
us_000466216,1.000000, 1.213829
us_000468266,1.000000, 1.233720
us_000474126,1.000000, 1.240872
us_000459035,1.000000, 1.246929
us_000257180,1.000000, 1.261801
us_000292885,1.000000, 1.278708
us_000473578,1.000000, 1.280168
us_000466147,1.000000, 1.285454
us_000460359,1.000000, 3.163280
pr_001103126,0.997637, 0.000000
pr_000171463,0.997637, 0.000000
pr_001022224,0.997637, 0.000000
pr_000919319,0.997637, 0.000000
pr_000489831,0.997637, 0.000000
pr_000908151,0.997637, 0.000000
pr_000014757,0.997637, 0.000000
pr_000490129,0.997637, 0.000000
pr_000597697,0.997637, 0.000000
pr_000875722,0.997637, 0.000000
pr_001051592,0.997637, 0.000000
pr_000880953,0.997637, 0.000000
pr_001012383,0.997637, 0.000000
pr_000506815,0.997637, 0.000000
pr_000701272,0.997637, 0.000000
pr_000656743,0.997637, 0.000000
pr_000643600,0.997637, 0.000000
pr_001079005,0.997637, 0.000000
pr_000837348,0.997637, 0.000000
pr_001685149,0.997637, 0.000000
pr_000230238,0.997637, 0.000000
pr_000977667,0.997637, 0.000000
pr_000922684,0.997637, 0.000000
pr_000769245,0.997637, 0.000000
pr_000181011,0.997637, 0.000000
pr_001075719,0.997637, 0.000000
pr_000952846,0.997637, 0.000000
pr_000701907,0.997637, 0.000000
pr_001012084,0.997637, 0.000000
pr_001139129,0.997637, 0.000000
pr_001103504,0.997637, 0.000000
pr_000856898,0.997637, 0.000000
pr_000446403,0.997637, 0.000002
pr_001030144,0.997637, 0.000004
pr_000579179,0.997637, 0.000004
pr_000925418,0.997637, 0.000005
pr_000760604,0.997637, 0.000005
pr_000760720,0.997637, 0.000005
pr_000285229,0.997637, 0.000005
pr_000951540,0.997637, 0.000005
pr_000564084,0.997637, 0.000007
pr_001603376,0.997637, 0.000007
pr_000012880,0.997637, 0.000008
pr_000116106,0.997637, 0.000015
pr_000733421,0.997637, 0.000016
pr_001078754,0.997637, 0.000016
pr_000710579,0.997637, 0.000016
pr_000175988,0.997637, 0.000020
pr_000589571,0.997637, 0.000020
pr_001901245,0.997637, 0.000020
pr_000504358,0.997637, 0.000020
pr_001077321,0.997637, 0.000023
pr_000885286,0.997637, 0.000023
pr_000855910,0.997637, 0.000023
pr_000702437,0.997637, 0.000026
pr_000712274,0.997637, 0.000026
pr_000970633,0.997637, 0.000026
pr_000838306,0.997637, 0.000034
pr_001076718,0.997637, 0.000035
pr_000317211,0.997637, 0.000035
pr_001132056,0.997637, 0.000036
pr_000889901,0.997637, 0.000045
pr_000022094,0.997637, 0.000051
pr_000734037,0.997637, 0.000051
pr_001102114,0.997637, 0.000051
pr_000886428,0.997637, 0.000056
us_000502102,0.997637, 0.000056
us_000537825,0.997637, 0.000056
us_000502028,0.997637, 0.000056
us_000541889,0.997637, 0.000056
us_000555165,0.997637, 0.000056
us_000519032,0.997637, 0.000056
us_000558919,0.997637, 0.000056
pr_001077751,0.997637, 0.000086
pr_000341744,0.997637, 0.000154
pr_001838338,0.997637, 0.000172
pr_000813614,0.997637, 0.000252
pr_000585667,0.997637, 0.000344
pr_000191926,0.997637, 0.000345
pr_000763590,0.997637, 0.000345
pr_001032053,0.997637, 0.000407
pr_000863744,0.997637, 0.000422
pr_000667057,0.997637, 0.000422
pr_001009779,0.997637, 0.000461
pr_000593839,0.997637, 0.000489
us_000543543,0.997637, 0.024442
us_000583928,0.997637, 0.031657
us_000491534,0.997637, 0.031716
us_000481742,0.997637, 0.050075
us_000467455,0.997637, 1.008145
us_000487903,0.997637, 2.850511
pr_001660478,0.981948, 0.000002
pr_000185199,0.981948, 0.000042
pr_000736035,0.981948, 0.000255
us_000554108,0.981948, 0.000270
us_000553370,0.981948, 0.000270
pr_000347381,0.981948, 0.000469
us_000518188,0.981948, 0.000842
pr_000637082,0.981948, 0.000996
pr_001107926,0.981948, 0.001568
pr_001770068,0.981948, 0.001786
pr_000742785,0.981948, 0.005929
us_000612818,0.981948, 0.012460
us_000592994,0.981948, 0.012460
us_000475844,0.981948, 0.013202
us_000524420,0.981948, 0.015576
us_000489422,0.981948, 0.068764
us_000492605,0.981948, 1.103252
us_000476071,0.981948, 1.273072
us_000466281,0.981948, 1.399427
us_000463067,0.981948, 1.404085
us_000530114,0.981948, 1.436232
us_000197126,0.981948, 1.557468
pr_000435338,0.963893, 0.000000
pr_000432027,0.963893, 0.000000
pr_000283136,0.963893, 0.000000
pr_000394305,0.963893, 0.000000
pr_000522919,0.963893, 0.000000
pr_000283675,0.963893, 0.000000
pr_000434515,0.963893, 0.000000
pr_000286123,0.963893, 0.000000
pr_000518307,0.963893, 0.000000
pr_000375852,0.963893, 0.000000
pr_000368217,0.963893, 0.000000
pr_000434966,0.963893, 0.000000
pr_000525658,0.963893, 0.000000
pr_000380934,0.963893, 0.000000
pr_000283479,0.963893, 0.000000
pr_000579041,0.963893, 0.000000
pr_000435535,0.963893, 0.000000
pr_000375187,0.963893, 0.000000
pr_000434487,0.963893, 0.000000
pr_000377876,0.963893, 0.000000
pr_000433441,0.963893, 0.000000
pr_000393018,0.963893, 0.000000
pr_000386894,0.963893, 0.000000
pr_000515959,0.963893, 0.000000
us_000542379,0.963893, 0.000000
us_000552738,0.963893, 0.000000
us_000509293,0.963893, 0.000000
us_000616946,0.963893, 0.000001
us_000509220,0.963893, 0.000001
us_000564682,0.963893, 0.000001
us_000493786,0.963893, 0.000001
us_000498538,0.963893, 0.000001
us_000563068,0.963893, 0.000001
us_000517624,0.963893, 0.000001
us_000545198,0.963893, 0.000001
us_000504934,0.963893, 0.000001
pr_001727440,0.963893, 0.000032
pr_000947071,0.963893, 0.000072
pr_000941954,0.963893, 0.000072
pr_000991901,0.963893, 0.000236
us_000563328,0.963893, 0.000398
us_000599450,0.963893, 0.000398
us_000599452,0.963893, 0.000398
us_000479655,0.963893, 0.001041
us_000587118,0.963893, 0.006306
us_000514686,0.963893, 0.006530
us_000471055,0.963893, 0.011897
us_000504083,0.963893, 0.860951
us_000132257,0.963893, 0.953468
us_000487474,0.963893, 0.990409
us_000480700,0.963893, 1.001750
us_000453244,0.963893, 1.366230
pr_001588185,0.959408, 0.000000
pr_001122319,0.959408, 0.000000
pr_000002297,0.959408, 0.000000
pr_000591602,0.959408, 0.000001
pr_000591771,0.959408, 0.000012
pr_002189791,0.959408, 0.000105
pr_000343586,0.959408, 0.000116
pr_000592902,0.959408, 0.000230
us_000528016,0.959408, 0.000569
us_000498215,0.959408, 0.002513
us_000522621,0.959408, 0.002513
us_000498744,0.959408, 0.002513
us_000497609,0.959408, 0.002513
us_000587620,0.959408, 0.005378
us_000495843,0.959408, 0.030597
us_000523399,0.959408, 0.036405
us_000550049,0.959408, 0.099543
us_000472611,0.959408, 0.692230
us_000471521,0.959408, 0.734495
us_000482051,0.959408, 0.778809
us_000471893,0.959408, 0.891697
us_000459716,0.959408, 0.893280
us_000470545,0.959408, 0.943703
us_000482979,0.959408, 0.983716
pr_000650146,0.896443, 0.000000
pr_000905084,0.896443, 0.000000
pr_000178430,0.896443, 0.000000
us_000584589,0.896443, 0.000000
us_000465556,0.896443, 0.000000
us_000461037,0.896443, 0.000000
us_000465023,0.896443, 0.000000
us_000147678,0.896443, 0.000000
us_000460689,0.896443, 0.000000
us_000466939,0.896443, 0.000000
us_000464924,0.896443, 0.000000
us_000471269,0.896443, 0.000000
us_000476289,0.896443, 0.000000
us_000463797,0.896443, 0.000000
us_000474667,0.896443, 0.000000
us_000475421,0.896443, 0.000000
us_000465002,0.896443, 0.000000
us_000454827,0.896443, 0.000000
us_000582226,0.896443, 0.000001
pr_001166852,0.896443, 0.000001
pr_001135544,0.896443, 0.000001
pr_001858538,0.896443, 0.000001
pr_001694839,0.896443, 0.000003
pr_001835785,0.896443, 0.000003
pr_000174178,0.896443, 0.000004
pr_001847064,0.896443, 0.000004
pr_000495547,0.896443, 0.000004
pr_001583970,0.896443, 0.000004
us_000589104,0.896443, 0.000025
us_000582212,0.896443, 0.000025
us_000615191,0.896443, 0.000025
pr_001000636,0.896443, 0.000029
pr_000934159,0.896443, 0.000031
pr_000959051,0.896443, 0.000037
pr_000825109,0.896443, 0.000056
pr_000346896,0.896443, 0.000066
pr_001686858,0.896443, 0.000070
pr_000836997,0.896443, 0.000082
pr_000997583,0.896443, 0.000149
us_000520898,0.896443, 0.000178
pr_001410993,0.896443, 0.000193
pr_000303983,0.896443, 0.000266
pr_000178042,0.896443, 0.000266
pr_000176389,0.896443, 0.000302
us_000542330,0.896443, 0.001635
us_000513843,0.896443, 0.003704
us_000518602,0.896443, 0.356601
us_000459872,0.896443, 0.399914
us_000120917,0.896443, 0.419872
us_000121290,0.896443, 0.438152
us_000460008,0.896443, 0.440892
us_000060282,0.896443, 0.442279
us_000537492,0.896443, 0.442864
us_000471313,0.896443, 0.460618
us_000491989,0.896443, 0.462169
us_000459066,0.896443, 0.465824
us_000471319,0.896443, 0.466268
us_000116400,0.896443, 0.467339
us_000171593,0.896443, 0.468140
us_000193207,0.896443, 0.468163
us_000491573,0.896443, 0.473214
us_000161646,0.896443, 0.477023
us_000472400,0.896443, 0.480202
us_000497045,0.896443, 0.483820
us_000491571,0.896443, 0.496423
us_000447797,0.896443, 0.497857
us_000471582,0.896443, 0.500938
us_000472498,0.896443, 0.504652
us_000398503,0.896443, 0.505468
us_000481762,0.896443, 0.505778
us_000402846,0.896443, 0.512039
us_000467119,0.896443, 0.515720
us_000593654,0.896443, 0.527543
us_000518136,0.896443, 0.534408
us_000496900,0.896443, 0.538123
us_000424675,0.896443, 0.547003
us_000469654,0.896443, 0.556980
us_000470079,0.896443, 0.562474
us_000497398,0.896443, 0.575455
us_000459065,0.896443, 0.581026
us_000481698,0.896443, 0.597305
us_000497034,0.896443, 0.625131
us_000496907,0.896443, 0.627977
us_000465259,0.896443, 0.693153
us_000468962,0.896443, 1.592948
pr_001119461,0.834943, 0.000000
pr_001098753,0.834943, 0.000000
pr_000811740,0.834943, 0.000000
pr_001686879,0.834943, 0.000000
pr_000973639,0.834943, 0.000000
pr_001693438,0.834943, 0.000000
us_000526800,0.834943, 0.000004
pr_000187657,0.834943, 0.000021
pr_000199961,0.834943, 0.000030
pr_000199404,0.834943, 0.000030
pr_001401087,0.834943, 0.000030
pr_000199527,0.834943, 0.000030
pr_000556316,0.834943, 0.000039
pr_000666162,0.834943, 0.000046
pr_000717622,0.834943, 0.000058
pr_000889180,0.834943, 0.000064
pr_001095280,0.834943, 0.000064
pr_000887411,0.834943, 0.000064
pr_000313768,0.834943, 0.000064
pr_000563633,0.834943, 0.000084
pr_000209371,0.834943, 0.000084
pr_000989343,0.834943, 0.000084
pr_000743224,0.834943, 0.000084
pr_000206511,0.834943, 0.000084
pr_000566089,0.834943, 0.000084
pr_001722920,0.834943, 0.000084
pr_000763875,0.834943, 0.000084
pr_001700224,0.834943, 0.000084
pr_000204412,0.834943, 0.000084
pr_001163752,0.834943, 0.000088
pr_000657817,0.834943, 0.000096
pr_000829773,0.834943, 0.000096
pr_000569601,0.834943, 0.000096
pr_000234712,0.834943, 0.000101
pr_000193543,0.834943, 0.000122
pr_000219823,0.834943, 0.000165
pr_000903670,0.834943, 0.000201
pr_000155966,0.834943, 0.000210
pr_000742634,0.834943, 0.000249
pr_000586632,0.834943, 0.000265
pr_000850198,0.834943, 0.000300
pr_000760256,0.834943, 0.000399
pr_000903593,0.834943, 0.000463
pr_001685218,0.834943, 0.000528
pr_000989830,0.834943, 0.000677
pr_001106223,0.834943, 0.000684
pr_000210244,0.834943, 0.000749
pr_001015991,0.834943, 0.000786
pr_001025926,0.834943, 0.001473
us_000538777,0.834943, 0.006298
us_000527934,0.834943, 0.024420
us_000245697,0.834943, 1.092182
us_000505589,0.834943, 1.161716
us_000093803,0.834943, 1.321901
pr_000122884,0.811188, 0.000002
us_000207891,0.811188, 0.000135
us_000504960,0.811188, 0.000222
pr_000188986,0.811188, 0.000601
us_000552954,0.811188, 0.000666
us_000553287,0.811188, 0.000994
us_000538952,0.811188, 0.000994
us_000537578,0.811188, 0.000994
us_000526457,0.811188, 0.001450
us_000534110,0.811188, 0.002403
us_000515004,0.811188, 0.012641
us_000482096,0.811188, 0.509054
us_000450693,0.811188, 0.538697
us_000470287,0.811188, 0.550365
us_000469187,0.811188, 0.551416
us_000246237,0.811188, 0.572278
us_000462904,0.811188, 0.572521
us_000470041,0.811188, 0.574923
us_000094821,0.811188, 0.576866
us_000497406,0.811188, 0.584087
us_000468485,0.811188, 0.593835
us_000481801,0.811188, 0.596078
us_000099005,0.811188, 0.596414
us_000474342,0.811188, 0.596977
us_000047394,0.811188, 0.606756
us_000487214,0.811188, 0.607250
us_000505544,0.811188, 0.607250
us_000048180,0.811188, 0.607250
