Product ID : 1010 JPs covered : 205 : Real Estate Finance, 
us_000485705,0.653475, 0.387882
us_000609377,0.653475, 0.387882
us_000459188,0.653475, 0.387882
us_000488552,0.653475, 0.387882
us_000472189,0.653475, 0.387882
us_000040271,0.653475, 0.387882
us_000488284,0.653475, 0.387882
us_000565504,0.653475, 0.387882
us_000466287,0.653475, 0.387882
us_000458575,0.653475, 0.387882
us_000461631,0.653475, 0.387882
us_000486908,0.653475, 0.387882
us_000467963,0.653475, 0.387882
us_000491283,0.653475, 0.387882
us_000307401,0.653475, 0.387882
us_000498139,0.653475, 0.387882
us_000459087,0.653475, 0.387882
us_000467766,0.653475, 0.387882
us_000499929,0.653475, 0.387882
us_000568241,0.653475, 0.387882
us_000463765,0.653475, 0.387882
us_000494048,0.653475, 0.387882
us_000468221,0.653475, 0.387882
us_000484049,0.653475, 0.387882
us_000467939,0.653475, 0.387882
us_000483824,0.653475, 0.387882
us_000493270,0.653475, 0.387882
us_000607068,0.653475, 0.387882
us_000570627,0.653475, 0.387882
us_000482717,0.653475, 0.387882
us_000492282,0.653475, 0.387882
us_000132467,0.653475, 0.388398
us_000461245,0.653475, 0.388401
us_000573273,0.653475, 0.388482
us_000466390,0.653475, 0.389139
us_000461984,0.653475, 0.390533
us_000472774,0.653475, 0.390533
us_000509580,0.653475, 0.391009
us_000464647,0.653475, 0.391564
us_000465982,0.653475, 0.391832
us_000465983,0.653475, 0.391832
us_000464029,0.653475, 0.395443
us_000396182,0.653475, 0.395775
us_000493141,0.653475, 0.395808
us_000469474,0.653475, 0.410006
us_000466157,0.653475, 1.025407
