Product ID : 2120 # of JPs covered : 1 : 297 : Emp-Lit-Wage Hour, 
OID,Confidence at Map Node,Error at Map Node
pr_000941061,0.962897, 0.000139
pr_001694087,0.962897, 0.000169
pr_000347362,0.962897, 0.000209
pr_001680351,0.962897, 0.000215
pr_001409430,0.962897, 0.000226
pr_000582979,0.962897, 0.000231
pr_000217881,0.962897, 0.000234
pr_001120242,0.962897, 0.000251
pr_000346396,0.962897, 0.000275
pr_000646798,0.962897, 0.000275
pr_000343851,0.962897, 0.000281
pr_001642690,0.962897, 0.000359
pr_000938885,0.962897, 0.000380
pr_000798397,0.962897, 0.000677
us_000592168,0.962897, 0.001554
us_000551414,0.962897, 0.001586
us_000391815,0.962897, 0.007065
us_000477762,0.962897, 1.981374
us_000485824,0.899969, 0.000000
us_000552841,0.899969, 0.000000
us_000491340,0.899969, 0.000000
us_000514913,0.899969, 0.000000
us_000488717,0.899969, 0.000000
us_000533683,0.899969, 0.000000
us_000542562,0.899969, 0.000000
us_000554157,0.899969, 0.000000
pr_000868327,0.899969, 0.000000
pr_002229727,0.899969, 0.000000
pr_000991174,0.899969, 0.000000
pr_000874534,0.899969, 0.000000
pr_000896183,0.899969, 0.000000
pr_000982748,0.899969, 0.000000
pr_000868328,0.899969, 0.000000
pr_000434489,0.899969, 0.000000
pr_000991735,0.899969, 0.000000
pr_000846510,0.899969, 0.000000
pr_000963371,0.899969, 0.000000
pr_000188845,0.899969, 0.000000
pr_001717175,0.899969, 0.000000
pr_001078957,0.899969, 0.000000
pr_000835268,0.899969, 0.000000
pr_001724598,0.899969, 0.000000
pr_000348138,0.899969, 0.000000
pr_001716236,0.899969, 0.000000
pr_000407428,0.899969, 0.000000
us_000504799,0.899969, 0.000002
pr_000894557,0.899969, 0.000004
pr_000407686,0.899969, 0.000004
pr_002164758,0.899969, 0.000004
pr_001405565,0.899969, 0.000008
pr_001402794,0.899969, 0.000012
pr_002094058,0.899969, 0.000319
us_000467452,0.899969, 4.203446
pr_000193511,0.803675, 0.000000
pr_000739631,0.803675, 0.000010
pr_000193202,0.803675, 0.000011
us_000546361,0.803675, 0.000013
us_000546350,0.803675, 0.000013
us_000552045,0.803675, 0.000019
us_000534528,0.803675, 0.000046
us_000586895,0.803675, 0.001866
pr_000629734,0.803675, 0.002698
us_000546345,0.803675, 0.005971
pr_001660478,0.736534, 0.000002
pr_000185199,0.736534, 0.000042
pr_000736035,0.736534, 0.000255
us_000554108,0.736534, 0.000270
us_000553370,0.736534, 0.000270
pr_000347381,0.736534, 0.000469
us_000518188,0.736534, 0.000842
pr_000637082,0.736534, 0.000996
pr_001107926,0.736534, 0.001568
pr_001770068,0.736534, 0.001786
pr_000742785,0.736534, 0.005929
us_000612818,0.736534, 0.012460
us_000592994,0.736534, 0.012460
us_000475844,0.736534, 0.013202
us_000524420,0.736534, 0.015576
us_000489422,0.736534, 0.068764
us_000492605,0.736534, 1.103252
us_000476071,0.736534, 1.273072
us_000466281,0.736534, 1.399427
us_000463067,0.736534, 1.404085
us_000530114,0.736534, 1.436232
us_000197126,0.736534, 1.557468
pr_000583242,0.717713, 0.000000
us_000499991,0.717713, 0.000600
us_000497405,0.717713, 0.000847
us_000493124,0.717713, 0.003249
us_000535279,0.717713, 0.003465
us_000556757,0.717713, 0.004515
us_000500794,0.717713, 0.012028
us_000415077,0.717713, 0.014483
us_000495978,0.717713, 0.026363
us_000551280,0.717713, 1.041928
us_000524821,0.717713, 1.119001
us_000551317,0.717713, 1.278655
us_000507329,0.717713, 1.451370
us_000501514,0.717713, 1.456969
us_000445984,0.717713, 1.736010
us_000506380,0.717713, 3.129814
us_000519182,0.713699, 0.000004
pr_002052258,0.713699, 0.000010
pr_000410567,0.713699, 0.000232
us_000500668,0.713699, 0.000990
us_000596158,0.713699, 0.013424
us_000501734,0.713699, 0.031248
us_000478295,0.713699, 1.550014
us_000480110,0.713699, 2.020654
