Product ID : 981 # of JPs covered : 1 : 211 : Ethics, 
OID,Confidence at Map Node,Error at Map Node
us_000487510,1.000000, 0.372995
us_000402635,1.000000, 0.841334
pr_001111001,0.389760, 0.000000
pr_001112462,0.389760, 0.000000
pr_000747019,0.389760, 0.000000
pr_001043726,0.389760, 0.000000
us_000506588,0.389760, 0.000000
pr_000774190,0.389760, 0.000000
pr_000949202,0.389760, 0.000005
pr_001074682,0.389760, 0.000041
us_000530899,0.389760, 0.000062
us_000574611,0.389760, 0.002330
us_000544422,0.389760, 0.006187
us_000495120,0.389760, 0.041301
us_000492021,0.389760, 0.195950
us_000492027,0.389760, 0.323064
us_000481258,0.389760, 0.327240
us_000481840,0.389760, 0.330560
us_000471270,0.389760, 0.331497
us_000469470,0.389760, 0.332488
us_000511624,0.389760, 0.334929
us_000577757,0.389760, 0.336214
us_000574461,0.389760, 0.339926
us_000467850,0.389760, 0.342773
us_000471267,0.389760, 0.343359
us_000492848,0.389760, 0.343715
us_000481336,0.389760, 0.352236
us_000472598,0.389760, 0.354458
us_000577646,0.389760, 0.359968
us_000507910,0.389760, 0.360100
us_000462183,0.389760, 0.362216
us_000508351,0.389760, 0.458527
us_000497509,0.389760, 0.476086
us_000497742,0.389760, 0.479159
us_000595685,0.389760, 0.490745
us_000507632,0.389760, 0.518390
us_000595548,0.389760, 0.532242
us_000012124,0.389760, 0.576070
us_000534320,0.389760, 0.617888
us_000496295,0.389760, 0.621811
us_000473559,0.389760, 0.686502
us_000315969,0.389760, 0.904104
us_000133644,0.389760, 1.030090
us_000460391,0.389760, 1.139869
us_000464143,0.383741, 0.000000
us_000469979,0.383741, 0.000000
us_000470870,0.383741, 0.000000
pr_000755753,0.383741, 0.000000
pr_000904914,0.383741, 0.000000
us_000544555,0.383741, 0.000000
us_000529657,0.383741, 0.000001
us_000524032,0.383741, 0.000001
us_000515325,0.383741, 0.000001
us_000550596,0.383741, 0.000001
us_000518607,0.383741, 0.000001
us_000587374,0.383741, 0.000003
us_000612422,0.383741, 0.000004
us_000540214,0.383741, 0.000009
pr_000891919,0.383741, 0.000012
us_000587046,0.383741, 0.000015
us_000474921,0.383741, 0.000044
pr_001966302,0.383741, 0.000100
pr_001680645,0.383741, 0.000143
pr_000717967,0.383741, 0.000180
pr_000843326,0.383741, 0.000231
us_000551962,0.383741, 0.000344
us_000594653,0.383741, 0.000359
us_000615136,0.383741, 0.000376
us_000604801,0.383741, 0.000380
us_000188916,0.383741, 0.000636
us_000018297,0.383741, 0.000652
us_000580553,0.383741, 0.000659
us_000580549,0.383741, 0.000659
us_000492349,0.383741, 0.000713
us_000462998,0.383741, 0.000713
pr_000988753,0.383741, 0.000782
us_000556745,0.383741, 0.001005
us_000511878,0.383741, 0.001074
us_000609015,0.383741, 0.001162
us_000580552,0.383741, 0.001603
us_000532962,0.383741, 0.001673
us_000515865,0.383741, 0.002269
us_000510421,0.383741, 0.002897
us_000582562,0.383741, 0.003191
us_000522194,0.383741, 0.004967
us_000466905,0.383741, 0.005969
us_000544848,0.383741, 0.006184
us_000478493,0.383741, 0.008211
us_000580214,0.383741, 0.008385
us_000599358,0.383741, 0.009644
us_000483187,0.383741, 0.010976
us_000523846,0.383741, 0.011002
us_000465663,0.383741, 0.011660
us_000607949,0.383741, 0.012435
us_000481514,0.383741, 0.012447
us_000574050,0.383741, 0.012705
us_000463060,0.383741, 0.013028
us_000575679,0.383741, 0.019550
us_000536031,0.383741, 0.021246
us_000536332,0.383741, 0.022369
us_000547608,0.383741, 0.024668
us_000482363,0.383741, 0.027232
us_000475522,0.383741, 0.028480
us_000469422,0.383741, 0.029800
us_000103730,0.383741, 0.030832
us_000491611,0.383741, 0.035990
us_000479628,0.383741, 0.036183
us_000462028,0.383741, 0.038655
us_000557200,0.383741, 0.040854
us_000578936,0.383741, 0.042963
us_000616842,0.383741, 0.044720
us_000587968,0.383741, 0.047362
us_000534932,0.383741, 0.049621
us_000594982,0.383741, 0.062592
us_000521649,0.383741, 0.067461
us_000502052,0.383741, 0.071109
us_000541173,0.383741, 0.073995
us_000472184,0.383741, 0.093796
us_000599192,0.383741, 0.095175
us_000558207,0.383741, 0.098085
us_000535239,0.383741, 0.109734
us_000521559,0.383741, 0.124962
us_000487607,0.383741, 0.783015
us_000487472,0.383741, 1.167901
us_000534374,0.383741, 1.218816
us_000487270,0.383741, 1.827862
pr_000313326,0.360764, 0.000000
pr_001121833,0.360764, 0.000000
us_000489902,0.360764, 0.000000
us_000503826,0.360764, 0.000000
pr_001911697,0.360764, 0.000001
pr_001630809,0.360764, 0.000001
pr_001148807,0.360764, 0.000001
pr_002123385,0.360764, 0.000002
pr_002231311,0.360764, 0.000002
pr_001730103,0.360764, 0.000004
pr_000336387,0.360764, 0.000049
pr_000665047,0.360764, 0.000077
pr_000176078,0.360764, 0.000182
pr_001926663,0.360764, 0.000231
pr_000113948,0.360764, 0.000239
pr_000763060,0.360764, 0.000306
pr_001649636,0.360764, 0.000755
pr_000829761,0.360764, 0.001549
us_000486254,0.360764, 0.013011
us_000470021,0.360764, 0.180324
us_000467142,0.360764, 0.295772
us_000472428,0.360764, 0.300874
us_000324420,0.360764, 0.300874
us_000034182,0.360764, 0.302290
us_000481830,0.360764, 0.303615
us_000464731,0.360764, 0.305993
us_000481709,0.360764, 0.306844
us_000291867,0.360764, 0.307253
us_000527761,0.360764, 0.308216
us_000464734,0.360764, 0.308635
us_000497367,0.360764, 0.309889
us_000529886,0.360764, 0.310009
us_000483955,0.360764, 0.311041
us_000468287,0.360764, 0.311428
us_000474706,0.360764, 0.311623
us_000166169,0.360764, 0.311623
us_000468342,0.360764, 0.311623
us_000461079,0.360764, 0.311623
us_000481708,0.360764, 0.311623
us_000474059,0.360764, 0.311623
us_000481710,0.360764, 0.311623
us_000472221,0.360764, 0.311623
us_000471666,0.360764, 0.311623
us_000527770,0.360764, 0.311623
us_000467116,0.360764, 0.314527
us_000471361,0.360764, 0.319124
us_000547407,0.360764, 0.319170
us_000505679,0.360764, 0.320619
us_000471798,0.360764, 0.323310
us_000293280,0.360764, 0.323345
us_000469333,0.360764, 0.324843
us_000461980,0.360764, 0.325589
us_000472255,0.360764, 0.326640
us_000472607,0.360764, 0.327889
us_000465955,0.360764, 0.330921
us_000474938,0.360764, 0.339961
us_000481741,0.360764, 0.341876
us_000582589,0.360764, 0.342157
us_000592241,0.360764, 0.343099
us_000469718,0.360764, 0.346875
us_000467289,0.360764, 0.348121
us_000487334,0.360764, 0.370551
us_000474922,0.360764, 0.400329
us_000567928,0.360764, 0.400791
us_000515016,0.360764, 0.460336
us_000471004,0.285519, 0.000001
pr_001050702,0.285519, 0.000012
pr_001040110,0.285519, 0.000012
pr_001028340,0.285519, 0.000030
us_000534997,0.285519, 0.000053
us_000473656,0.285519, 0.000068
us_000553179,0.285519, 0.000094
pr_000713208,0.285519, 0.000098
pr_001903756,0.285519, 0.000111
pr_000847453,0.285519, 0.000121
pr_000941900,0.285519, 0.000143
pr_000215551,0.285519, 0.000150
