Product ID : 958 # of JPs covered : 1 : 69 : Class Action, 
OID,Confidence at Map Node,Error at Map Node
us_000498441,0.959877, 1.784027
us_000509147,0.959877, 1.921767
us_000514396,0.959877, 2.013567
us_000514313,0.959877, 2.060885
us_000481552,0.959877, 2.156614
us_000516459,0.959877, 2.177716
us_000545052,0.959877, 2.235356
us_000504146,0.959877, 2.276121
us_000495629,0.959877, 2.315348
us_000516113,0.959877, 2.753171
pr_000534988,0.957582, 0.000030
pr_000803327,0.957582, 0.000085
pr_001833977,0.957582, 0.000318
pr_002164587,0.957582, 0.000398
us_000541091,0.957582, 0.003289
us_000471601,0.957582, 0.005466
us_000538364,0.957582, 0.006763
us_000476724,0.957582, 0.007391
us_000551674,0.957582, 0.008028
us_000613293,0.957582, 0.012137
us_000552936,0.957582, 0.012998
us_000503600,0.957582, 0.016472
us_000596010,0.957582, 0.019731
us_000503764,0.957582, 0.023890
us_000533045,0.957582, 0.746034
us_000473756,0.957582, 1.005384
us_000119419,0.957582, 1.062722
us_000502987,0.957582, 1.070606
us_000546489,0.957582, 1.072249
us_000527590,0.957582, 1.080622
us_000483121,0.957582, 1.134577
us_000522571,0.957582, 1.157182
us_000481723,0.957582, 1.168515
us_000541684,0.957582, 1.185110
us_000559244,0.957582, 1.186267
us_000127641,0.957582, 1.193122
us_000593383,0.957582, 1.202378
us_000464418,0.957582, 1.212904
us_000494933,0.957582, 1.226475
us_000236329,0.957582, 1.236041
us_000594205,0.957582, 1.248364
us_000505890,0.957582, 1.261992
us_000555104,0.957582, 1.266185
us_000516874,0.957582, 1.266813
us_000531325,0.957582, 1.276054
us_000034358,0.957582, 1.285208
us_000545269,0.957582, 1.285643
us_000547547,0.957582, 1.288694
us_000544734,0.957582, 1.303379
us_000464735,0.957582, 1.313402
us_000473265,0.957582, 1.318749
us_000153295,0.957582, 1.332590
us_000519086,0.957582, 1.332881
us_000527662,0.957582, 1.345808
us_000198267,0.957582, 1.349446
us_000530400,0.957582, 1.355307
us_000216143,0.957582, 1.357304
us_000528528,0.957582, 1.357306
us_000529419,0.957582, 1.358146
us_000534436,0.957582, 1.368778
us_000544554,0.957582, 1.370440
us_000529466,0.957582, 1.377050
us_000527895,0.957582, 1.380507
us_000512741,0.957582, 1.384593
us_000529526,0.957582, 1.391563
us_000517385,0.957582, 1.395919
us_000530187,0.957582, 1.400031
us_000477897,0.957582, 1.401753
us_000515745,0.957582, 1.402892
us_000517776,0.957582, 1.402892
us_000516188,0.957582, 1.402892
us_000531327,0.957582, 1.402892
us_000593912,0.957582, 1.422016
us_000544795,0.957582, 1.423161
us_000463858,0.957582, 1.426075
us_000544855,0.957582, 1.427898
us_000533940,0.957582, 1.564452
us_000505615,0.957582, 1.729758
us_000473922,0.957582, 1.969734
pr_000835383,0.939206, 0.000000
pr_000597500,0.939206, 0.000000
pr_001404522,0.939206, 0.000000
pr_001032321,0.939206, 0.000000
pr_001404790,0.939206, 0.000000
pr_001106640,0.939206, 0.000000
pr_000839865,0.939206, 0.000000
pr_001406831,0.939206, 0.000001
pr_001140256,0.939206, 0.000001
pr_001413449,0.939206, 0.000001
pr_001595461,0.939206, 0.000001
pr_001761933,0.939206, 0.000001
pr_001723738,0.939206, 0.000001
pr_001406545,0.939206, 0.000001
pr_001405960,0.939206, 0.000001
us_000466322,0.939206, 0.000001
us_000493408,0.939206, 0.000008
us_000572959,0.939206, 0.000013
us_000582866,0.939206, 0.000041
us_000582867,0.939206, 0.000041
us_000574892,0.939206, 0.000100
us_000507228,0.939206, 0.000112
us_000583508,0.939206, 0.000114
us_000583983,0.939206, 0.000114
us_000583423,0.939206, 0.000114
us_000575855,0.939206, 0.000114
us_000583514,0.939206, 0.000114
us_000594548,0.939206, 0.000590
us_000560429,0.939206, 0.002026
us_000543272,0.939206, 0.003350
us_000557013,0.939206, 0.016690
us_000505991,0.939206, 1.439120
us_000483385,0.939206, 1.569893
us_000038941,0.939206, 1.578385
pr_000110180,0.868941, 0.000000
us_000481526,0.868941, 0.000003
us_000520277,0.868941, 0.000003
pr_002066341,0.868941, 0.000022
pr_001678461,0.868941, 0.000060
pr_001035698,0.868941, 0.000137
us_000548554,0.868941, 1.168495
pr_000730814,0.806499, 0.000000
pr_000705038,0.806499, 0.000002
pr_000825688,0.806499, 0.000004
pr_001159596,0.806499, 0.000034
pr_000791802,0.806499, 0.000226
us_000528196,0.806499, 0.000275
pr_001153774,0.806499, 0.000302
pr_000905930,0.806499, 0.000398
us_000323634,0.806499, 0.000813
us_000528632,0.806499, 0.001696
us_000527942,0.806499, 0.868442
us_000559288,0.806499, 0.870763
us_000559291,0.806499, 0.902192
us_000503046,0.806499, 0.932643
us_000616760,0.782625, 0.000000
us_000487023,0.782625, 0.000000
us_000487316,0.782625, 0.000000
us_000488890,0.782625, 0.000000
us_000473544,0.782625, 0.000007
pr_000748296,0.782625, 0.000025
pr_000838376,0.782625, 0.000613
pr_001136666,0.782625, 0.000703
pr_000713515,0.782625, 0.000704
pr_000958952,0.782625, 0.000732
pr_001047383,0.782625, 0.000796
pr_000989447,0.782625, 0.000847
pr_000637148,0.782625, 0.000876
pr_000822642,0.782625, 0.000885
pr_000555931,0.782625, 0.000924
pr_001583767,0.782625, 0.000961
pr_000724900,0.782625, 0.001168
pr_001086649,0.782625, 0.001181
pr_001076727,0.782625, 0.001211
pr_001015299,0.782625, 0.001219
pr_000728235,0.782625, 0.001312
pr_000727586,0.782625, 0.001347
pr_001020223,0.782625, 0.001347
pr_000939952,0.782625, 0.001347
pr_000338808,0.782625, 0.001471
pr_000997656,0.782625, 0.001524
pr_000163503,0.782625, 0.001608
pr_000891324,0.782625, 0.001746
pr_000862806,0.782625, 0.002237
pr_001657219,0.782625, 0.002528
pr_001017515,0.782625, 0.003204
us_000499755,0.782625, 0.014183
us_000471979,0.782625, 0.016132
us_000525890,0.782625, 0.021989
us_000502093,0.782625, 0.221894
us_000465139,0.782625, 0.865532
pr_000333523,0.771158, 0.000000
pr_001084905,0.771158, 0.000000
pr_000468785,0.771158, 0.000000
pr_000376240,0.771158, 0.000000
pr_000135423,0.771158, 0.000000
pr_000502105,0.771158, 0.000000
us_000569111,0.771158, 0.000000
us_000569110,0.771158, 0.000000
us_000508798,0.771158, 0.000002
us_000525405,0.771158, 0.000002
us_000049809,0.771158, 0.000010
us_000505906,0.771158, 0.000021
us_000418790,0.771158, 0.000055
us_000181952,0.771158, 0.000061
us_000601092,0.771158, 0.000087
us_000611126,0.771158, 0.000114
us_000553275,0.771158, 0.000174
pr_000908598,0.771158, 0.000207
us_000570352,0.771158, 0.000264
us_000592368,0.771158, 0.000366
us_000592398,0.771158, 0.000366
us_000593596,0.771158, 0.000366
us_000574656,0.771158, 0.000366
us_000593588,0.771158, 0.000366
us_000616227,0.771158, 0.000367
us_000616309,0.771158, 0.000367
us_000616225,0.771158, 0.000367
us_000616308,0.771158, 0.000367
us_000598944,0.771158, 0.000371
us_000574215,0.771158, 0.000382
us_000585094,0.771158, 0.000387
us_000614495,0.771158, 0.000404
us_000573554,0.771158, 0.000409
us_000609656,0.771158, 0.000409
us_000608359,0.771158, 0.000409
us_000592839,0.771158, 0.000409
us_000597033,0.771158, 0.000409
us_000617352,0.771158, 0.000409
us_000596777,0.771158, 0.000409
us_000574713,0.771158, 0.000409
us_000604449,0.771158, 0.000409
us_000582087,0.771158, 0.000409
us_000598150,0.771158, 0.000409
us_000598156,0.771158, 0.000409
us_000593537,0.771158, 0.000409
us_000598298,0.771158, 0.000412
us_000611186,0.771158, 0.000414
us_000522812,0.771158, 0.000427
us_000601343,0.771158, 0.000427
us_000573260,0.771158, 0.000443
us_000493626,0.771158, 0.000451
us_000586717,0.771158, 0.000470
us_000480597,0.771158, 0.000472
us_000588465,0.771158, 0.000496
us_000531877,0.771158, 0.000560
us_000579719,0.771158, 0.000585
us_000584020,0.771158, 0.000621
us_000574649,0.771158, 0.000637
us_000616633,0.771158, 0.000637
us_000541083,0.771158, 0.000637
us_000574767,0.771158, 0.000664
us_000594082,0.771158, 0.000664
us_000582005,0.771158, 0.000698
us_000564686,0.771158, 0.000725
us_000596273,0.771158, 0.000751
us_000561237,0.771158, 0.000766
us_000563190,0.771158, 0.000788
us_000585044,0.771158, 0.000885
us_000586780,0.771158, 0.001062
us_000599851,0.771158, 0.001224
us_000526461,0.771158, 0.001285
us_000579763,0.771158, 0.001573
us_000613811,0.771158, 0.002070
us_000541291,0.771158, 0.002109
us_000593900,0.771158, 0.002308
us_000480805,0.771158, 0.002342
us_000577870,0.771158, 0.002546
us_000593947,0.771158, 0.002552
us_000579060,0.771158, 0.002552
us_000530371,0.771158, 0.002565
us_000546127,0.771158, 0.002581
pr_000348705,0.771158, 0.002786
us_000574984,0.771158, 0.002823
us_000598137,0.771158, 0.002838
us_000570311,0.771158, 0.002922
us_000583957,0.771158, 0.002927
us_000523861,0.771158, 0.002990
us_000602818,0.771158, 0.003008
us_000491815,0.771158, 0.003041
us_000520273,0.771158, 0.003349
us_000591168,0.771158, 0.003459
us_000522356,0.771158, 0.003470
us_000594144,0.771158, 0.003828
us_000614729,0.771158, 0.003866
us_000519826,0.771158, 0.004046
us_000564844,0.771158, 0.004483
us_000581351,0.771158, 0.004666
us_000507429,0.771158, 0.004849
us_000566772,0.771158, 0.005177
us_000554094,0.771158, 0.005326
us_000480842,0.771158, 0.005591
us_000534158,0.771158, 0.005597
us_000549941,0.771158, 0.005751
us_000550789,0.771158, 0.005806
us_000550818,0.771158, 0.005832
us_000572449,0.771158, 0.006227
us_000496229,0.771158, 0.006269
us_000539942,0.771158, 0.006673
us_000588370,0.771158, 0.007017
us_000512393,0.771158, 0.007076
us_000566535,0.771158, 0.007348
us_000510275,0.771158, 0.007817
