Product ID : 2133 JPs covered : 229 : Environmental Litigation, 
us_000473462,0.346900, 0.412846
us_000476197,0.346900, 0.419741
us_000494337,0.346900, 0.420498
us_000494766,0.346900, 0.422139
us_000611945,0.346900, 0.423785
us_000300081,0.346900, 0.427491
us_000059364,0.346900, 0.428187
us_000572195,0.346900, 0.435884
us_000527943,0.346900, 0.436293
us_000006645,0.346900, 0.438596
us_000464326,0.346900, 0.441372
us_000017824,0.346900, 0.442137
us_000527780,0.346900, 0.446070
us_000473487,0.346900, 0.447626
us_000494787,0.346900, 0.448574
us_000518926,0.346900, 0.451170
us_000533424,0.346900, 0.452653
us_000473632,0.346900, 0.452858
us_000359874,0.346900, 0.453474
us_000476613,0.346900, 0.455615
us_000513879,0.346900, 0.455615
us_000476271,0.346900, 0.455615
us_000474353,0.346900, 0.456084
us_000492769,0.346900, 0.468863
us_000346990,0.346900, 0.475007
us_000464382,0.346900, 0.478036
us_000476251,0.346900, 0.480747
us_000308992,0.346900, 0.483133
us_000497923,0.346900, 0.488264
us_000486986,0.346900, 0.499815
us_000527873,0.346900, 0.499897
us_000533395,0.346900, 0.500850
us_000203842,0.346900, 0.504190
us_000488071,0.346900, 0.504236
us_000476413,0.346900, 0.504642
us_000570266,0.346900, 0.506202
us_000562945,0.346900, 0.508941
us_000202753,0.346900, 0.511426
us_000476211,0.346900, 0.511426
us_000003384,0.346900, 0.511426
us_000582897,0.346900, 0.511426
us_000547775,0.346900, 0.511707
us_000500985,0.346900, 0.512056
us_000064527,0.346900, 0.512380
us_000555145,0.346900, 0.519283
us_000476429,0.346900, 0.522774
us_000495031,0.346900, 0.523322
us_000460009,0.346900, 0.527472
us_000464435,0.346900, 0.527649
us_000559044,0.346900, 0.531831
us_000359338,0.346900, 0.535431
us_000480746,0.346900, 0.536329
us_000505710,0.346900, 0.536535
us_000477715,0.346900, 0.540965
us_000470257,0.346900, 0.540965
us_000492495,0.346900, 0.550129
us_000492713,0.346900, 0.550655
us_000558589,0.346900, 0.550655
us_000478231,0.346900, 0.555708
us_000478297,0.346900, 0.555708
us_000520647,0.346900, 0.555708
us_000496035,0.346900, 0.555708
us_000582900,0.346900, 0.555708
us_000534254,0.346900, 0.577900
us_000497861,0.346900, 0.586955
us_000494882,0.346900, 0.592209
us_000482474,0.346900, 0.615053
us_000495026,0.346900, 0.627266
us_000478772,0.346900, 0.629918
us_000472751,0.346900, 0.648909
us_000569670,0.346900, 0.748779
us_000476200,0.346900, 0.749030
us_000482452,0.346900, 0.928870
us_000557830,0.312586, 0.000006
us_000524789,0.312586, 0.000862
us_000516558,0.312586, 0.000862
us_000518085,0.192734, 0.000011
us_000491541,0.192734, 0.429790
us_000485288,0.192734, 0.701539
us_000494683,0.192734, 0.709784
us_000472627,0.192734, 0.728362
us_000492603,0.192734, 0.851723
us_000077221,0.192734, 0.864529
us_000491450,0.192734, 1.076507
us_000474784,0.192734, 1.080699
us_000015766,0.192734, 1.171127
