Product ID : 976 # of JPs covered : 1 : 58 : State Income, 
us_000458702,0.968207, 0.515492
us_000469138,0.968207, 0.516614
us_000469078,0.968207, 0.517214
us_000469135,0.968207, 0.518042
us_000486037,0.968207, 0.519636
us_000542595,0.968207, 0.524452
us_000485461,0.968207, 0.525393
us_000485466,0.968207, 0.525393
us_000486721,0.968207, 0.527913
us_000544380,0.968207, 0.530241
us_000550894,0.968207, 0.530811
us_000526760,0.968207, 0.531182
us_000499585,0.968207, 0.531182
us_000576680,0.968207, 0.531182
us_000473358,0.968207, 0.540969
us_000526997,0.968207, 0.544590
us_000477827,0.968207, 0.545128
us_000472969,0.968207, 0.547562
us_000499222,0.968207, 0.547737
us_000546887,0.968207, 0.549154
us_000534182,0.968207, 0.549212
us_000546318,0.968207, 0.549686
us_000556813,0.968207, 0.551702
us_000476832,0.968207, 0.551812
us_000426465,0.968207, 0.552440
us_000562899,0.968207, 0.552961
us_000485526,0.968207, 0.557638
us_000458759,0.968207, 0.560619
us_000399653,0.968207, 0.561686
us_000517043,0.968207, 0.566604
us_000571314,0.968207, 0.568771
us_000461774,0.968207, 0.571014
us_000517550,0.968207, 0.571482
us_000536399,0.968207, 0.573446
us_000501783,0.968207, 0.575643
us_000467217,0.968207, 0.577908
us_000026758,0.968207, 0.578002
us_000468884,0.968207, 0.579632
us_000244726,0.968207, 0.579759
us_000054556,0.968207, 0.580630
us_000465941,0.968207, 0.580970
us_000526759,0.968207, 0.581710
us_000556810,0.968207, 0.581710
us_000536666,0.968207, 0.581710
us_000482381,0.968207, 0.581775
pr_000726690,0.968207, 0.582486
us_000240814,0.968207, 0.582509
us_000465908,0.968207, 0.582948
us_000542097,0.968207, 0.584260
us_000509287,0.968207, 0.584756
us_000493788,0.968207, 0.584979
us_000541596,0.968207, 0.585273
us_000477690,0.968207, 0.587809
us_000484703,0.968207, 0.587809
us_000586334,0.968207, 0.587809
us_000519391,0.968207, 0.587809
us_000562663,0.968207, 0.587809
us_000516654,0.968207, 0.587809
us_000556598,0.968207, 0.590201
us_000460651,0.968207, 0.590752
us_000479437,0.968207, 0.590829
us_000461736,0.968207, 0.590871
us_000478496,0.968207, 0.590871
us_000481264,0.968207, 0.590871
us_000591771,0.968207, 0.590871
us_000590344,0.968207, 0.590871
us_000466518,0.968207, 0.590871
us_000532553,0.968207, 0.590871
us_000479574,0.968207, 0.591366
us_000458572,0.968207, 0.592149
us_000576864,0.968207, 0.592745
us_000482994,0.968207, 0.593254
us_000479641,0.968207, 0.595935
us_000473238,0.968207, 0.597020
us_000487643,0.968207, 0.598175
us_000515904,0.968207, 0.598602
us_000586283,0.968207, 0.600106
us_000517531,0.968207, 0.600106
us_000118102,0.968207, 0.600106
us_000209566,0.968207, 0.602171
us_000467573,0.968207, 0.603201
us_000464170,0.968207, 0.604611
us_000472863,0.968207, 0.605337
us_000497976,0.968207, 0.605760
us_000483486,0.968207, 0.606304
us_000054180,0.968207, 0.608003
us_000506979,0.968207, 0.608721
us_000514015,0.968207, 0.609415
us_000485493,0.968207, 0.609473
us_000466077,0.968207, 0.610133
us_000505217,0.968207, 0.610371
us_000241352,0.968207, 0.611139
us_000194238,0.968207, 0.611139
us_000520388,0.968207, 0.611864
us_000462254,0.968207, 0.612039
us_000480696,0.968207, 0.612039
us_000005046,0.968207, 0.612538
us_000467451,0.968207, 0.613514
us_000476052,0.968207, 0.613514
us_000484636,0.968207, 0.614282
us_000532145,0.968207, 0.614500
us_000500911,0.968207, 0.615661
us_000526765,0.968207, 0.615661
us_000517335,0.968207, 0.615661
us_000487774,0.968207, 0.615661
us_000526813,0.968207, 0.617721
us_000481170,0.968207, 0.618797
us_000485710,0.968207, 0.618797
us_000501604,0.968207, 0.618797
us_000289654,0.968207, 0.621270
us_000470539,0.968207, 0.621270
us_000561275,0.968207, 0.621344
us_000467363,0.968207, 0.621940
us_000286796,0.968207, 0.621940
us_000461763,0.968207, 0.621940
us_000465776,0.968207, 0.621940
us_000458764,0.968207, 0.621940
us_000468739,0.968207, 0.621940
us_000485588,0.968207, 0.621940
us_000502278,0.968207, 0.621940
us_000484618,0.968207, 0.621940
us_000476011,0.968207, 0.621940
us_000480673,0.968207, 0.621940
us_000469723,0.968207, 0.621940
us_000600997,0.968207, 0.621940
us_000532463,0.968207, 0.622158
us_000504508,0.968207, 0.623445
us_000556192,0.968207, 0.623814
us_000462639,0.968207, 0.624585
us_000462625,0.968207, 0.624695
us_000458745,0.968207, 0.626250
us_000532597,0.968207, 0.630126
us_000517510,0.968207, 0.631420
us_000470947,0.968207, 0.631420
us_000511711,0.968207, 0.631420
us_000517580,0.968207, 0.631420
us_000586294,0.968207, 0.631866
us_000609022,0.968207, 0.632081
us_000517553,0.968207, 0.633294
us_000499679,0.968207, 0.634596
us_000499700,0.968207, 0.634596
us_000499707,0.968207, 0.634596
us_000458622,0.968207, 0.634596
us_000499676,0.968207, 0.634814
us_000473958,0.968207, 0.635061
us_000493068,0.968207, 0.635510
us_000598415,0.968207, 0.635748
us_000500936,0.968207, 0.635995
us_000467734,0.968207, 0.637781
us_000580626,0.968207, 0.637781
us_000500932,0.968207, 0.639725
us_000543552,0.968207, 0.639725
us_000213677,0.968207, 0.640293
us_000571448,0.968207, 0.640973
us_000460570,0.968207, 0.640973
us_000562694,0.968207, 0.640973
us_000501335,0.968207, 0.640973
us_000467709,0.968207, 0.640973
us_000499425,0.968207, 0.640973
us_000573570,0.968207, 0.640973
us_000130749,0.968207, 0.641191
us_000586857,0.968207, 0.642421
us_000052256,0.968207, 0.642421
us_000337270,0.968207, 0.642942
us_000604629,0.968207, 0.642942
us_000586636,0.968207, 0.645399
us_000468774,0.968207, 0.645646
us_000498662,0.968207, 0.645646
us_000473887,0.968207, 0.645646
us_000500062,0.968207, 0.645902
us_000517229,0.968207, 0.645902
us_000463291,0.968207, 0.645902
us_000473337,0.968207, 0.645902
us_000497718,0.968207, 0.646167
us_000611843,0.968207, 0.646167
us_000535276,0.968207, 0.646167
us_000549944,0.968207, 0.646167
us_000533541,0.968207, 0.646167
us_000468693,0.968207, 0.647601
us_000547417,0.942964, 0.000000
us_000535988,0.942964, 0.000000
us_000463701,0.942964, 1.120264
us_000519844,0.942964, 1.313205
us_000466027,0.942964, 1.364391
us_000554089,0.942964, 1.421492
us_000467262,0.942964, 1.485193
us_000469854,0.942964, 1.511663
us_000471554,0.942964, 1.512004
us_000480565,0.942964, 1.512677
us_000462817,0.942964, 1.535746
us_000468968,0.942964, 1.552098
us_000469248,0.942964, 1.591394
us_000471534,0.942964, 1.612614
us_000469491,0.942964, 1.629602
us_000546728,0.905169, 0.000000
us_000539503,0.905169, 0.000000
pr_001892018,0.905169, 0.000000
pr_001773619,0.905169, 0.000000
pr_001787374,0.905169, 0.000000
pr_001891432,0.905169, 0.000000
us_000280299,0.905169, 0.916396
us_000012856,0.905169, 0.957611
us_000013507,0.905169, 1.131725
us_000554195,0.905169, 1.156728
us_000529911,0.905169, 1.196600
us_000519794,0.905169, 1.322831
us_000497648,0.905169, 1.346013
us_000469107,0.905169, 1.361186
us_000300352,0.905169, 1.372901
us_000296439,0.905169, 1.373197
us_000484495,0.905169, 1.435567
us_000472482,0.905169, 1.449647
us_000472118,0.905169, 1.456075
us_000473916,0.905169, 1.458196
us_000471894,0.905169, 1.464792
us_000501307,0.905169, 1.470856
us_000478445,0.905169, 1.476373
us_000506282,0.905169, 1.485404
us_000466831,0.905169, 1.485979
us_000022713,0.905169, 1.522879
us_000426466,0.905169, 1.524853
us_000107482,0.905169, 1.536232
us_000521825,0.905169, 1.536739
us_000501553,0.905169, 1.549692
us_000493375,0.905169, 1.550795
us_000557080,0.905169, 1.553958
us_000513627,0.905169, 1.557913
us_000494478,0.905169, 1.564699
us_000444611,0.905169, 1.587164
us_000467345,0.905169, 1.591710
us_000355547,0.905169, 1.596551
us_000232499,0.905169, 1.596613
us_000472083,0.905169, 1.603140
us_000504143,0.905169, 1.610733
us_000527884,0.905169, 1.612954
us_000232458,0.905169, 1.614371
us_000347003,0.905169, 1.614392
us_000498463,0.905169, 1.618664
us_000472411,0.905169, 1.640933
us_000112543,0.905169, 1.643959
us_000465321,0.905169, 1.652017
us_000296784,0.905169, 1.653254
us_000488897,0.905169, 1.664055
us_000478407,0.905169, 1.702047
us_000472074,0.905169, 1.703437
us_000479838,0.905169, 1.708996
us_000468971,0.905169, 1.727351
pr_000195780,0.894155, 0.000000
pr_001141797,0.894155, 0.000000
pr_000005695,0.894155, 0.000000
pr_000821400,0.894155, 0.000003
pr_001954405,0.894155, 0.000005
pr_002194657,0.894155, 0.000005
pr_001955329,0.894155, 0.000031
pr_001082350,0.894155, 0.000038
pr_000868117,0.894155, 0.000178
us_000539741,0.894155, 0.000433
us_000487223,0.894155, 0.001993
us_000565111,0.894155, 0.006251
us_000561618,0.894155, 0.015073
us_000536331,0.894155, 0.377924
us_000484507,0.894155, 1.739734
us_000542861,0.894155, 1.960187
us_000544974,0.751635, 0.000039
us_000527868,0.751635, 0.000192
us_000480710,0.751635, 0.000462
us_000487043,0.751635, 0.000462
us_000504552,0.751635, 0.802943
us_000460016,0.751635, 0.845326
us_000472390,0.751635, 0.976161
us_000469960,0.751635, 0.980173
us_000461195,0.751635, 0.982496
us_000475825,0.751635, 1.025841
us_000469162,0.751635, 1.071664
us_000040613,0.751635, 1.073288
us_000478779,0.751635, 1.088761
us_000476393,0.751635, 1.089588
us_000530326,0.751635, 1.100529
us_000475202,0.751635, 1.113564
us_000524090,0.751635, 1.130352
us_000545636,0.751635, 1.147558
us_000498188,0.751635, 1.147917
us_000197128,0.751635, 1.164083
us_000328840,0.751635, 1.165694
us_000487823,0.751635, 1.168570
us_000478244,0.751635, 1.191260
us_000479625,0.751635, 1.199137
us_000500874,0.751635, 1.211405
us_000501909,0.751635, 1.216125
us_000473015,0.751635, 1.219248
us_000487359,0.751635, 1.223868
us_000460810,0.751635, 1.226186
us_000202089,0.751635, 1.226883
us_000545377,0.751635, 1.227505
us_000545483,0.751635, 1.227524
us_000516789,0.751635, 1.233095
us_000503009,0.751635, 1.239463
us_000530234,0.751635, 1.254966
us_000397133,0.751635, 1.260920
us_000516727,0.751635, 1.264604
us_000466578,0.751635, 1.268528
us_000395690,0.751635, 1.271937
us_000515239,0.751635, 1.316120
us_000481750,0.751635, 1.321288
us_000502320,0.751635, 1.329685
us_000469892,0.751635, 1.361108
us_000548125,0.745809, 0.000000
us_000580604,0.745809, 0.000000
us_000531480,0.745809, 0.000019
us_000579827,0.745809, 0.000024
us_000595971,0.745809, 0.000024
us_000585986,0.745809, 0.001519
us_000476857,0.745809, 0.660420
us_000491326,0.745809, 0.762192
us_000472271,0.745809, 0.768916
us_000461629,0.745809, 0.786107
us_000459022,0.745809, 0.797189
us_000475662,0.745809, 0.804811
us_000485562,0.745809, 0.819145
us_000506070,0.745809, 0.835690
us_000508275,0.745809, 0.838750
us_000485770,0.745809, 0.847213
us_000468966,0.745809, 0.870881
us_000479850,0.745809, 0.895255
us_000487304,0.745809, 0.910561
us_000516889,0.600811, 0.000000
us_000505538,0.600811, 0.000000
us_000548763,0.600811, 0.000000
us_000548684,0.600811, 0.000000
us_000530883,0.600811, 0.000000
us_000483417,0.600811, 0.000427
us_000468375,0.600811, 0.640392
us_000475809,0.600811, 0.695677
us_000458506,0.600811, 0.764838
us_000475451,0.600811, 0.790226
us_000195817,0.600811, 0.801313
us_000237348,0.600811, 0.829326
us_000467258,0.600811, 0.853754
us_000019407,0.600811, 0.856574
us_000460007,0.600811, 0.863810
us_000471944,0.600811, 0.867745
us_000471822,0.600811, 0.871607
us_000454538,0.600811, 0.878101
us_000473005,0.600811, 0.899799
us_000515890,0.600811, 0.904435
us_000463527,0.600811, 0.904988
us_000397468,0.600811, 0.905459
us_000486041,0.600811, 0.905901
us_000473645,0.600811, 0.908485
us_000478291,0.600811, 0.910125
us_000480077,0.600811, 0.913068
us_000516548,0.600811, 0.917211
us_000478286,0.600811, 0.919191
us_000510605,0.600811, 0.920709
us_000465516,0.600811, 0.921148
us_000478919,0.600811, 0.923399
us_000474403,0.600811, 0.928063
us_000492377,0.600811, 0.930348
us_000504787,0.600811, 0.932822
us_000482353,0.600811, 0.940658
us_000471776,0.600811, 0.942244
us_000470734,0.600811, 0.942599
us_000467833,0.600811, 0.947289
us_000474160,0.600811, 1.389878
us_000452134,0.599356, 0.000087
pr_001389568,0.599356, 0.000100
us_000145338,0.599356, 0.000101
us_000556647,0.599356, 0.000760
pr_000590851,0.588681, 0.000000
pr_001971568,0.588681, 0.000000
pr_002141380,0.588681, 0.000000
pr_000894691,0.588681, 0.000001
pr_001765945,0.588681, 0.000003
pr_001049811,0.588681, 0.000003
pr_000572694,0.588681, 0.000003
pr_001604435,0.588681, 0.000004
pr_001896143,0.588681, 0.000004
pr_002126789,0.588681, 0.000007
pr_001101264,0.588681, 0.000015
pr_000585846,0.588681, 0.000103
pr_000586351,0.588681, 0.000138
us_000576981,0.588681, 0.002055
us_000475413,0.588681, 0.012288
us_000557634,0.588681, 0.050747
us_000433420,0.588681, 0.236406
us_000557197,0.588681, 0.324329
us_000562732,0.588681, 0.338842
us_000505778,0.588681, 0.344500
us_000513333,0.588681, 0.348052
us_000471956,0.588681, 0.351893
us_000045621,0.588681, 0.357302
us_000569749,0.588681, 0.367340
us_000517020,0.588681, 0.368455
us_000471153,0.588681, 0.379475
us_000525805,0.588681, 0.380193
us_000473151,0.588681, 0.382494
us_000464348,0.588681, 0.386567
us_000483605,0.588681, 0.389237
us_000470791,0.588681, 0.391463
us_000483265,0.588681, 0.396875
us_000507220,0.588681, 0.398742
us_000613083,0.588681, 0.403079
us_000558268,0.588681, 0.418273
us_000465999,0.588681, 0.429594
us_000471495,0.588681, 0.432270
us_000504102,0.588681, 0.435962
us_000483983,0.588681, 0.439689
us_000492526,0.588681, 0.442925
us_000510755,0.588681, 0.443356
us_000475045,0.588681, 0.446219
us_000557659,0.588681, 0.450183
us_000486131,0.588681, 0.453268
us_000534917,0.588681, 0.462005
us_000507205,0.588681, 0.468628
us_000569846,0.588681, 0.504350
us_000155943,0.588681, 0.551905
us_000469240,0.588681, 0.579007
us_000246229,0.588681, 0.593221
pr_000387903,0.510176, 0.000000
pr_001005348,0.510176, 0.000000
pr_000387786,0.510176, 0.000000
pr_001146924,0.510176, 0.000000
pr_000565225,0.510176, 0.000000
pr_001157503,0.510176, 0.000000
pr_000372723,0.510176, 0.000000
pr_000813688,0.510176, 0.000073
us_000525696,0.510176, 0.152809
us_000527276,0.510176, 0.153070
us_000458728,0.510176, 0.153070
us_000461330,0.510176, 0.153070
us_000473130,0.510176, 0.153070
us_000527572,0.510176, 0.153070
us_000551037,0.510176, 0.153070
us_000497040,0.510176, 0.153070
us_000522538,0.510176, 0.153070
us_000522543,0.510176, 0.153070
us_000527269,0.510176, 0.153070
us_000556809,0.510176, 0.153070
us_000588376,0.510176, 0.154646
us_000466727,0.510176, 0.154646
us_000500812,0.510176, 0.154646
us_000600373,0.510176, 0.154646
us_000466697,0.510176, 0.154646
us_000493565,0.510176, 0.154646
us_000588400,0.510176, 0.154646
us_000029453,0.510176, 0.154646
us_000096410,0.510176, 0.154646
us_000464060,0.510176, 0.154646
us_000466721,0.510176, 0.154646
us_000461087,0.510176, 0.154646
us_000505676,0.510176, 0.154646
us_000500530,0.510176, 0.154646
us_000461142,0.510176, 0.154646
us_000594587,0.510176, 0.154646
us_000485559,0.510176, 0.154646
us_000471204,0.510176, 0.154646
us_000468394,0.510176, 0.154646
us_000558267,0.510176, 0.154904
us_000466513,0.510176, 0.154984
us_000518183,0.510176, 0.155954
us_000525591,0.510176, 0.155954
us_000460402,0.510176, 0.156231
us_000461212,0.510176, 0.156231
us_000462457,0.510176, 0.156231
us_000514450,0.510176, 0.156231
us_000481234,0.510176, 0.156231
us_000614321,0.510176, 0.156231
us_000202243,0.510176, 0.156231
us_000573978,0.510176, 0.156231
us_000586248,0.510176, 0.156231
us_000498376,0.510176, 0.156231
us_000464208,0.510176, 0.156231
us_000481223,0.510176, 0.156231
us_000499396,0.510176, 0.156231
us_000119631,0.510176, 0.156231
us_000468263,0.510176, 0.156231
us_000601549,0.510176, 0.156231
us_000593439,0.510176, 0.156231
us_000608219,0.510176, 0.156231
us_000499251,0.510176, 0.156231
us_000475904,0.510176, 0.156231
us_000196507,0.510176, 0.156231
us_000528140,0.510176, 0.156231
us_000532566,0.510176, 0.156231
us_000461228,0.510176, 0.156231
us_000603322,0.510176, 0.156231
us_000550957,0.510176, 0.156231
us_000462852,0.510176, 0.156231
us_000505436,0.510176, 0.156231
us_000592859,0.510176, 0.156231
us_000505188,0.510176, 0.156231
us_000462841,0.510176, 0.156231
us_000501405,0.510176, 0.156231
us_000486310,0.510176, 0.156231
us_000587513,0.510176, 0.156389
us_000591332,0.510176, 0.156731
us_000610657,0.510176, 0.157707
us_000572653,0.510176, 0.157824
us_000586274,0.510176, 0.157824
us_000461647,0.510176, 0.157824
us_000557024,0.510176, 0.157824
us_000570125,0.510176, 0.157824
us_000608510,0.510176, 0.157824
us_000536539,0.510176, 0.157824
us_000530007,0.510176, 0.157824
us_000474473,0.510176, 0.157824
us_000506714,0.510176, 0.157824
us_000573915,0.510176, 0.157824
us_000536180,0.510176, 0.157824
us_000519561,0.510176, 0.157824
us_000538453,0.510176, 0.157824
us_000486395,0.510176, 0.157824
us_000561118,0.510176, 0.157824
us_000511641,0.510176, 0.157824
us_000489392,0.510176, 0.157824
us_000538456,0.510176, 0.157824
us_000498122,0.510176, 0.157824
us_000495804,0.510176, 0.157824
us_000492611,0.510176, 0.157824
us_000509976,0.510176, 0.157824
us_000486692,0.510176, 0.157824
us_000463416,0.510176, 0.157824
us_000468339,0.510176, 0.157824
us_000480724,0.510176, 0.157824
us_000533795,0.510176, 0.157824
us_000462096,0.510176, 0.157824
us_000614517,0.510176, 0.157824
us_000517436,0.510176, 0.157824
us_000109014,0.510176, 0.157824
us_000562587,0.510176, 0.157824
us_000594009,0.510176, 0.157824
us_000473321,0.510176, 0.157824
us_000578809,0.510176, 0.157824
us_000506668,0.510176, 0.157824
us_000499365,0.510176, 0.157824
us_000462393,0.510176, 0.157824
us_000468284,0.510176, 0.157824
us_000561452,0.510176, 0.157824
us_000514054,0.510176, 0.157824
us_000607462,0.510176, 0.157824
us_000482402,0.510176, 0.157824
us_000603730,0.510176, 0.157824
us_000519960,0.510176, 0.157824
us_000509977,0.510176, 0.157824
us_000526761,0.510176, 0.157824
us_000485735,0.510176, 0.157824
us_000580870,0.510176, 0.157824
us_000461925,0.510176, 0.157824
us_000544140,0.510176, 0.157824
us_000567018,0.510176, 0.157824
us_000551858,0.510176, 0.157824
us_000537194,0.510176, 0.157824
us_000561799,0.510176, 0.157824
us_000464634,0.510176, 0.157824
us_000498074,0.510176, 0.157824
us_000573905,0.510176, 0.157824
us_000576661,0.510176, 0.157824
us_000469559,0.510176, 0.157824
us_000608265,0.510176, 0.157824
us_000511640,0.510176, 0.157824
us_000468734,0.510176, 0.157824
us_000468731,0.510176, 0.157824
us_000088278,0.510176, 0.157824
us_000468270,0.510176, 0.157824
us_000517781,0.510176, 0.157824
us_000544082,0.510176, 0.157824
us_000476000,0.510176, 0.157824
us_000584568,0.510176, 0.157824
us_000506148,0.510176, 0.157824
us_000586275,0.510176, 0.157824
us_000463321,0.510176, 0.157824
us_000493751,0.510176, 0.157824
us_000463256,0.510176, 0.157824
us_000504341,0.510176, 0.157824
us_000603719,0.510176, 0.157824
us_000469953,0.510176, 0.157824
us_000610137,0.510176, 0.157824
us_000576659,0.510176, 0.157824
us_000458749,0.510176, 0.157824
us_000537151,0.510176, 0.157824
us_000590264,0.510176, 0.157824
us_000462343,0.510176, 0.157824
us_000517733,0.510176, 0.157824
us_000461746,0.510176, 0.157824
us_000495216,0.510176, 0.157824
us_000520718,0.510176, 0.157824
us_000487112,0.510176, 0.157824
us_000497503,0.510176, 0.157824
us_000476088,0.510176, 0.157824
us_000517144,0.510176, 0.157824
us_000615109,0.510176, 0.157824
us_000578873,0.510176, 0.157824
us_000561164,0.510176, 0.157824
us_000520422,0.510176, 0.157824
us_000486895,0.510176, 0.157824
us_000506642,0.510176, 0.157824
us_000562229,0.510176, 0.157824
us_000517808,0.510176, 0.157824
us_000614934,0.510176, 0.157824
us_000486373,0.510176, 0.157824
us_000516719,0.510176, 0.157824
us_000529360,0.510176, 0.157887
us_000537158,0.510176, 0.157887
us_000562170,0.510176, 0.157887
us_000505480,0.510176, 0.157887
us_000540160,0.510176, 0.157887
us_000530375,0.510176, 0.157887
us_000215760,0.510176, 0.157941
us_000474136,0.510176, 0.157955
us_000540177,0.510176, 0.157976
us_000529271,0.510176, 0.157976
us_000591733,0.510176, 0.157982
us_000570690,0.510176, 0.158228
us_000609366,0.510176, 0.158228
us_000521991,0.510176, 0.159015
us_000560875,0.510176, 0.159132
us_000529198,0.510176, 0.159132
us_000537180,0.510176, 0.159132
us_000591440,0.510176, 0.159132
us_000500482,0.510176, 0.159132
us_000601252,0.510176, 0.159151
us_000604181,0.510176, 0.159269
us_000568899,0.510176, 0.159300
us_000463509,0.510176, 0.159425
us_000530136,0.510176, 0.159658
us_000578616,0.510176, 0.159706
us_000476516,0.510176, 0.160895
us_000459128,0.510176, 0.161025
us_000515409,0.510176, 0.162203
us_000583615,0.510176, 0.162652
us_000511699,0.510176, 0.162652
us_000300434,0.510176, 0.162652
us_000517485,0.510176, 0.162652
us_000585286,0.510176, 0.164277
us_000502368,0.510176, 0.164277
us_000495835,0.510176, 0.164277
us_000458631,0.510176, 0.164277
pr_001151265,0.510176, 0.165512
us_000537295,0.510176, 0.165911
us_000615190,0.510176, 0.165974
us_000537305,0.510176, 0.167219
us_000520484,0.510176, 0.167553
us_000537913,0.510176, 0.167553
us_000467677,0.510176, 0.167553
us_000557339,0.510176, 0.167553
us_000557300,0.510176, 0.167553
