Product ID : 2129 JPs covered : 291 : Healthcare Business, 
pr_000170110,0.909491, 0.001112
pr_001687430,0.909491, 0.001518
pr_001658032,0.909491, 0.001624
us_000464767,0.909491, 0.013400
us_000488485,0.909491, 1.108380
us_000516597,0.909491, 1.308005
us_000217019,0.909491, 1.402696
us_000482601,0.909491, 1.661724
us_000516367,0.909491, 1.789856
us_000468596,0.909491, 1.959848
us_000501637,0.909491, 2.229444
us_000548893,0.909491, 2.252475
us_000486265,0.909491, 2.264685
us_000581698,0.909491, 2.431772
us_000469453,0.909491, 2.444049
us_000495294,0.909491, 2.453921
us_000565889,0.909491, 2.467686
us_000477865,0.909491, 2.489479
us_000194274,0.909491, 2.501434
us_000495376,0.909491, 2.642992
us_000472441,0.909491, 2.646743
us_000496574,0.909491, 2.670195
us_000469603,0.909491, 2.691877
us_000502599,0.909491, 2.739452
us_000513675,0.909491, 2.786381
us_000514490,0.909491, 2.806206
us_000306644,0.909491, 3.243540
us_000458492,0.909491, 8.278189
pr_000787631,0.423468, 0.000045
us_000472317,0.423468, 0.115513
us_000079318,0.423468, 0.142687
us_000471578,0.423468, 0.171127
us_000538401,0.423468, 0.181787
us_000269593,0.423468, 0.199064
us_000523888,0.423468, 0.203981
us_000488470,0.423468, 0.207761
us_000462839,0.423468, 0.210710
us_000545317,0.423468, 0.211559
us_000270178,0.423468, 0.213035
us_000476468,0.423468, 0.218026
us_000510705,0.423468, 0.220210
us_000504859,0.423468, 0.221283
us_000512516,0.423468, 0.221958
us_000476455,0.423468, 0.222826
us_000475257,0.423468, 0.223008
us_000475249,0.423468, 0.231894
us_000244450,0.423468, 0.232095
us_000495127,0.423468, 0.233252
us_000497141,0.423468, 0.233437
us_000464738,0.423468, 0.233445
us_000480120,0.423468, 0.234140
us_000485564,0.423468, 0.239445
us_000485518,0.423468, 0.240568
us_000481689,0.423468, 0.242462
us_000582254,0.423468, 0.243009
us_000509241,0.423468, 0.244709
us_000511159,0.423468, 0.246245
us_000532652,0.423468, 0.247452
us_000478664,0.423468, 0.248029
us_000533746,0.423468, 0.249026
us_000121410,0.423468, 0.253802
us_000543654,0.423468, 0.255262
us_000477931,0.423468, 0.255864
us_000504760,0.423468, 0.255907
us_000473011,0.423468, 0.256305
us_000506188,0.423468, 0.258883
us_000552679,0.423468, 0.259691
us_000470039,0.423468, 0.260023
us_000496799,0.423468, 0.260718
us_000121710,0.423468, 0.261253
us_000504650,0.423468, 0.261714
us_000502845,0.423468, 0.262299
us_000540454,0.423468, 0.262529
us_000515923,0.423468, 0.262955
us_000553527,0.423468, 0.263546
us_000501111,0.423468, 0.263728
us_000478506,0.423468, 0.265167
us_000503741,0.423468, 0.265910
us_000498314,0.423468, 0.266778
us_000488428,0.423468, 0.268117
us_000481646,0.423468, 0.273312
us_000477893,0.423468, 0.273526
us_000525371,0.423468, 0.274533
us_000525375,0.423468, 0.276409
us_000473019,0.423468, 0.277455
us_000473917,0.423468, 0.278292
us_000504737,0.423468, 0.278863
us_000505961,0.423468, 0.278863
us_000525320,0.423468, 0.279679
us_000490753,0.423468, 0.283121
us_000496589,0.423468, 0.284565
us_000530018,0.423468, 0.284902
us_000489532,0.423468, 0.284902
us_000596925,0.423468, 0.284947
us_000485479,0.423468, 0.285329
us_000582482,0.423468, 0.286567
us_000514133,0.423468, 0.287849
us_000504687,0.423468, 0.288460
us_000556971,0.423468, 0.289078
us_000536440,0.423468, 0.289380
us_000523456,0.423468, 0.289652
us_000509404,0.423468, 0.290206
us_000514110,0.423468, 0.290765
us_000541795,0.423468, 0.290922
us_000521268,0.423468, 0.293389
us_000477986,0.423468, 0.293389
us_000483290,0.423468, 0.293813
us_000491789,0.423468, 0.294992
us_000575804,0.423468, 0.296178
us_000471850,0.423468, 0.296759
us_000523078,0.423468, 0.301358
us_000504826,0.423468, 0.301943
us_000471852,0.423468, 0.302099
us_000495271,0.423468, 0.302729
us_000512329,0.423468, 0.302833
us_000521327,0.423468, 0.303783
us_000514122,0.423468, 0.305152
us_000473581,0.423468, 0.306653
us_000480829,0.423468, 0.307909
us_000484985,0.423468, 0.309254
us_000519900,0.423468, 0.309588
us_000483926,0.423468, 0.309840
us_000471857,0.423468, 0.310483
us_000466314,0.423468, 0.310483
us_000518483,0.423468, 0.312888
us_000493098,0.423468, 0.313018
us_000495653,0.423468, 0.313293
us_000485651,0.423468, 0.313976
us_000538236,0.423468, 0.314184
us_000500592,0.423468, 0.314970
us_000489919,0.423468, 0.315159
us_000487154,0.423468, 0.315169
us_000437409,0.423468, 0.316249
us_000481458,0.423468, 0.316358
us_000482300,0.423468, 0.316631
us_000546013,0.423468, 0.316685
us_000537098,0.423468, 0.317035
us_000469141,0.423468, 0.317035
us_000529006,0.423468, 0.317591
us_000540458,0.423468, 0.318072
us_000463382,0.423468, 0.318145
us_000553944,0.423468, 0.319658
us_000544402,0.423468, 0.320492
us_000554293,0.423468, 0.320668
us_000542494,0.423468, 0.320709
us_000527932,0.423468, 0.320815
us_000519630,0.423468, 0.321373
us_000529698,0.423468, 0.321523
us_000545470,0.423468, 0.321545
us_000057229,0.423468, 0.322515
us_000551783,0.423468, 0.322720
us_000551757,0.423468, 0.322720
us_000468248,0.423468, 0.323303
us_000479996,0.423468, 0.323578
us_000529023,0.423468, 0.323980
us_000540484,0.423468, 0.324603
us_000468780,0.423468, 0.324975
us_000488017,0.423468, 0.325041
us_000495260,0.423468, 0.326038
us_000469166,0.423468, 0.326555
us_000484546,0.423468, 0.326557
us_000555796,0.423468, 0.326633
us_000514293,0.423468, 0.327190
us_000485666,0.423468, 0.330432
us_000544187,0.423468, 0.330432
us_000493071,0.423468, 0.332007
us_000479445,0.423468, 0.332384
us_000537225,0.423468, 0.332384
us_000529213,0.423468, 0.333404
us_000473888,0.423468, 0.334055
us_000552554,0.423468, 0.334345
us_000555025,0.423468, 0.334345
us_000488802,0.423468, 0.334505
us_000530449,0.423468, 0.336316
us_000534720,0.423468, 0.336316
us_000529702,0.423468, 0.336316
us_000533564,0.423468, 0.336316
us_000525901,0.423468, 0.336316
us_000479303,0.423468, 0.342046
us_000517702,0.423468, 0.342241
us_000516859,0.423468, 0.342746
us_000517999,0.423468, 0.342746
us_000491993,0.423468, 0.342746
us_000515950,0.423468, 0.342746
us_000495203,0.423468, 0.342746
us_000582294,0.423468, 0.344497
us_000303652,0.423468, 0.345161
us_000488787,0.423468, 0.348020
us_000529672,0.423468, 0.350579
us_000592383,0.423468, 0.350928
us_000489059,0.423468, 0.350941
us_000480713,0.423468, 0.354492
us_000562270,0.423468, 0.355653
us_000528221,0.423468, 0.356123
us_000525457,0.423468, 0.357860
us_000282660,0.423468, 0.358209
us_000489324,0.423468, 0.360990
us_000559205,0.423468, 0.361079
us_000480417,0.423468, 0.361408
us_000495298,0.423468, 0.365938
us_000496588,0.423468, 0.366611
pr_001074672,0.423468, 0.367066
us_000490391,0.423468, 0.367538
us_000517701,0.423468, 0.371619
us_000525451,0.423468, 0.385732
us_000544354,0.423468, 0.394355
us_000484993,0.423468, 0.396175
us_000501686,0.423468, 0.426600
us_000526134,0.423468, 0.452362
us_000534859,0.423468, 0.464568
us_000396895,0.423468, 0.543261
us_000559391,0.423468, 0.562284
us_000590510,0.423468, 0.642505
us_000483363,0.423468, 0.654965
us_000309222,0.423468, 0.869611
us_000497545,0.423468, 0.931435
us_000582117,0.423468, 1.358607
us_000470007,0.371196, 0.302632
us_000387790,0.371196, 0.326326
us_000475316,0.371196, 0.336756
us_000477988,0.371196, 0.371814
us_000508474,0.371196, 0.395264
us_000475799,0.371196, 0.405083
us_000546086,0.371196, 0.409264
us_000335473,0.371196, 0.410384
us_000074707,0.371196, 0.413796
us_000493162,0.371196, 0.419042
us_000597165,0.371196, 0.427461
us_000445966,0.371196, 0.431958
us_000496284,0.371196, 0.432110
us_000553974,0.371196, 0.436511
us_000552418,0.371196, 0.448273
us_000513044,0.371196, 0.451697
us_000515115,0.371196, 0.471935
us_000559640,0.371196, 0.610835
us_000467308,0.195616, 0.000273
us_000467382,0.195616, 0.000273
us_000590274,0.195616, 0.746441
us_000500519,0.195616, 2.206436
us_000535970,0.195616, 2.262697
us_000580333,0.195616, 2.315945
us_000478085,0.195616, 2.422504
us_000581920,0.195616, 2.555549
us_000516024,0.195616, 2.587815
us_000535984,0.195616, 2.632328
us_000538082,0.195616, 2.671212
us_000614443,0.195616, 2.710948
us_000239257,0.195616, 2.880627
