Product ID : 1023 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000531559,1.000000, 0.000043
pr_000617774,1.000000, 0.000261
us_000521579,1.000000, 0.355297
us_000521788,1.000000, 2.008287
pr_000728726,0.848268, 0.000000
pr_000001129,0.848268, 0.000138
us_000317920,0.848268, 0.000941
pr_000193858,0.750355, 0.000000
us_000538540,0.750355, 0.005580
us_000101970,0.750355, 0.133461
us_000548388,0.750355, 0.215397
us_000048316,0.750355, 0.328617
us_000548523,0.750355, 0.376459
us_000524591,0.750355, 0.380185
us_000510314,0.750355, 0.384633
us_000472814,0.750355, 0.422536
us_000524636,0.750355, 0.433158
us_000501906,0.750355, 0.447496
us_000522793,0.750355, 0.472578
us_000556636,0.750355, 0.478483
us_000597810,0.750355, 0.496899
us_000562317,0.750355, 0.531164
us_000499868,0.750355, 0.532061
us_000531451,0.750355, 0.543759
us_000125175,0.750355, 0.549902
us_000595352,0.750355, 0.558542
us_000533094,0.750355, 0.560945
us_000521634,0.750355, 0.563164
us_000535039,0.750355, 0.572197
us_000249009,0.750355, 0.582737
us_000484411,0.750355, 0.591326
us_000461109,0.750355, 0.604985
us_000526586,0.750355, 0.605477
us_000532930,0.750355, 0.606857
us_000580224,0.750355, 0.610680
us_000557653,0.750355, 0.612321
us_000522286,0.750355, 0.614841
us_000512526,0.750355, 0.624348
us_000560261,0.750355, 0.624806
us_000472833,0.750355, 0.628877
us_000567012,0.750355, 0.630218
us_000549455,0.750355, 0.643592
us_000542988,0.750355, 0.643592
us_000247803,0.750355, 0.646489
us_000561922,0.750355, 0.648562
us_000569648,0.750355, 0.657275
us_000599000,0.750355, 0.657554
us_000460839,0.750355, 0.662413
us_000563152,0.750355, 0.665032
us_000217727,0.750355, 0.665382
us_000522981,0.750355, 0.666170
us_000474440,0.750355, 0.666697
us_000559376,0.750355, 0.667881
us_000497157,0.750355, 0.669777
us_000505635,0.750355, 0.670856
us_000461188,0.750355, 0.672669
us_000521562,0.750355, 0.676107
us_000547012,0.750355, 0.678326
us_000494403,0.750355, 0.678493
us_000471517,0.750355, 0.678497
us_000523459,0.750355, 0.678775
us_000554417,0.750355, 0.678865
us_000485512,0.750355, 0.680862
us_000548066,0.750355, 0.680948
us_000473027,0.750355, 0.681725
us_000533477,0.750355, 0.681879
us_000544147,0.750355, 0.686421
us_000548147,0.750355, 0.691968
us_000583831,0.750355, 0.696539
us_000595470,0.750355, 0.696539
us_000526467,0.750355, 0.696578
us_000586854,0.750355, 0.698419
us_000233561,0.750355, 0.699283
us_000557279,0.750355, 0.700140
us_000608940,0.750355, 0.701308
us_000470010,0.750355, 0.705002
us_000586661,0.750355, 0.705023
us_000587202,0.750355, 0.706228
us_000544688,0.750355, 0.708881
us_000479950,0.750355, 0.710527
us_000484919,0.750355, 0.716436
us_000563987,0.750355, 0.721218
us_000584962,0.750355, 0.721858
us_000568161,0.750355, 0.725248
us_000481212,0.750355, 0.727626
us_000479690,0.750355, 0.729951
us_000523242,0.750355, 0.732679
us_000467700,0.750355, 0.733128
us_000493424,0.750355, 0.733128
us_000493428,0.750355, 0.733128
us_000579996,0.750355, 0.733128
us_000534979,0.750355, 0.735423
us_000549458,0.750355, 0.738182
us_000600157,0.750355, 0.738182
us_000511471,0.750355, 0.738182
us_000241346,0.750355, 0.822891
us_000586310,0.750355, 0.825342
us_000531591,0.638325, 0.023144
us_000460156,0.638325, 0.143646
us_000458705,0.638325, 0.507684
us_000467868,0.638325, 0.587797
us_000478792,0.638325, 0.650324
us_000474694,0.638325, 0.772284
us_000474886,0.638325, 0.886182
us_000498963,0.638325, 0.886199
us_000521710,0.638325, 0.897151
us_000474632,0.638325, 0.968684
us_000502614,0.638325, 0.969509
us_000466608,0.638325, 0.983543
us_000438082,0.638325, 0.985000
us_000469344,0.638325, 0.993466
us_000526849,0.638325, 0.995556
us_000468613,0.638325, 1.024673
us_000502471,0.638325, 1.026554
us_000490881,0.638325, 1.027180
us_000502808,0.638325, 1.030281
us_000521709,0.638325, 1.046441
us_000463740,0.638325, 1.047458
us_000502639,0.638325, 1.047470
us_000503184,0.638325, 1.086635
us_000502858,0.638325, 1.135606
us_000559268,0.638325, 1.164609
us_000559264,0.638325, 1.167708
us_000488289,0.638325, 1.177342
us_000378221,0.638325, 1.191051
us_000431222,0.638325, 1.206206
us_000474907,0.638325, 1.292399
us_000460517,0.638325, 1.311872
us_000488339,0.638325, 1.322164
us_000434951,0.638325, 1.322528
us_000458712,0.638325, 1.322821
us_000463830,0.638325, 1.327225
us_000470413,0.638325, 1.329823
us_000474904,0.638325, 1.338907
us_000466715,0.638325, 1.343159
us_000502859,0.638325, 1.361219
us_000488353,0.638325, 1.373705
us_000469353,0.638325, 1.408428
us_000469445,0.638325, 1.410751
us_000533736,0.638325, 1.432327
us_000474730,0.638325, 1.432343
us_000493930,0.638325, 1.762308
us_000487510,0.620191, 0.372995
us_000402635,0.620191, 0.841334
us_000465346,0.586420, 0.000000
us_000499988,0.586420, 0.004653
us_000532628,0.586420, 0.103845
us_000589195,0.586420, 0.178058
us_000548390,0.586420, 0.185479
us_000581672,0.586420, 0.197245
us_000542059,0.586420, 0.202114
us_000610146,0.586420, 0.211161
us_000539345,0.586420, 0.211161
us_000609140,0.586420, 0.213472
us_000565642,0.586420, 0.213472
us_000488223,0.586420, 0.215468
us_000588459,0.586420, 0.218040
us_000574774,0.586420, 0.219810
us_000565645,0.586420, 0.219810
us_000598750,0.586420, 0.221761
us_000564170,0.586420, 0.221824
us_000598462,0.586420, 0.223401
us_000577120,0.586420, 0.223889
us_000538796,0.586420, 0.223889
us_000565646,0.586420, 0.223889
us_000570201,0.586420, 0.223893
us_000567602,0.586420, 0.224382
us_000557676,0.586420, 0.225330
us_000587723,0.586420, 0.225622
us_000607008,0.586420, 0.226032
us_000579720,0.586420, 0.226032
us_000567657,0.586420, 0.228296
us_000570202,0.586420, 0.229726
us_000323419,0.586420, 0.232901
us_000595337,0.586420, 0.233133
us_000588386,0.586420, 0.233474
us_000599772,0.586420, 0.234274
us_000599825,0.586420, 0.234274
us_000588959,0.586420, 0.235741
us_000595468,0.586420, 0.236207
us_000599826,0.586420, 0.236571
us_000598294,0.586420, 0.239215
us_000599283,0.586420, 0.239215
us_000615561,0.586420, 0.239654
us_000538888,0.586420, 0.241466
us_000584247,0.586420, 0.241466
us_000587862,0.586420, 0.241936
us_000578975,0.586420, 0.241936
us_000587870,0.586420, 0.241936
us_000576856,0.586420, 0.241936
us_000577968,0.586420, 0.241936
us_000588960,0.586420, 0.241936
us_000615417,0.586420, 0.241936
us_000575207,0.586420, 0.241936
us_000587327,0.586420, 0.243733
us_000599573,0.586420, 0.244232
us_000599591,0.586420, 0.244232
us_000599571,0.586420, 0.244232
us_000581613,0.586420, 0.244232
us_000581611,0.586420, 0.244232
us_000617158,0.586420, 0.246014
us_000599488,0.586420, 0.246014
us_000599530,0.586420, 0.246014
us_000587328,0.586420, 0.246014
us_000542583,0.586420, 0.246190
us_000546755,0.586420, 0.248311
us_000588679,0.586420, 0.248311
us_000616508,0.586420, 0.248311
us_000581432,0.586420, 0.248311
us_000581807,0.586420, 0.248311
us_000581587,0.586420, 0.248311
us_000575116,0.586420, 0.248311
us_000588606,0.586420, 0.248311
us_000563232,0.586420, 0.248311
us_000616835,0.586420, 0.248311
us_000617078,0.586420, 0.248311
us_000557875,0.586420, 0.248311
us_000565706,0.586420, 0.248311
us_000570200,0.586420, 0.248311
us_000581590,0.586420, 0.248311
us_000616815,0.586420, 0.248311
us_000599467,0.586420, 0.248311
us_000616836,0.586420, 0.248311
us_000588594,0.586420, 0.248311
us_000582383,0.586420, 0.248311
us_000596576,0.586420, 0.248311
us_000616869,0.586420, 0.248311
us_000616816,0.586420, 0.248311
us_000587452,0.586420, 0.248311
us_000616833,0.586420, 0.248311
us_000598655,0.586420, 0.248311
us_000488954,0.586420, 0.252585
us_000203730,0.501720, 0.027256
us_000536922,0.501720, 0.059929
us_000472803,0.501720, 0.059929
us_000486783,0.501720, 0.066101
us_000472922,0.501720, 0.075879
us_000488311,0.501720, 0.079096
us_000473866,0.501720, 0.081687
us_000485680,0.501720, 0.081687
us_000483354,0.501720, 0.083178
us_000461128,0.501720, 0.083178
us_000492484,0.501720, 0.083343
us_000481270,0.501720, 0.083473
us_000101211,0.501720, 0.083609
us_000473173,0.501720, 0.086204
