Product ID : 1018 # of JPs covered : 1 : 91 : ERISA, 
OID,Confidence at Map Node,Error at Map Node
us_000571749,1.000000, 4.173449
us_000485979,1.000000, 4.174452
us_000574589,1.000000, 4.193410
us_000536714,1.000000, 4.193867
us_000509553,1.000000, 4.216760
us_000492613,1.000000, 4.223629
us_000508603,1.000000, 4.235568
us_000535079,1.000000, 4.242445
us_000481676,1.000000, 4.266069
us_000482087,1.000000, 4.268953
us_000497291,1.000000, 4.280227
us_000524863,1.000000, 4.282317
us_000529557,1.000000, 4.302534
us_000485145,1.000000, 4.314041
us_000496418,1.000000, 4.323337
us_000531382,1.000000, 4.325530
us_000503749,1.000000, 4.326459
us_000510661,1.000000, 4.328773
us_000502785,1.000000, 4.334908
us_000568365,1.000000, 4.340239
us_000551065,1.000000, 4.341524
us_000515106,1.000000, 4.341758
us_000544560,1.000000, 4.342798
us_000493775,1.000000, 4.348592
us_000481688,1.000000, 4.354251
us_000459265,1.000000, 4.358736
us_000563000,1.000000, 4.362054
us_000578789,1.000000, 4.363271
us_000508596,1.000000, 4.364245
us_000615823,1.000000, 4.364650
us_000578774,1.000000, 4.388372
us_000078764,1.000000, 4.395759
us_000486230,1.000000, 4.421771
us_000513187,1.000000, 4.426984
us_000576009,1.000000, 4.462017
us_000617427,1.000000, 4.487911
us_000561335,1.000000, 4.496835
us_000529867,1.000000, 4.511272
us_000513090,1.000000, 4.513950
us_000477039,1.000000, 4.528553
us_000529960,1.000000, 4.541471
us_000501944,1.000000, 4.559408
us_000614129,1.000000, 4.567946
us_000537952,1.000000, 4.573243
us_000532557,1.000000, 4.574958
us_000561417,1.000000, 4.575294
us_000576019,1.000000, 4.585962
us_000499025,1.000000, 4.590856
us_000507512,1.000000, 4.593005
us_000479580,1.000000, 4.653302
us_000529610,1.000000, 4.667108
us_000520568,1.000000, 4.672982
us_000529880,1.000000, 4.680886
us_000493001,1.000000, 5.385852
us_000537958,1.000000, 5.574316
pr_000383133,0.999660, 0.000000
us_000544812,0.999660, 1.406701
us_000498639,0.999660, 2.611270
us_000550491,0.999660, 2.661560
us_000179555,0.999660, 2.668286
us_000588098,0.999660, 2.719491
us_000535278,0.999660, 2.806121
us_000474043,0.999660, 2.900356
us_000488184,0.999660, 3.032360
us_000538562,0.999660, 3.063539
us_000499848,0.999660, 3.067356
us_000528268,0.999660, 3.073292
us_000192552,0.999660, 3.112177
us_000590879,0.999660, 3.117926
us_000542674,0.999660, 3.163557
us_000598855,0.999660, 3.166799
us_000562359,0.999660, 3.177483
us_000500856,0.999660, 3.411452
pr_000876285,0.924378, 0.000001
us_000519723,0.924378, 0.000030
us_000512227,0.924378, 1.528989
us_000597275,0.924378, 1.930893
us_000550359,0.924378, 2.223825
us_000512344,0.924378, 2.228883
us_000503329,0.924378, 2.248921
us_000565567,0.924378, 2.521569
us_000494594,0.924378, 2.540042
us_000544337,0.924378, 2.657527
us_000544410,0.924378, 2.670082
us_000487817,0.924378, 2.696606
us_000499077,0.924378, 2.718136
us_000507445,0.924378, 2.744485
us_000567723,0.924378, 2.752868
us_000486501,0.924378, 2.827302
us_000318761,0.924378, 2.828845
us_000482156,0.924378, 2.854509
us_000535931,0.924378, 2.888224
us_000546314,0.924378, 2.888646
us_000582809,0.924378, 2.901968
us_000499941,0.924378, 2.909066
us_000465826,0.924378, 2.919895
us_000578835,0.924378, 2.936915
us_000469250,0.924378, 2.938211
us_000528262,0.924378, 2.968343
us_000544838,0.924378, 2.980640
us_000535086,0.924378, 3.016375
us_000522379,0.924378, 3.021714
us_000507681,0.924378, 3.024218
us_000301506,0.924378, 3.027775
us_000517604,0.924378, 3.040978
us_000483131,0.924378, 3.063603
us_000546305,0.924378, 3.082097
us_000546306,0.924378, 3.082097
us_000522386,0.924378, 3.112405
us_000522279,0.924378, 3.118709
us_000493331,0.924378, 3.120113
us_000577926,0.924378, 3.122569
us_000571294,0.924378, 3.139870
us_000545143,0.924378, 3.142789
us_000543499,0.924378, 3.169828
us_000596459,0.924378, 3.194859
us_000552576,0.924378, 3.195373
us_000598313,0.924378, 3.197713
us_000510802,0.924378, 3.207965
us_000510449,0.924378, 3.217732
us_000524560,0.924378, 3.229874
us_000481682,0.924378, 3.231433
us_000584993,0.924378, 3.233694
us_000568854,0.924378, 3.245923
us_000571674,0.924378, 3.253660
us_000487987,0.924378, 3.265141
us_000460158,0.924378, 3.266548
