Product ID : 2071 JPs covered : 403 : Tax Law-Foreign, 
OID,Confidence at Map Node,Error at Map Node
us_000596108,1.000000, 0.000000
us_000539738,1.000000, 0.000000
us_000597207,1.000000, 0.000000
us_000561151,1.000000, 0.000000
us_000554871,1.000000, 0.000000
pr_000585805,1.000000, 0.000098
pr_000133702,1.000000, 0.000112
pr_000184510,1.000000, 0.000125
pr_000594825,1.000000, 0.000182
pr_000101458,1.000000, 0.001905
pr_000083242,1.000000, 0.002184
us_000571039,1.000000, 0.002627
us_000509532,1.000000, 0.004697
us_000526839,1.000000, 0.006463
us_000543058,1.000000, 0.025804
us_000495292,1.000000, 4.614023
us_000459150,1.000000, 8.231779
pr_000873733,0.466563, 0.000000
pr_000111239,0.466563, 0.000000
pr_001661811,0.466563, 0.000000
pr_000348462,0.466563, 0.000000
us_000487989,0.466563, 0.000000
us_000481532,0.466563, 0.000000
us_000485040,0.466563, 0.000000
us_000309837,0.466563, 0.000000
us_000512263,0.466563, 0.000005
us_000537179,0.466563, 0.000006
pr_001037213,0.466563, 0.000010
us_000572015,0.466563, 0.000017
pr_001791220,0.466563, 0.000041
pr_001785966,0.466563, 0.000041
us_000595018,0.466563, 0.000072
us_000464136,0.466563, 0.000112
us_000573380,0.466563, 0.000418
us_000578439,0.466563, 0.000632
us_000487956,0.466563, 0.020095
us_000532878,0.466563, 0.166997
us_000488909,0.466563, 0.251005
us_000481296,0.205953, 0.000000
pr_000639260,0.205953, 0.000000
pr_000925287,0.205953, 0.000000
pr_000443157,0.205953, 0.000001
pr_000843086,0.205953, 0.000002
us_000481602,0.205953, 0.000002
us_000608882,0.205953, 0.000014
us_000469699,0.205953, 0.000047
pr_000726610,0.205953, 0.000094
us_000493325,0.205953, 0.000144
pr_000903851,0.205953, 0.000144
pr_000640146,0.205953, 0.000169
us_000487289,0.205953, 0.000355
us_000591444,0.205953, 0.030864
us_000614940,0.205953, 0.031810
us_000530669,0.205953, 0.031841
us_000614496,0.205953, 0.031895
us_000502245,0.205953, 0.040279
us_000513747,0.205953, 0.044444
us_000592357,0.205953, 0.047694
us_000594495,0.205953, 0.059972
us_000609077,0.205953, 0.322540
