Product ID : 7753 # of JPs covered : 2 : 97 : Healthcare, 303 : Health Business M&A, 
OID,Confidence at Map Node,Error at Map Node
us_000554413,0.802050,0.037440
us_000587236,0.802050,0.037505
us_000505911,0.802050,0.037654
us_000505929,0.802050,0.037655
us_000587027,0.802050,0.037680
us_000587145,0.802050,0.037698
us_000590463,0.802050,0.037750
us_000553779,0.802050,0.037753
us_000590380,0.802050,0.037771
us_000554098,0.802050,0.037776
us_000591360,0.802050,0.037784
us_000554378,0.802050,0.037795
us_000591185,0.802050,0.037802
us_000591053,0.802050,0.037857
us_000536554,0.802050,0.037912
us_000587263,0.802050,0.037973
us_000518379,0.802050,0.038027
us_000587266,0.802050,0.038100
us_000505127,0.802050,0.038252
us_000505425,0.802050,0.038410
us_000587264,0.802050,0.038753
us_000505212,0.802050,0.039291
us_000516483,0.802050,0.040284
us_000537851,0.802050,0.041686
us_000593197,0.802050,0.044595
us_000504190,0.802050,0.080102
us_000551860,0.802050,0.130044
us_000527272,0.802050,0.303856
us_000586810,0.802050,0.306856
us_000592712,0.802050,0.441762
us_000572778,0.802050,0.467124
us_000516784,0.793226,0.165659
us_000516813,0.793226,0.184596
us_000516686,0.793226,0.190557
us_000516710,0.793226,0.270444
us_000550022,0.793226,0.393949
us_000621272,0.793226,0.414275
us_000550002,0.793226,1.356521
us_000588855,0.786630,0.022993
us_000555601,0.786630,0.023173
us_000590936,0.786630,0.023371
us_000616331,0.786630,0.023514
us_000591393,0.786630,0.023793
us_000615191,0.786630,0.023878
us_000614748,0.786630,0.024003
us_000599057,0.786630,0.024096
us_000612217,0.786630,0.024401
us_000616183,0.786630,0.024404
us_000616167,0.786630,0.024483
us_000613518,0.786630,0.024675
us_000557006,0.786630,0.024743
us_000616103,0.786630,0.024746
us_000616102,0.786630,0.024746
us_000616100,0.786630,0.024748
us_000615887,0.786630,0.024814
us_000537140,0.786630,0.024844
us_000616425,0.786630,0.024844
us_000616424,0.786630,0.024844
us_000469500,0.786630,0.024938
us_000515657,0.786630,0.024959
us_000540022,0.786630,0.024967
us_000580313,0.786630,0.025051
us_000616101,0.786630,0.025126
us_000479430,0.786630,0.025462
us_000556761,0.786630,0.025480
us_000556592,0.786630,0.025492
us_000567674,0.786630,0.025696
us_000616105,0.786630,0.025926
us_000591955,0.786630,0.025936
us_000615032,0.786630,0.025972
us_000502245,0.786630,0.025990
us_000506062,0.786630,0.026018
us_000600440,0.786630,0.026066
us_000582213,0.786630,0.026070
us_000585289,0.786630,0.026148
us_000510847,0.786630,0.026315
us_000613064,0.786630,0.026489
us_000566461,0.786630,0.026533
us_000589984,0.786630,0.026588
us_000600065,0.786630,0.026648
us_000614447,0.786630,0.026667
us_000532089,0.786630,0.026738
us_000515655,0.786630,0.026832
us_000614372,0.786630,0.026855
us_000588442,0.786630,0.026937
us_000599755,0.786630,0.026943
us_000549553,0.786630,0.027078
us_000488585,0.786630,0.027239
us_000512069,0.786630,0.027451
us_000556535,0.786630,0.027463
us_000584317,0.786630,0.027592
us_000586789,0.786630,0.027711
us_000612183,0.786630,0.027855
us_000612161,0.786630,0.027861
us_000612163,0.786630,0.027880
us_000535483,0.786630,0.027880
us_000587522,0.786630,0.027920
us_000612692,0.786630,0.027945
us_000612680,0.786630,0.027946
us_000475167,0.786630,0.027946
us_000475373,0.786630,0.028175
us_000459248,0.786630,0.028222
us_000527375,0.786630,0.028264
us_000475358,0.786630,0.028468
us_000479177,0.786630,0.028475
us_000513231,0.786630,0.028492
us_000082388,0.786630,0.028536
us_000577185,0.786630,0.028546
us_000581825,0.786630,0.028550
us_000612251,0.786630,0.028660
us_000480507,0.786630,0.028674
us_000550120,0.786630,0.028710
us_000480494,0.786630,0.028746
us_000595270,0.786630,0.028753
us_000595260,0.786630,0.028792
us_000613517,0.786630,0.028816
us_000475377,0.786630,0.028841
us_000474405,0.786630,0.028976
us_000475328,0.786630,0.029005
us_000595335,0.786630,0.029073
us_000497660,0.786630,0.029154
us_000544976,0.786630,0.029165
us_000585803,0.786630,0.029176
us_000479156,0.786630,0.029204
us_000590263,0.786630,0.029220
us_000498035,0.786630,0.029254
us_000501787,0.786630,0.029273
us_000556080,0.786630,0.029384
us_000582136,0.786630,0.029390
us_000579853,0.786630,0.029394
us_000074707,0.786630,0.029581
us_000539515,0.786630,0.029603
us_000595275,0.786630,0.029668
us_000612162,0.786630,0.029818
us_000493220,0.786630,0.029833
us_000471883,0.786630,0.029869
us_000599952,0.786630,0.029880
us_000471873,0.786630,0.029926
us_000524589,0.786630,0.029931
us_000598779,0.786630,0.029934
us_000579455,0.786630,0.029939
us_000599742,0.786630,0.029949
us_000551040,0.786630,0.029954
us_000601000,0.786630,0.030114
us_000481540,0.786630,0.030174
us_000481927,0.786630,0.030195
us_000537269,0.786630,0.030199
us_000580401,0.786630,0.030213
us_000580395,0.786630,0.030213
us_000481551,0.786630,0.030432
us_000599422,0.786630,0.030505
us_000484031,0.786630,0.030517
us_000599392,0.786630,0.030535
us_000579965,0.786630,0.030642
us_000488620,0.786630,0.030687
us_000559695,0.786630,0.030711
us_000517364,0.786630,0.030802
us_000473581,0.786630,0.030823
us_000599714,0.786630,0.030848
us_000579947,0.786630,0.030893
us_000559043,0.786630,0.030905
us_000557696,0.786630,0.030921
us_000562019,0.786630,0.030936
us_000484744,0.786630,0.030969
us_000516769,0.786630,0.031071
us_000598481,0.786630,0.031144
us_000598537,0.786630,0.031149
us_000474346,0.786630,0.031161
us_000596403,0.786630,0.031165
us_000577192,0.786630,0.031180
us_000582243,0.786630,0.031186
us_000598373,0.786630,0.031201
us_000598372,0.786630,0.031201
us_000598369,0.786630,0.031201
us_000598438,0.786630,0.031207
us_000593751,0.786630,0.031211
us_000598423,0.786630,0.031214
us_000561938,0.786630,0.031237
us_000504634,0.786630,0.031253
us_000487076,0.786630,0.031260
us_000502474,0.786630,0.031276
us_000596556,0.786630,0.031291
us_000596077,0.786630,0.031291
us_000505796,0.786630,0.031343
us_000596147,0.786630,0.031349
us_000596133,0.786630,0.031350
