Product ID : 1046 JPs covered : 226 : Healthcare Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000293366,0.346067, 0.029352
us_000463693,0.346067, 0.045519
us_000495287,0.346067, 0.094476
us_000470144,0.346067, 0.095280
us_000507923,0.346067, 0.098217
us_000503372,0.346067, 0.099299
us_000490190,0.346067, 0.100628
us_000481781,0.346067, 0.101235
us_000543108,0.346067, 0.101922
us_000498164,0.346067, 0.102293
us_000490326,0.346067, 0.102578
us_000541843,0.346067, 0.104222
us_000487794,0.346067, 0.105091
us_000472087,0.346067, 0.105770
us_000464480,0.346067, 0.105817
us_000515652,0.346067, 0.106063
us_000470153,0.346067, 0.106100
us_000506933,0.346067, 0.106134
us_000588769,0.346067, 0.106216
us_000471869,0.346067, 0.106241
us_000501680,0.346067, 0.106250
us_000551710,0.346067, 0.106685
us_000542615,0.346067, 0.106804
us_000515785,0.346067, 0.106882
us_000560804,0.346067, 0.107214
us_000534701,0.346067, 0.107445
us_000612254,0.346067, 0.107569
us_000589615,0.346067, 0.107667
us_000519230,0.346067, 0.107752
us_000478996,0.346067, 0.107794
us_000515851,0.346067, 0.107944
us_000562536,0.346067, 0.108085
us_000486093,0.346067, 0.108917
us_000548186,0.346067, 0.108917
us_000505611,0.346067, 0.109322
us_000523710,0.346067, 0.109352
us_000484062,0.346067, 0.109524
us_000506478,0.346067, 0.109531
us_000473857,0.346067, 0.110086
us_000487226,0.346067, 0.110566
us_000490863,0.346067, 0.110694
us_000471681,0.346067, 0.111478
us_000485007,0.346067, 0.111834
us_000458808,0.346067, 0.112321
us_000487920,0.346067, 0.112507
us_000466643,0.346067, 0.112782
us_000506445,0.346067, 0.112960
us_000472301,0.346067, 0.113030
us_000541303,0.346067, 0.113354
us_000474545,0.346067, 0.113940
us_000551746,0.346067, 0.114167
us_000026379,0.346067, 0.114335
us_000138570,0.346067, 0.114759
us_000482833,0.346067, 0.114849
us_000489459,0.346067, 0.114881
us_000478213,0.346067, 0.114897
us_000520534,0.346067, 0.114947
us_000525945,0.346067, 0.114982
us_000484608,0.346067, 0.115105
us_000529936,0.346067, 0.115653
us_000542577,0.346067, 0.115732
us_000587396,0.346067, 0.115753
us_000500193,0.346067, 0.116006
us_000089960,0.346067, 0.116167
us_000551717,0.346067, 0.116231
us_000565689,0.346067, 0.116354
us_000482971,0.346067, 0.116374
us_000483016,0.346067, 0.116374
us_000525811,0.346067, 0.116623
us_000481881,0.346067, 0.116623
us_000517720,0.346067, 0.116623
us_000467395,0.346067, 0.116890
us_000551787,0.346067, 0.117079
us_000525994,0.346067, 0.117435
us_000537341,0.346067, 0.117947
us_000522025,0.346067, 0.118240
us_000550831,0.346067, 0.118359
us_000490220,0.346067, 0.118359
us_000550744,0.346067, 0.118359
us_000505546,0.346067, 0.118359
us_000551681,0.346067, 0.118359
us_000488484,0.346067, 0.118401
us_000503698,0.346067, 0.118947
us_000498816,0.346067, 0.119067
us_000524498,0.346067, 0.119252
us_000504710,0.346067, 0.119252
us_000467696,0.346067, 0.119323
us_000520470,0.346067, 0.119660
us_000481868,0.346067, 0.120086
us_000478351,0.346067, 0.120456
us_000483679,0.346067, 0.120529
us_000486709,0.346067, 0.120529
us_000507630,0.346067, 0.120529
us_000478194,0.346067, 0.120529
us_000483724,0.346067, 0.120529
us_000483783,0.346067, 0.120529
us_000477344,0.346067, 0.121622
us_000536703,0.346067, 0.122499
us_000534385,0.346067, 0.122508
us_000526276,0.346067, 0.122622
us_000532430,0.346067, 0.122732
us_000531825,0.346067, 0.122796
us_000484554,0.346067, 0.123488
us_000515979,0.346067, 0.123800
us_000564807,0.346067, 0.124576
us_000487006,0.346067, 0.124761
us_000477249,0.346067, 0.125031
us_000505795,0.346067, 0.125654
us_000526119,0.346067, 0.125694
us_000497929,0.346067, 0.125748
us_000489761,0.346067, 0.125928
us_000522146,0.346067, 0.125928
us_000564487,0.346067, 0.125928
us_000484998,0.346067, 0.125928
us_000468246,0.346067, 0.125928
us_000523637,0.346067, 0.125928
us_000521809,0.346067, 0.125928
us_000524471,0.346067, 0.125928
us_000467215,0.346067, 0.125928
us_000543839,0.346067, 0.125928
us_000412844,0.346067, 0.125928
us_000262705,0.346067, 0.125928
us_000491921,0.346067, 0.125928
us_000467847,0.346067, 0.125928
us_000467391,0.346067, 0.125928
us_000544660,0.346067, 0.125928
us_000490118,0.346067, 0.125928
us_000466564,0.346067, 0.125928
us_000523749,0.346067, 0.125928
us_000466830,0.346067, 0.125928
us_000490862,0.346067, 0.125928
us_000529907,0.346067, 0.125928
us_000476716,0.346067, 0.125928
us_000565339,0.346067, 0.125928
us_000521801,0.346067, 0.125928
us_000477605,0.346067, 0.125928
us_000523718,0.346067, 0.125928
us_000491387,0.346067, 0.125928
us_000490049,0.346067, 0.125928
us_000490066,0.346067, 0.126965
us_000520536,0.346067, 0.130035
us_000565135,0.346067, 0.132247
us_000331492,0.346067, 0.137820
us_000548219,0.346067, 0.137962
us_000486659,0.346067, 0.138420
us_000517810,0.346067, 0.139264
us_000532349,0.346067, 0.139971
us_000478105,0.346067, 0.140121
us_000488156,0.346067, 0.140759
us_000470075,0.346067, 0.141277
us_000543158,0.346067, 0.141437
us_000483754,0.346067, 0.145781
us_000563102,0.346067, 0.147817
us_000522033,0.346067, 0.149073
us_000480755,0.346067, 0.149925
us_000467251,0.346067, 0.150017
us_000504720,0.346067, 0.151028
us_000519259,0.346067, 0.151509
us_000521803,0.346067, 0.154202
us_000534070,0.346067, 0.155455
us_000517725,0.346067, 0.156416
us_000581999,0.346067, 0.157316
us_000526672,0.346067, 0.157672
us_000612538,0.346067, 0.164839
us_000543380,0.346067, 0.167775
us_000488269,0.346067, 0.168071
us_000465754,0.346067, 0.175652
us_000486572,0.346067, 0.180694
us_000153237,0.346067, 0.183144
us_000551642,0.346067, 0.186274
us_000466159,0.346067, 0.192160
us_000501110,0.346067, 0.196318
us_000012188,0.346067, 0.219309
us_000491195,0.346067, 0.226998
us_000587241,0.346067, 0.265166
us_000498962,0.346067, 0.266964
us_000499095,0.346067, 0.614848
