Product ID : 7792 # of JPs covered : 1 : 216 : Accounting-Non-Profit, 
OID,Confidence at Map Node,Error at Map Node
pr_001669966,1.000000,0.000000
pr_001409519,1.000000,0.000000
pr_000598431,1.000000,0.000000
pr_000627703,1.000000,0.000000
pr_000961844,1.000000,0.000000
pr_000975415,1.000000,0.000000
pr_001010405,1.000000,0.000000
pr_000608287,1.000000,0.000000
pr_001885013,1.000000,0.000000
pr_000270000,1.000000,0.000000
pr_001411848,1.000000,0.000000
pr_001806253,1.000000,0.000000
pr_000426074,1.000000,0.000000
pr_000786831,1.000000,0.000000
pr_000811570,1.000000,0.000000
pr_000010351,1.000000,0.000000
pr_000774733,1.000000,0.000000
pr_000011321,1.000000,0.000000
pr_000787365,1.000000,0.000000
pr_000427990,1.000000,0.000000
us_000544229,1.000000,0.000000
pr_000356920,1.000000,0.000001
pr_000094432,1.000000,0.000002
us_000489460,1.000000,0.000184
us_000553105,1.000000,0.952697
us_000588417,1.000000,1.055268
us_000327185,1.000000,1.121314
us_000563024,1.000000,1.252358
us_000586381,1.000000,1.357014
us_000586341,1.000000,1.361594
us_000589703,1.000000,1.414815
us_000621835,1.000000,1.480106
pr_000705608,0.898172,0.000000
pr_000201926,0.898172,0.000000
pr_000202405,0.898172,0.000000
pr_000982849,0.898172,0.000000
pr_000563654,0.898172,0.000000
us_000565871,0.898172,0.000009
us_000562034,0.898172,0.000013
pr_000583172,0.898172,0.000031
pr_000408071,0.898172,0.000058
pr_001703899,0.898172,0.000067
us_000594822,0.898172,0.000135
us_000583911,0.898172,0.000524
us_000565838,0.898172,0.000612
us_000568352,0.898172,0.004576
us_000606973,0.898172,0.850610
us_000592928,0.898172,0.884118
us_000595110,0.898172,0.888781
us_000469216,0.898172,1.202844
us_000473001,0.898172,1.239728
us_000338566,0.898172,1.359422
us_000474976,0.613797,0.000000
pr_001994649,0.613797,0.000000
us_000472093,0.613797,0.000000
us_000550237,0.613797,0.000003
us_000524635,0.613797,0.001141
pr_000622458,0.613797,0.002069
us_000621132,0.613797,0.013694
us_000545788,0.613797,0.428006
us_000558831,0.613797,0.439920
us_000539430,0.613797,0.453903
us_000566881,0.613797,0.458710
us_000464689,0.613797,0.483186
us_000597539,0.613797,0.485068
us_000468698,0.613797,0.488529
us_000468468,0.613797,0.697336
pr_000884001,0.524437,0.000000
pr_000111714,0.524437,0.000000
pr_000587044,0.524437,0.000000
pr_000269106,0.524437,0.000000
pr_001769194,0.524437,0.000000
us_000553060,0.524437,0.000000
pr_000868348,0.524437,0.000000
pr_000765320,0.524437,0.000000
pr_000766042,0.524437,0.000000
us_000613022,0.524437,0.000002
pr_000704296,0.524437,0.000006
us_000524865,0.524437,0.000006
pr_000254731,0.524437,0.000007
pr_000703877,0.524437,0.000024
us_000586865,0.524437,0.000029
pr_000620992,0.524437,0.000057
pr_002200556,0.524437,0.000167
us_000615671,0.524437,0.000263
us_000616586,0.524437,0.000285
pr_001116219,0.524437,0.000877
pr_000709820,0.524437,0.002548
us_000599339,0.524437,0.003440
us_000617237,0.524437,0.005642
us_000594052,0.524437,0.046761
us_000598630,0.524437,0.046937
us_000618780,0.524437,0.059920
us_000547454,0.524437,0.106724
us_000545902,0.524437,3.411750
pr_001142665,0.471305,0.000000
pr_000980626,0.471305,0.000000
pr_000630411,0.471305,0.000000
pr_001007364,0.471305,0.000000
pr_001093163,0.471305,0.000000
pr_000654696,0.471305,0.000000
us_000481508,0.471305,0.000000
us_000593988,0.471305,0.000000
pr_000611405,0.471305,0.000001
us_000514705,0.471305,0.000013
us_000497343,0.471305,0.000023
us_000509508,0.471305,0.000140
us_000489002,0.471305,0.000175
us_000459229,0.471305,0.000291
us_000585522,0.471305,0.000387
us_000583633,0.471305,0.000522
us_000488046,0.471305,0.000541
us_000589079,0.471305,0.001996
us_000581475,0.471305,0.004141
us_000586005,0.471305,0.004288
us_000531649,0.471305,0.024115
us_000543766,0.471305,0.048858
us_000569865,0.471305,0.111218
us_000547382,0.471305,0.117392
us_000547353,0.471305,0.120535
us_000547268,0.471305,0.121047
us_000596300,0.471305,0.124435
us_000595596,0.471305,0.129254
us_000539351,0.471305,0.130227
us_000530093,0.471305,0.131571
us_000530065,0.471305,0.131961
us_000537900,0.471305,0.132307
us_000539133,0.471305,0.133183
us_000596320,0.471305,0.134062
us_000539187,0.471305,0.137473
us_000550848,0.471305,0.137983
us_000555875,0.471305,0.138328
us_000539165,0.471305,0.139439
us_000553273,0.471305,0.141491
us_000530013,0.471305,0.143915
us_000616263,0.471305,0.144176
us_000545820,0.471305,0.145180
us_000545776,0.471305,0.145882
us_000520391,0.471305,0.146128
us_000615739,0.471305,0.148899
us_000614185,0.471305,0.149300
us_000587601,0.471305,0.149732
us_000592564,0.471305,0.150258
us_000594139,0.471305,0.150666
us_000606244,0.471305,0.151745
us_000605525,0.471305,0.151982
us_000621636,0.471305,0.152113
us_000605649,0.471305,0.152460
us_000605906,0.471305,0.152596
us_000605552,0.471305,0.152602
us_000605883,0.471305,0.152622
us_000605725,0.471305,0.152720
us_000554309,0.471305,0.153576
us_000566910,0.471305,0.156245
us_000614118,0.471305,0.156749
us_000602167,0.471305,0.157349
us_000602343,0.471305,0.157353
us_000602342,0.471305,0.157732
us_000506326,0.471305,0.158345
us_000610898,0.471305,0.159347
us_000597675,0.471305,0.159405
us_000612028,0.471305,0.159447
us_000610090,0.471305,0.160116
us_000620876,0.471305,0.160234
us_000539648,0.471305,0.160792
us_000614555,0.471305,0.240894
us_000622072,0.298301,0.000000
us_000571004,0.298301,0.000000
us_000572672,0.298301,0.000000
us_000570701,0.298301,0.000000
us_000569879,0.298301,0.000000
us_000557257,0.298301,0.000001
us_000558193,0.298301,0.000009
us_000509481,0.298301,0.000045
us_000553496,0.298301,0.000121
us_000558438,0.298301,0.000122
us_000554290,0.298301,0.000169
us_000554725,0.298301,0.000241
us_000573144,0.298301,0.000376
us_000554695,0.298301,0.000808
us_000559909,0.298301,0.001314
us_000461241,0.298301,0.002350
us_000515477,0.298301,0.002481
us_000511071,0.298301,0.002669
us_000536040,0.298301,0.002790
us_000514412,0.298301,0.002915
us_000513592,0.298301,0.003239
us_000515543,0.298301,0.003513
us_000559192,0.298301,0.006409
us_000615247,0.298301,0.006621
us_000542878,0.298301,0.009418
us_000462192,0.298301,0.010370
us_000553725,0.298301,0.010426
us_000554206,0.298301,0.010493
us_000595600,0.298301,0.011058
us_000540252,0.298301,0.014050
us_000619277,0.298301,0.014901
us_000513631,0.298301,0.018070
us_000513663,0.298301,0.051616
us_000513894,0.298301,0.083592
us_000618869,0.298301,0.277169
us_000507766,0.298301,0.296708
us_000532532,0.208376,0.000000
pr_002246982,0.208376,0.000000
us_000461185,0.208376,0.000000
us_000539292,0.208376,0.000366
us_000473135,0.208376,0.079938
us_000172178,0.208376,0.113434
us_000217292,0.208376,0.113760
us_000544631,0.208376,0.126780
us_000541301,0.208376,0.136154
us_000591696,0.208376,0.164487
us_000496550,0.208376,0.165860
us_000497104,0.208376,0.169899
us_000565775,0.208376,0.173080
us_000537290,0.208376,0.184542
us_000518249,0.208376,0.187494
us_000523287,0.208376,0.188176
us_000585337,0.208376,0.192400
