Product ID : 7818 # of JPs covered : 1 : 445 : Municipal Finance-Admin, 
OID,Confidence at Map Node,Error at Map Node
pr_001711684,1.000000,0.000000
pr_001412547,1.000000,0.000000
pr_000291999,1.000000,0.000000
pr_001595007,1.000000,0.000000
pr_000913953,1.000000,0.000000
pr_001586648,1.000000,0.000000
pr_001721598,1.000000,0.000000
pr_000971245,1.000000,0.000010
pr_000709665,1.000000,0.000031
us_000504605,1.000000,1.051368
us_000526253,1.000000,1.134148
us_000483993,1.000000,1.281309
us_000559550,1.000000,1.347567
us_000528569,1.000000,1.365730
us_000514359,1.000000,1.377385
us_000529384,1.000000,1.491357
us_000527179,1.000000,1.530842
us_000509171,1.000000,1.530842
us_000513964,1.000000,1.534242
us_000531022,1.000000,1.570842
us_000508743,1.000000,1.580854
us_000531082,1.000000,1.585862
us_000511082,1.000000,1.606000
us_000559854,1.000000,1.612259
us_000494809,1.000000,1.621982
us_000504756,1.000000,1.626348
us_000527442,1.000000,1.631619
us_000506909,1.000000,1.643596
us_000551195,1.000000,1.666076
us_000491171,1.000000,1.675085
us_000460270,1.000000,1.677563
us_000508826,1.000000,1.684986
us_000613514,1.000000,1.696131
us_000509659,1.000000,1.707796
us_000521857,1.000000,1.708032
us_000514230,1.000000,1.710463
us_000594732,1.000000,1.716877
us_000506756,1.000000,1.758611
us_000525328,1.000000,1.761907
us_000518708,1.000000,1.769603
us_000527128,1.000000,1.778436
us_000508861,1.000000,1.780760
us_000551056,1.000000,1.792082
us_000568410,1.000000,1.805647
us_000564859,1.000000,1.811782
us_000559262,1.000000,1.818622
us_000526325,1.000000,1.823615
us_000553919,1.000000,1.831763
us_000565559,1.000000,1.831763
us_000553918,1.000000,1.831763
us_000508570,1.000000,1.872176
us_000513440,1.000000,1.876884
us_000612424,1.000000,1.901421
us_000508840,1.000000,1.901421
us_000512691,1.000000,1.901421
us_000508757,1.000000,1.901421
us_000496745,1.000000,1.910607
us_000529342,1.000000,1.914396
us_000485661,1.000000,1.914619
us_000529413,1.000000,1.927537
us_000510438,1.000000,1.929581
us_000569645,1.000000,1.942837
us_000508931,1.000000,1.942837
us_000531024,1.000000,1.954313
us_000497426,1.000000,1.957465
us_000529745,1.000000,1.964538
us_000508508,1.000000,1.981918
pr_000882778,0.989252,0.000000
pr_000015290,0.989252,0.000000
pr_000602009,0.989252,0.000000
pr_000851585,0.989252,0.000000
pr_000469897,0.989252,0.000000
pr_000873187,0.989252,0.000000
us_000585375,0.989252,1.004925
us_000580311,0.989252,1.394313
us_000481401,0.989252,1.426347
us_000473053,0.989252,1.435768
us_000514754,0.989252,1.443029
us_000484757,0.989252,1.488345
us_000514600,0.989252,1.492106
us_000484938,0.989252,1.515759
us_000563752,0.989252,1.573248
us_000550093,0.989252,1.596722
us_000484990,0.989252,1.614308
us_000596890,0.989252,1.664336
us_000575527,0.989252,1.687447
us_000483428,0.989252,1.698847
us_000485018,0.989252,1.705655
us_000485492,0.989252,1.714813
us_000555878,0.989252,1.745109
us_000532767,0.989252,1.750621
us_000588131,0.989252,1.770625
us_000484816,0.989252,1.775838
us_000566390,0.989252,1.811446
us_000492630,0.989252,1.817718
us_000554854,0.989252,1.845974
us_000481666,0.989252,1.873263
us_000584759,0.989252,1.899739
us_000484428,0.989252,1.910941
us_000501096,0.989252,1.913413
us_000486485,0.989252,1.919843
us_000484053,0.989252,1.921172
us_000534211,0.989252,1.923863
us_000482019,0.989252,1.928110
us_000484599,0.989252,1.934506
us_000566806,0.989252,1.935627
us_000486146,0.989252,1.937871
us_000614979,0.989252,1.939235
us_000585367,0.989252,1.943440
us_000575456,0.989252,1.944621
us_000527933,0.989252,1.945466
us_000594463,0.989252,1.945466
us_000592611,0.989252,1.951589
us_000591909,0.989252,1.958514
us_000586793,0.989252,1.964658
us_000575521,0.989252,1.968483
us_000591103,0.989252,1.968483
us_000485000,0.989252,1.975692
us_000588251,0.989252,1.981457
us_000486127,0.989252,1.982054
us_000492955,0.989252,1.982054
us_000566417,0.989252,1.991048
us_000544130,0.989252,1.994540
us_000583842,0.989252,2.009348
us_000560607,0.989252,2.011622
us_000482214,0.989252,2.016043
us_000528767,0.989252,2.036861
us_000506730,0.989252,2.041060
us_000473295,0.989252,2.046486
us_000596754,0.989252,2.046829
us_000528231,0.989252,2.048975
us_000568821,0.989252,2.048975
us_000569077,0.989252,2.059935
us_000500857,0.989252,2.072904
us_000499993,0.989252,2.073108
us_000568893,0.989252,2.073621
us_000564584,0.989252,2.073621
us_000550851,0.989252,2.087890
us_000594395,0.989252,2.087890
us_000483884,0.989252,2.088197
us_000583402,0.989252,2.094145
us_000584858,0.989252,2.094145
us_000490898,0.989252,2.096119
us_000495832,0.989252,2.096119
us_000595777,0.989252,2.099103
us_000585455,0.989252,2.102393
us_000592323,0.989252,2.110806
us_000472537,0.989252,2.113420
us_000554777,0.989252,2.121568
us_000532149,0.989252,2.121568
us_000614615,0.989252,2.121568
us_000579646,0.989252,2.126728
us_000592329,0.989252,2.130146
us_000591074,0.989252,2.132429
us_000582107,0.989252,2.132429
us_000527935,0.989252,2.132429
us_000603115,0.989252,2.135436
us_000549117,0.989252,2.137947
us_000592080,0.989252,2.141007
us_000579847,0.989252,2.141007
us_000582469,0.989252,2.141007
us_000499917,0.989252,2.142503
us_000566895,0.989252,2.144689
us_000549736,0.989252,2.151967
us_000494833,0.989252,2.151967
us_000599119,0.989252,2.151967
us_000584246,0.989252,2.151967
us_000597856,0.989252,2.151967
us_000582642,0.989252,2.151967
us_000615530,0.989252,2.151967
us_000598361,0.989252,2.151967
us_000581074,0.989252,2.151967
us_000584251,0.989252,2.151967
us_000584329,0.989252,2.151967
us_000597469,0.989252,2.151967
us_000587326,0.989252,2.151967
us_000598936,0.989252,2.160802
us_000598203,0.989252,2.162384
us_000477312,0.989252,2.176216
us_000507016,0.989252,2.177412
us_000484012,0.989252,2.193366
us_000508847,0.989252,2.202819
us_000485188,0.989252,2.203598
us_000485059,0.989252,2.204029
us_000597383,0.989252,2.204725
us_000614326,0.989252,2.214453
us_000565694,0.989252,2.214474
us_000592674,0.989252,2.214791
us_000596234,0.989252,2.217741
us_000559613,0.989252,2.226227
us_000485487,0.989252,2.230005
us_000508460,0.989252,2.238080
us_000585270,0.989252,2.249118
us_000506943,0.989252,2.254953
us_000560943,0.989252,2.255072
us_000528596,0.989252,2.255072
us_000561400,0.989252,2.255072
us_000566443,0.989252,2.262597
us_000566374,0.989252,2.267024
us_000560924,0.989252,2.267024
us_000596961,0.989252,2.267024
us_000564070,0.989252,2.267024
us_000498286,0.989252,2.267024
us_000482946,0.989252,2.276045
us_000567817,0.989252,2.292711
us_000581374,0.989252,2.300294
us_000597065,0.989252,2.310014
us_000493059,0.989252,2.335544
us_000508752,0.871289,0.000000
us_000541197,0.871289,0.000000
us_000554548,0.871289,0.000000
us_000513104,0.871289,0.000000
us_000520191,0.871289,0.000000
us_000514144,0.871289,0.000000
us_000520571,0.871289,0.000000
us_000566392,0.871289,0.000000
us_000565803,0.871289,0.000000
us_000540248,0.871289,0.000000
us_000513150,0.871289,0.000000
us_000569176,0.871289,0.000000
us_000547211,0.871289,0.000000
us_000512893,0.871289,0.000000
us_000556752,0.871289,0.000000
us_000563527,0.871289,0.000000
us_000548735,0.871289,0.000000
us_000472443,0.871289,0.000000
us_000584807,0.871289,0.000000
us_000594032,0.871289,0.000000
us_000468096,0.871289,0.000000
us_000521149,0.871289,0.000000
us_000586165,0.871289,0.000000
us_000588165,0.871289,0.000000
us_000531826,0.871289,0.000000
us_000513749,0.871289,0.000000
us_000597981,0.871289,0.000000
us_000575964,0.871289,0.000000
us_000531792,0.871289,0.000000
us_000512765,0.871289,0.000000
us_000538281,0.871289,0.000000
us_000541285,0.871289,0.000000
pr_000910415,0.871289,0.000000
pr_001146805,0.871289,0.000000
pr_001155516,0.871289,0.000000
us_000510892,0.871289,0.000000
us_000542756,0.871289,0.000000
us_000581299,0.871289,0.000009
pr_001050845,0.871289,0.000009
us_000583522,0.871289,0.000011
us_000595472,0.871289,0.000011
us_000509150,0.871289,0.000014
us_000569805,0.871289,0.000014
us_000565590,0.871289,0.000014
us_000569882,0.871289,0.000014
pr_001673484,0.871289,0.000015
us_000547831,0.871289,0.000031
us_000597560,0.871289,0.000038
us_000598293,0.871289,0.000041
pr_000941310,0.871289,0.000043
pr_000958077,0.871289,0.000076
pr_001800144,0.871289,0.000093
us_000040060,0.871289,0.000109
pr_000820095,0.871289,0.000156
pr_000882501,0.871289,0.000156
pr_000816738,0.871289,0.000160
pr_001150673,0.871289,0.000204
us_000608611,0.871289,0.000241
us_000478689,0.871289,0.000292
us_000587766,0.871289,0.000296
us_000484245,0.871289,0.000478
pr_002095206,0.871289,0.000568
us_000538248,0.871289,0.000646
us_000509763,0.871289,0.000936
us_000574346,0.871289,0.001978
us_000544973,0.871289,0.002947
us_000616713,0.871289,0.003863
us_000518302,0.871289,0.003906
us_000501962,0.871289,0.003943
