us_000487775
us_000527936
us_000462994
us_000486006
pr_001949266
pr_000970394
us_000462896
us_000552114
pr_001116501
us_000602266
pr_001040313
pr_001017731
us_000552991
pr_000625468
us_000000004
us_000543600
us_000520944
us_000000025
us_000000003
us_000000006
us_000000008
us_000000007
us_000545379
us_000496738
us_000485128
us_000553236
pr_001672930
pr_001650568
us_000562390
us_000000017
us_000502049
