Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
pr_001074335,0.814478,0.000001
pr_000896931,0.814478,0.000001
pr_002130186,0.814478,0.000001
pr_000891343,0.814478,0.000001
pr_001061812,0.814478,0.000001
pr_001059066,0.814478,0.000001
pr_000739865,0.814478,0.000001
pr_000838294,0.814478,0.000001
pr_000445839,0.814478,0.000010
pr_000726688,0.814478,0.000013
pr_000163702,0.814478,0.000018
pr_000293256,0.814478,0.000109
us_000516440,0.814478,0.000110
us_000533703,0.814478,0.000110
us_000537663,0.814478,0.000110
us_000601961,0.814478,0.000110
us_000569389,0.814478,0.000110
pr_002076007,0.814478,0.000315
pr_001007532,0.814478,0.000347
pr_001642089,0.814478,0.000412
pr_002075556,0.814478,0.000415
pr_001162954,0.814478,0.000775
us_000511067,0.814478,0.677854
us_000529117,0.814478,0.698283
us_000532398,0.814478,0.786427
us_000532392,0.814478,0.804022
us_000533267,0.814478,0.826139
us_000572004,0.814478,0.857291
us_000524674,0.814478,0.869779
pr_001145886,0.797535,0.000000
pr_000949218,0.797535,0.000000
pr_000921213,0.797535,0.000000
pr_000776381,0.797535,0.000000
pr_000674245,0.797535,0.000000
pr_000446782,0.797535,0.000000
us_000472365,0.797535,0.000006
pr_001006240,0.797535,0.000080
pr_001022477,0.797535,0.000116
us_000506000,0.797535,0.000435
us_000551233,0.797535,0.000518
pr_000440206,0.797535,0.000574
us_000486097,0.797535,0.000644
us_000488568,0.797535,0.000875
pr_001974035,0.797535,0.000920
pr_000879801,0.797535,0.001257
us_000505840,0.797535,0.001355
us_000202851,0.797535,0.001403
us_000525698,0.797535,0.001404
us_000523381,0.797535,0.001719
us_000533074,0.797535,0.001841
us_000533732,0.797535,0.001841
us_000487386,0.797535,0.002635
us_000472729,0.797535,0.002985
us_000505833,0.797535,0.003539
us_000556349,0.797535,0.003564
us_000470716,0.797535,0.003619
us_000505413,0.797535,0.003711
us_000549333,0.797535,0.003804
us_000586486,0.797535,0.004409
us_000415278,0.797535,0.004656
us_000535490,0.797535,0.004736
us_000533855,0.797535,0.005320
us_000573614,0.797535,0.008983
us_000058820,0.797535,0.013929
pr_001717171,0.797535,0.020097
