Feature Weight Segment using Normalized (across all features per example) examples for ftr idx : 86 corresponding to JP :279
ftrVal,count,BMU Map Loc
0.3925608,1.0,(29|47)
0.2798744,1.0,(30|47)
0.2408167,1.0,(29|48)
0.1247784,1.0,(34|3)
0.1234342,1.0,(44|6)
0.1230185,1.0,(29|46)
0.1229510,1.0,(43|1)
0.1175418,1.0,(44|5)
0.1147979,1.0,(28|47)
0.09952030,1.0,(42|2)
0.09365156,1.0,(45|5)
0.08911122,1.0,(48|6)
0.08666797,1.0,(42|1)
0.07893058,1.0,(41|2)
0.07808688,1.0,(12|38)
0.07802380,1.0,(49|47)
0.07360057,1.0,(0|45)
0.07259443,1.0,(44|1)
0.07137988,1.0,(3|46)
0.06565859,1.0,(42|0)
0.06385778,1.0,(41|0)
0.06322399,1.0,(35|3)
0.06153658,1.0,(41|1)
0.06151224,1.0,(13|38)
0.06007024,1.0,(45|6)
0.05915949,1.0,(43|2)
0.05740169,1.0,(21|9)
0.05723748,1.0,(49|48)
0.05576947,1.0,(27|1)
0.05539249,1.0,(35|2)
0.05069465,1.0,(1|45)
0.05034630,1.0,(42|44)
0.05013801,1.0,(48|3)
0.04963493,1.0,(41|3)
0.04955086,1.0,(34|2)
0.04891338,1.0,(40|0)
0.04310173,1.0,(37|2)
0.04262508,1.0,(37|5)
0.04215444,1.0,(42|37)
0.04211363,1.0,(43|5)
0.04070473,1.0,(39|1)
0.04019270,1.0,(44|7)
0.04003514,1.0,(45|1)
0.03954581,1.0,(48|48)
0.03954021,1.0,(27|2)
0.03887778,1.0,(43|0)
0.03860201,1.0,(35|4)
0.03838507,1.0,(17|2)
0.03833962,1.0,(0|47)
0.03824815,1.0,(21|8)
0.03817837,1.0,(27|3)
0.03805608,1.0,(48|0)
0.03738124,1.0,(36|4)
0.03496965,1.0,(39|0)
0.03464000,1.0,(40|1)
0.03413904,1.0,(42|3)
0.03393799,1.0,(35|46)
0.03392848,1.0,(29|3)
0.03384724,1.0,(40|2)
0.03383886,1.0,(14|11)
0.03382247,1.0,(26|37)
0.03328656,1.0,(15|11)
0.03308551,1.0,(48|1)
0.03192906,1.0,(48|2)
0.03185196,1.0,(37|4)
0.03184139,1.0,(15|12)
0.03162264,1.0,(35|41)
0.03149167,1.0,(15|13)
0.03128702,1.0,(39|2)
0.03119767,1.0,(38|8)
0.03115304,1.0,(39|9)
0.03076803,1.0,(13|39)
0.03052620,1.0,(33|4)
0.03048346,1.0,(43|44)
0.03032035,1.0,(7|7)
0.02963579,1.0,(26|23)
0.02906602,1.0,(34|4)
0.02844188,1.0,(44|48)
0.02751255,1.0,(17|3)
0.02740608,1.0,(16|12)
0.02737624,1.0,(28|3)
0.02704378,1.0,(0|46)
0.02698726,1.0,(36|47)
0.02667926,1.0,(0|48)
0.02651536,1.0,(44|2)
0.02614045,1.0,(44|47)
0.02593470,1.0,(13|3)
0.02583228,1.0,(20|46)
0.02577101,1.0,(26|2)
0.02566818,1.0,(48|45)
0.02562200,1.0,(30|46)
0.02507693,1.0,(16|11)
0.02493314,1.0,(48|47)
0.02490676,1.0,(37|47)
0.02450633,1.0,(44|46)
0.02429864,1.0,(38|7)
0.02429078,1.0,(14|12)
0.02417851,1.0,(31|46)
0.02390901,1.0,(39|8)
0.02362063,1.0,(31|47)
0.02359968,1.0,(46|1)
0.02338560,1.0,(36|46)
0.02337535,1.0,(37|7)
0.02316018,1.0,(49|0)
0.02279121,1.0,(44|0)
0.02263821,1.0,(3|45)
0.02255494,1.0,(38|9)
0.02253534,1.0,(14|3)
0.02252796,1.0,(35|6)
0.02217859,1.0,(43|6)
0.02198080,1.0,(48|46)
0.02179583,1.0,(30|45)
0.02175637,1.0,(21|10)
0.02159390,1.0,(44|45)
0.02124431,1.0,(42|36)
0.02110434,1.0,(43|45)
0.02107794,1.0,(48|4)
0.02092346,1.0,(44|4)
0.02068121,1.0,(12|39)
0.02059824,1.0,(37|3)
0.02038986,1.0,(47|0)
0.02013965,1.0,(13|4)
0.02005507,1.0,(49|46)
0.02004026,1.0,(37|8)
0.01996693,1.0,(43|7)
0.01993483,1.0,(45|42)
0.01982114,1.0,(39|49)
0.01972323,1.0,(47|3)
0.01952027,1.0,(26|1)
0.01949267,1.0,(49|2)
0.01923198,1.0,(37|46)
0.01918297,1.0,(42|49)
0.01884473,1.0,(49|4)
0.01869708,1.0,(2|45)
0.01866895,1.0,(42|43)
0.01856311,1.0,(36|5)
0.01854641,1.0,(22|9)
0.01825516,1.0,(41|44)
0.01798894,1.0,(19|12)
0.01781120,1.0,(32|45)
0.01771614,1.0,(13|37)
0.01761017,1.0,(38|44)
0.01743210,1.0,(44|49)
0.01735078,1.0,(6|1)
0.01731051,1.0,(30|48)
0.01682498,1.0,(49|1)
0.01677866,1.0,(35|5)
0.01659960,1.0,(34|6)
0.01654965,1.0,(45|49)
0.01654581,1.0,(49|3)
0.01627550,1.0,(1|5)
0.01616235,1.0,(0|44)
0.01605523,1.0,(39|45)
0.01579398,1.0,(33|3)
0.01559939,1.0,(0|49)
0.01554430,1.0,(42|5)
0.01537815,1.0,(18|2)
0.01533610,1.0,(29|20)
0.01527163,1.0,(43|46)
0.01510015,1.0,(15|6)
0.01507232,1.0,(42|4)
0.01504900,1.0,(13|11)
0.01493976,1.0,(36|8)
0.01488353,1.0,(47|6)
0.01487146,1.0,(43|3)
0.01485359,1.0,(37|45)
0.01481188,1.0,(49|45)
0.01474162,1.0,(43|48)
0.01452420,1.0,(36|39)
0.01452164,1.0,(19|0)
0.01448963,1.0,(11|12)
0.01446601,1.0,(25|13)
0.01433465,1.0,(39|10)
0.01420640,1.0,(20|9)
0.01418209,1.0,(32|42)
0.01390561,1.0,(17|12)
0.01382171,1.0,(49|49)
0.01372965,1.0,(1|46)
0.01371745,1.0,(16|13)
0.01368378,1.0,(43|49)
0.01360210,1.0,(44|41)
0.01354908,1.0,(32|47)
0.01342260,1.0,(46|5)
0.01334301,1.0,(12|4)
0.01334154,1.0,(14|23)
0.01331253,1.0,(47|45)
0.01320813,1.0,(35|48)
0.01319552,1.0,(19|13)
0.01318901,1.0,(38|4)
0.01315299,1.0,(38|45)
0.01309654,1.0,(39|44)
0.01301903,1.0,(9|0)
0.01298518,1.0,(40|3)
0.01293674,1.0,(37|48)
0.01291139,1.0,(2|2)
0.01289775,1.0,(36|2)
0.01284010,1.0,(35|0)
0.01275975,1.0,(8|10)
0.01264166,1.0,(2|1)
0.01261661,1.0,(39|7)
0.01256967,1.0,(25|1)
0.01240818,1.0,(40|9)
0.01237525,1.0,(19|5)
0.01233418,1.0,(48|7)
0.01227099,1.0,(8|20)
0.01225554,1.0,(4|45)
0.01225057,1.0,(0|0)
0.01220254,1.0,(28|4)
0.01210065,1.0,(11|4)
0.01200666,1.0,(37|9)
0.01194370,1.0,(47|1)
0.01193443,1.0,(41|5)
0.01173615,1.0,(38|2)
0.01161007,1.0,(14|38)
0.01152574,1.0,(47|48)
0.01152303,1.0,(40|10)
0.01147436,1.0,(46|49)
0.01146085,1.0,(1|3)
0.01130112,1.0,(46|0)
0.01125950,1.0,(1|7)
0.01125067,1.0,(42|35)
0.01122509,1.0,(0|2)
0.01110435,1.0,(38|49)
0.01103892,1.0,(35|1)
0.01101235,1.0,(45|48)
0.01083686,1.0,(2|0)
0.01068996,1.0,(15|21)
0.01052262,1.0,(35|42)
0.01029301,1.0,(34|34)
0.01021680,1.0,(42|45)
0.01015310,1.0,(44|44)
0.01010838,1.0,(9|48)
0.01005661,1.0,(48|49)
0.01002068,1.0,(40|49)
0.01001252,1.0,(43|47)
0.009944853,1.0,(40|8)
0.009727084,1.0,(1|2)
0.009627588,1.0,(47|49)
0.009565140,1.0,(46|48)
0.009555778,1.0,(2|7)
0.009535099,1.0,(47|2)
0.009395491,1.0,(6|34)
0.009380151,1.0,(42|29)
0.009360758,1.0,(45|47)
0.009348877,1.0,(5|28)
0.009340822,1.0,(12|5)
0.009338146,1.0,(34|49)
0.009319458,1.0,(43|4)
0.009276115,1.0,(14|43)
0.009210976,1.0,(35|7)
0.009181806,1.0,(6|0)
0.009180006,1.0,(10|4)
0.009168307,1.0,(8|23)
0.009151092,1.0,(43|41)
0.009138726,1.0,(45|0)
0.009133155,1.0,(28|1)
0.009111219,1.0,(10|0)
0.009083826,1.0,(22|8)
0.009051035,1.0,(36|3)
0.008984661,1.0,(16|2)
0.008927671,1.0,(36|34)
0.008887993,1.0,(33|6)
0.008857554,1.0,(36|48)
0.008855994,1.0,(29|2)
0.008768910,1.0,(12|26)
0.008757112,1.0,(41|49)
0.008718138,1.0,(0|4)
0.008654318,1.0,(10|2)
0.008634805,1.0,(28|0)
0.008588521,1.0,(44|38)
0.008580524,1.0,(5|46)
0.008562142,1.0,(15|14)
0.008461080,1.0,(41|4)
0.008442603,1.0,(45|4)
0.008397749,1.0,(16|7)
0.008348964,1.0,(27|43)
0.008344247,1.0,(14|39)
0.008341974,1.0,(39|11)
0.008114385,1.0,(29|0)
0.008077839,1.0,(33|45)
0.008076819,1.0,(49|5)
0.008071383,1.0,(5|29)
0.008040949,1.0,(40|11)
0.007997560,1.0,(39|3)
0.007869042,1.0,(1|8)
0.007862214,1.0,(0|3)
0.007810416,1.0,(17|17)
0.007793721,1.0,(46|6)
0.007772162,1.0,(15|3)
0.007768915,1.0,(24|47)
0.007697987,1.0,(13|10)
0.007685939,1.0,(3|2)
0.007661516,1.0,(42|48)
0.007639906,1.0,(28|49)
0.007595463,1.0,(11|41)
0.007530469,1.0,(15|8)
0.007515892,1.0,(31|45)
0.007497007,1.0,(14|22)
0.007458832,1.0,(19|44)
0.007453319,1.0,(41|43)
0.007442473,1.0,(46|4)
0.007441090,1.0,(47|4)
0.007398301,1.0,(20|42)
0.007381136,1.0,(45|45)
0.007377957,1.0,(23|46)
0.007372090,1.0,(28|2)
0.007364735,1.0,(1|44)
0.007341020,1.0,(19|2)
0.007328467,1.0,(38|5)
0.007271923,1.0,(20|8)
0.007269134,1.0,(46|45)
0.007255008,1.0,(1|48)
0.007237379,1.0,(8|9)
0.007169192,1.0,(38|22)
0.007157951,1.0,(36|42)
0.007121957,1.0,(27|0)
