Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 437 | Tax Prep-Pass-Through-S-Corp (jp:437,idx:188)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02057613,5.0,(47|16)
0.02016129,5.0,(0|17)
0.02000000,2.0,(24|32)
0.01973684,3.0,(7|21)
0.01970443,4.0,(47|15)
0.01960784,2.0,(19|30)
0.01960784,1.0,(28|32)
0.01941748,6.0,(45|15)
0.01932367,4.0,(11|30)
0.01923077,4.0,(21|25)
0.01923077,4.0,(44|13)
0.01892745,6.0,(21|28)
0.01892745,6.0,(42|13)
0.01871658,7.0,(46|22)
0.01869159,2.0,(29|34)
0.01851852,2.0,(1|24)
0.01851852,3.0,(3|13)
0.01851852,4.0,(5|27)
0.01851852,4.0,(43|20)
0.01834862,4.0,(41|20)
0.01834862,2.0,(48|25)
0.01818182,2.0,(29|37)
0.01801802,4.0,(0|16)
0.01796407,3.0,(0|19)
0.01775148,3.0,(5|10)
0.01769911,2.0,(0|23)
0.01769911,2.0,(38|15)
0.01769911,2.0,(44|23)
0.01754386,5.0,(44|16)
0.01744186,6.0,(48|17)
0.01741655,12.0,(20|24)
0.01734104,3.0,(44|22)
0.01724138,3.0,(43|15)
0.01709402,4.0,(37|17)
0.01680672,8.0,(40|14)
0.01675978,3.0,(45|23)
0.01666667,1.0,(29|36)
0.01652892,2.0,(6|12)
0.01648352,6.0,(44|10)
0.01626016,2.0,(43|22)
0.01574803,2.0,(47|47)
0.01562500,2.0,(40|15)
0.01554404,3.0,(25|44)
0.01538462,1.0,(21|35)
0.01526718,2.0,(15|30)
0.01520913,4.0,(42|21)
0.01507538,6.0,(20|23)
0.01477833,3.0,(22|37)
0.01476015,4.0,(40|29)
0.01470588,1.0,(13|26)
0.01444043,4.0,(43|12)
0.01428571,2.0,(24|31)
0.01421801,3.0,(40|23)
0.01408451,5.0,(42|31)
0.01379310,2.0,(43|23)
0.01369863,2.0,(10|47)
0.01365188,4.0,(44|14)
0.01355932,4.0,(43|13)
0.01354402,6.0,(19|24)
0.01322751,5.0,(46|12)
0.01298701,2.0,(2|18)
0.01293103,3.0,(21|31)
