Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 221 | IP Litigation (jp:221,idx:46)
Class Probability,Ex Count at BMU,BMU Map Loc
0.09333333,7.0,(32|19)
0.02251791,22.0,(28|46)
0.01639344,1.0,(29|9)
0.01298701,2.0,(44|0)
0.01273885,2.0,(27|4)
0.01020408,2.0,(12|3)
0.009615385,1.0,(23|11)
0.007462686,1.0,(24|8)
0.006993007,1.0,(27|5)
0.005681818,1.0,(11|2)
0.005405406,1.0,(37|1)
0.004784689,1.0,(26|7)
0.004705882,2.0,(35|9)
0.004098360,1.0,(40|46)
0.004065040,1.0,(28|3)
0.003389830,1.0,(32|16)
0.003076923,1.0,(30|14)
0.002083333,1.0,(32|13)
0.001048218,1.0,(37|0)
