Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 247 | Accounting-Accounting Only (jp:247,idx:66)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8050314,256.0,(28|43)
0.2941177,15.0,(28|42)
0.2500000,1.0,(25|42)
0.1538462,14.0,(27|43)
0.04761905,2.0,(30|35)
0.04255319,2.0,(30|43)
0.03030303,2.0,(28|37)
0.02531646,2.0,(17|29)
0.02380952,2.0,(26|35)
0.02272727,2.0,(24|30)
0.02173913,3.0,(44|33)
0.02083333,1.0,(22|35)
0.01904762,2.0,(19|33)
0.01818182,5.0,(42|34)
0.01792115,5.0,(44|34)
0.01694915,3.0,(28|36)
0.01652892,2.0,(25|32)
0.01626016,2.0,(2|20)
0.01562500,2.0,(40|28)
0.01492537,2.0,(25|34)
0.01463415,3.0,(27|42)
0.01428571,1.0,(27|37)
0.01342282,2.0,(43|34)
0.01315789,2.0,(27|38)
0.01265823,1.0,(26|40)
0.01183432,2.0,(30|32)
0.01142857,2.0,(41|22)
0.01129944,4.0,(17|21)
0.01069519,2.0,(48|15)
0.009569378,2.0,(29|40)
0.009302326,2.0,(46|8)
0.009090909,2.0,(5|22)
0.008928572,1.0,(23|31)
0.008510638,2.0,(45|19)
0.007936508,1.0,(43|10)
0.007633588,1.0,(30|41)
0.006944444,1.0,(27|40)
0.006872852,2.0,(21|32)
0.006430868,2.0,(16|23)
0.006410256,2.0,(0|18)
0.006369427,1.0,(3|12)
0.006309148,2.0,(42|13)
0.006289308,1.0,(4|26)
0.005747126,1.0,(26|39)
0.005714286,2.0,(42|14)
0.005464481,1.0,(23|35)
0.005464481,2.0,(47|18)
0.004830918,1.0,(29|42)
0.004587156,1.0,(27|36)
0.004444445,1.0,(23|29)
0.003610108,1.0,(43|12)
0.003448276,1.0,(0|20)
0.003184713,1.0,(48|8)
0.002816901,1.0,(42|31)
0.002178649,1.0,(16|24)
