Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 293 | Insurance Coverage (jp:293,idx:100)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02564103,1.0,(17|38)
0.02531646,6.0,(40|7)
0.02500000,3.0,(18|6)
0.02500000,3.0,(43|45)
0.02453988,4.0,(42|1)
0.02439024,3.0,(20|11)
0.02380952,1.0,(28|49)
0.02380952,1.0,(29|0)
0.02380952,2.0,(39|2)
0.02336449,5.0,(25|2)
0.02247191,4.0,(32|0)
0.02162162,4.0,(37|1)
0.02127660,4.0,(34|26)
0.02116402,4.0,(41|41)
0.02105263,4.0,(22|8)
0.02068966,3.0,(10|2)
0.02068966,3.0,(44|6)
0.02061856,2.0,(40|36)
0.02000000,2.0,(17|1)
0.02000000,1.0,(45|42)
0.01960784,3.0,(39|39)
0.01948052,3.0,(44|0)
0.01843318,4.0,(32|22)
0.01834862,2.0,(44|4)
0.01785714,2.0,(45|47)
0.01785714,2.0,(49|6)
0.01779359,5.0,(23|8)
0.01764706,3.0,(38|42)
0.01694915,1.0,(7|46)
0.01666667,1.0,(9|10)
0.01666667,1.0,(42|48)
0.01639344,4.0,(20|9)
0.01632653,4.0,(15|0)
0.01630435,3.0,(39|40)
0.01574803,2.0,(30|27)
0.01546392,3.0,(1|44)
0.01544402,4.0,(8|8)
0.01492537,1.0,(2|44)
0.01492537,2.0,(7|44)
0.01481481,4.0,(27|2)
0.01463415,3.0,(9|7)
0.01457726,5.0,(32|21)
0.01449275,2.0,(26|25)
0.01449275,7.0,(39|8)
0.01431127,8.0,(36|3)
0.01418440,2.0,(29|6)
0.01418440,2.0,(43|3)
0.01369863,2.0,(7|36)
0.01369863,2.0,(32|32)
0.01360544,2.0,(10|25)
0.01357466,3.0,(43|44)
0.01357466,3.0,(44|46)
0.01333333,2.0,(3|2)
0.01333333,2.0,(7|34)
0.01298701,1.0,(37|47)
0.01282051,1.0,(35|3)
0.01260504,3.0,(18|39)
0.01242236,2.0,(10|3)
0.01226994,2.0,(42|36)
0.01226994,2.0,(43|35)
0.01215805,4.0,(15|10)
0.01212121,2.0,(13|5)
0.01204819,1.0,(16|0)
0.01197605,2.0,(14|46)
0.01197605,2.0,(17|33)
0.01176471,1.0,(45|43)
0.01162791,1.0,(26|2)
0.01136364,1.0,(15|21)
