Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 250 | Energy-Finance (jp:250,idx:68)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8060046,349.0,(31|44)
0.1866667,28.0,(34|40)
0.1346154,14.0,(31|43)
0.1250000,11.0,(31|45)
0.07216495,7.0,(40|36)
0.03608247,7.0,(1|44)
0.03472222,5.0,(0|42)
0.03468208,6.0,(0|41)
0.03043478,7.0,(2|42)
0.02777778,1.0,(41|38)
0.02352941,2.0,(1|43)
0.02272727,3.0,(49|43)
0.01673640,4.0,(2|43)
0.01652892,2.0,(6|12)
0.01526718,2.0,(10|39)
0.01470588,4.0,(35|40)
0.01442308,3.0,(31|22)
0.01190476,1.0,(13|48)
0.01036269,4.0,(38|37)
0.01030928,1.0,(2|40)
0.009708738,2.0,(23|26)
0.009661836,2.0,(14|45)
0.009216590,2.0,(2|39)
0.009132420,2.0,(24|28)
0.009132420,2.0,(30|34)
0.008928572,1.0,(40|38)
0.008403362,1.0,(3|40)
0.008108108,3.0,(40|43)
0.008032128,2.0,(1|7)
0.007575758,2.0,(30|24)
0.006535948,1.0,(18|0)
0.005988024,1.0,(14|46)
0.005830904,2.0,(32|21)
0.005681818,1.0,(11|2)
0.005649718,2.0,(11|1)
0.005649718,1.0,(22|43)
0.005291005,1.0,(41|41)
0.005154639,1.0,(39|48)
0.004694836,1.0,(36|39)
0.004016064,1.0,(7|45)
0.003496503,1.0,(12|48)
0.003144654,1.0,(18|1)
0.002898551,2.0,(21|44)
0.002832861,1.0,(24|27)
0.002732240,1.0,(5|44)
0.002652520,1.0,(49|44)
0.001683502,1.0,(33|1)
0.001552795,1.0,(8|45)
0.001342282,1.0,(28|2)
0.0009082652,1.0,(12|0)
