Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 436 | Tax Prep-Pass-Through-Forms (jp:436,idx:187)
Class Probability,Ex Count at BMU,BMU Map Loc
0.06081081,9.0,(38|17)
0.05988024,10.0,(0|19)
0.05904059,16.0,(49|18)
0.05882353,34.0,(19|25)
0.05882353,4.0,(22|33)
0.05851064,11.0,(22|32)
0.05828780,32.0,(19|26)
0.05782313,17.0,(44|12)
0.05732484,9.0,(49|10)
0.05714286,6.0,(31|42)
0.05696202,9.0,(49|17)
0.05691057,7.0,(44|26)
0.05607476,6.0,(2|9)
0.05577689,14.0,(2|13)
0.05468750,7.0,(40|15)
0.05454545,15.0,(29|38)
0.05416667,13.0,(41|13)
0.05405406,10.0,(3|14)
0.05347594,10.0,(48|15)
0.05333333,4.0,(42|24)
0.05298013,16.0,(49|14)
0.05263158,2.0,(38|28)
0.05263158,5.0,(40|32)
0.05263158,15.0,(44|16)
0.05234160,19.0,(42|29)
0.05191257,19.0,(47|18)
0.05145414,23.0,(24|44)
0.05144694,16.0,(42|17)
0.05050505,5.0,(19|21)
0.05020921,12.0,(1|16)
0.04761905,4.0,(23|42)
0.04733728,8.0,(43|29)
0.04705882,8.0,(44|29)
0.04687500,6.0,(25|38)
0.04687500,9.0,(45|9)
0.04651163,10.0,(49|13)
0.04615385,3.0,(21|37)
0.04597701,8.0,(38|19)
0.04587156,15.0,(46|18)
0.04545455,1.0,(9|36)
0.04521276,17.0,(1|12)
0.04513064,19.0,(17|24)
0.04444445,6.0,(10|30)
0.04347826,5.0,(9|44)
0.04347826,2.0,(11|8)
0.04347826,9.0,(11|30)
0.04347826,4.0,(15|23)
0.04320988,7.0,(42|28)
0.04255319,8.0,(2|14)
0.04119850,22.0,(19|27)
0.04109589,9.0,(24|28)
0.04022989,7.0,(26|39)
0.04022989,7.0,(43|15)
0.04000000,14.0,(42|14)
0.03940887,8.0,(22|37)
0.03883495,8.0,(23|26)
0.03783784,7.0,(1|17)
0.03781513,18.0,(40|14)
0.03765690,9.0,(40|13)
0.03743315,7.0,(40|22)
0.03658536,3.0,(31|41)
0.03636364,2.0,(45|31)
0.03448276,1.0,(5|18)
0.03448276,3.0,(22|28)
0.03448276,6.0,(41|26)
0.03389831,6.0,(1|10)
0.03365385,7.0,(44|13)
0.03361345,4.0,(44|32)
0.03333334,6.0,(43|30)
0.03283582,11.0,(46|15)
0.03278688,6.0,(48|9)
0.03265306,8.0,(1|13)
0.03174603,2.0,(30|40)
0.03131115,16.0,(20|26)
0.03108808,6.0,(25|44)
0.03076923,2.0,(22|27)
0.03076923,8.0,(42|16)
0.03056769,7.0,(45|13)
0.03007519,4.0,(20|36)
0.02988506,13.0,(44|15)
0.02928870,14.0,(18|25)
0.02912621,3.0,(26|29)
0.02898551,4.0,(40|33)
0.02884615,6.0,(19|22)
0.02870813,6.0,(18|21)
0.02843602,6.0,(40|23)
0.02840909,5.0,(49|7)
0.02840909,5.0,(49|9)
0.02824859,10.0,(17|21)
0.02719033,9.0,(2|11)
0.02684564,4.0,(2|16)
0.02678571,6.0,(19|31)
0.02678571,3.0,(23|31)
0.02666667,4.0,(24|39)
0.02644231,11.0,(0|14)
0.02617801,5.0,(0|10)
0.02597403,2.0,(19|40)
0.02597403,2.0,(40|27)
0.02597403,4.0,(45|11)
0.02577320,5.0,(40|21)
0.02531646,2.0,(26|40)
0.02479339,3.0,(28|34)
0.02419355,6.0,(0|17)
0.02397260,7.0,(45|12)
0.02393617,9.0,(20|25)
0.02380952,3.0,(43|10)
0.02380952,4.0,(43|28)
0.02369668,5.0,(46|10)
0.02343750,3.0,(40|28)
0.02201258,7.0,(48|16)
0.02197802,2.0,(42|27)
