Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 336 | Tax Prep-Indiv-Tax (jp:336,idx:119)
Class Probability,Ex Count at BMU,BMU Map Loc
0.05741627,12.0,(18|21)
0.05737705,21.0,(47|18)
0.05681818,10.0,(27|30)
0.05643341,25.0,(19|24)
0.05612245,22.0,(44|17)
0.05555556,6.0,(49|23)
0.05508475,13.0,(48|13)
0.05496829,26.0,(46|17)
0.05487805,9.0,(41|30)
0.05479452,16.0,(45|12)
0.05415162,15.0,(43|12)
0.05303030,7.0,(3|25)
0.05279503,17.0,(48|18)
0.05220884,13.0,(45|18)
0.05217391,12.0,(45|20)
0.05181347,10.0,(18|20)
0.05145414,23.0,(24|44)
0.05128205,14.0,(48|20)
0.05092593,11.0,(5|27)
0.05078125,13.0,(47|21)
0.05063291,4.0,(17|29)
0.05010893,23.0,(16|24)
0.04980843,26.0,(46|16)
0.04938272,4.0,(43|24)
0.04901961,20.0,(19|28)
0.04830918,10.0,(11|30)
0.04731861,15.0,(42|13)
0.04727273,13.0,(29|38)
0.04672897,5.0,(23|37)
0.04663213,9.0,(45|22)
0.04651163,14.0,(45|16)
0.04587156,15.0,(46|18)
0.04545455,17.0,(46|22)
0.04521276,17.0,(17|25)
0.04504504,5.0,(20|33)
0.04458599,7.0,(49|10)
0.04411765,21.0,(40|14)
0.04368932,9.0,(39|19)
0.04347826,3.0,(28|30)
0.04310345,15.0,(44|18)
0.04273504,5.0,(47|25)
0.04255319,16.0,(20|25)
0.04255319,4.0,(47|23)
0.04235294,18.0,(18|23)
0.04184100,10.0,(40|13)
0.04166667,2.0,(22|35)
0.04137931,6.0,(42|11)
0.04123711,12.0,(21|32)
0.04000000,6.0,(1|11)
0.04000000,1.0,(45|6)
0.04000000,1.0,(46|6)
0.04000000,5.0,(48|12)
0.03940887,8.0,(18|22)
0.03930131,9.0,(46|21)
0.03927492,13.0,(2|11)
0.03883495,4.0,(26|29)
0.03750000,6.0,(0|28)
0.03750000,3.0,(24|29)
0.03738318,4.0,(2|9)
0.03728814,11.0,(43|13)
0.03703704,6.0,(3|11)
0.03571429,5.0,(24|31)
0.03571429,3.0,(26|35)
