Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 157 | Accounting-Accounting/Audit/Assurance (jp:157,idx:32)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9988385,860.0,(26|42)
0.5853658,120.0,(27|42)
0.5000000,2.0,(25|42)
0.4833333,58.0,(26|43)
0.4666667,42.0,(26|41)
0.4264706,29.0,(27|41)
0.2329749,65.0,(44|34)
0.1265823,10.0,(26|40)
0.1212121,8.0,(28|37)
0.1208791,11.0,(27|43)
0.07909604,14.0,(28|36)
0.06250000,9.0,(27|40)
0.04761905,5.0,(19|33)
0.03614458,3.0,(27|35)
0.03355705,5.0,(43|34)
0.02857143,2.0,(27|37)
0.02777778,3.0,(26|33)
0.02564103,1.0,(27|31)
0.02343750,3.0,(25|38)
0.02293578,5.0,(27|36)
0.01960784,1.0,(28|42)
0.01851852,2.0,(24|34)
0.01785714,2.0,(23|31)
0.01538462,1.0,(26|38)
0.01092896,2.0,(23|35)
0.01086957,1.0,(25|30)
0.01000000,1.0,(25|33)
0.009852217,2.0,(27|34)
0.009661836,2.0,(29|42)
0.009132420,2.0,(27|33)
0.009132420,2.0,(30|34)
0.006993007,2.0,(12|48)
0.006944444,1.0,(0|42)
0.006172840,1.0,(29|33)
0.005988024,3.0,(26|44)
0.004524887,1.0,(27|32)
0.003921569,1.0,(23|32)
0.003745318,2.0,(19|27)
0.003144654,1.0,(28|43)
0.003076923,1.0,(40|31)
0.003021148,1.0,(2|11)
0.001610306,1.0,(30|1)
0.001592357,1.0,(28|45)
