Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 242 | Tax Law-Litigation (jp:242,idx:62)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(18|38)
0.05263158,2.0,(22|9)
0.03000000,3.0,(25|33)
0.01960784,2.0,(14|27)
0.01851852,2.0,(28|33)
0.01522843,3.0,(17|30)
0.01428571,2.0,(24|31)
0.01228250,12.0,(28|46)
0.01123596,1.0,(26|34)
0.01092896,2.0,(23|35)
0.01047120,2.0,(25|28)
0.01000000,1.0,(19|18)
0.009433962,2.0,(23|21)
0.009132420,2.0,(24|28)
0.009132420,2.0,(34|41)
0.008695652,2.0,(2|42)
0.006802721,1.0,(29|32)
0.006389776,2.0,(22|30)
0.005617978,2.0,(27|28)
0.004830918,2.0,(17|27)
0.003992016,2.0,(26|44)
0.003508772,1.0,(26|24)
0.003389830,1.0,(33|2)
0.003378378,2.0,(26|46)
0.003154574,1.0,(21|28)
0.002849003,2.0,(25|46)
0.002583979,1.0,(15|26)
