Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 434 | Tax Law-Trusts-and-Estates (jp:434,idx:185)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3333333,1.0,(18|34)
0.08974359,21.0,(9|34)
0.08695652,2.0,(18|33)
0.04761905,4.0,(12|37)
0.04568528,9.0,(9|35)
0.04196520,41.0,(28|46)
0.03571429,2.0,(14|34)
0.03448276,2.0,(8|22)
0.03389831,2.0,(12|25)
0.03141361,6.0,(25|28)
0.02127660,1.0,(13|36)
0.01851852,2.0,(28|33)
0.01612903,1.0,(19|34)
0.01470588,1.0,(13|26)
0.01459854,2.0,(13|37)
0.01442308,3.0,(31|21)
0.01379310,2.0,(44|6)
0.01265823,2.0,(10|35)
0.01250000,2.0,(12|33)
0.01242236,2.0,(6|27)
0.01129944,2.0,(12|35)
0.01123596,1.0,(9|33)
0.01069519,2.0,(13|33)
0.01027397,3.0,(12|36)
0.009803922,2.0,(13|35)
0.009803922,1.0,(14|27)
0.008695652,2.0,(11|25)
0.008264462,1.0,(13|29)
0.008264462,2.0,(47|43)
0.007936508,2.0,(15|34)
0.007490637,2.0,(8|30)
0.006389776,2.0,(22|30)
0.005988024,1.0,(17|33)
0.005714286,1.0,(41|45)
0.005319149,1.0,(27|26)
0.005181347,2.0,(25|26)
0.004784689,1.0,(11|28)
0.004716981,1.0,(7|26)
0.004629630,1.0,(43|20)
0.004566210,1.0,(24|28)
0.003717472,1.0,(22|21)
0.003355705,1.0,(43|33)
0.003311258,1.0,(8|7)
0.003058104,1.0,(46|18)
0.002832861,1.0,(24|27)
0.002237136,1.0,(30|5)
0.001814882,1.0,(8|1)
0.001451379,1.0,(20|24)
0.0009363296,1.0,(21|22)
