Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 253 | M&A Finance (jp:253,idx:70)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02857143,4.0,(0|29)
0.02857143,4.0,(49|29)
0.01923077,3.0,(49|33)
0.01904762,2.0,(49|32)
0.01612903,1.0,(8|43)
0.01515152,2.0,(0|30)
0.009259259,2.0,(17|2)
0.009009009,1.0,(31|37)
0.008620690,1.0,(38|34)
0.008368201,2.0,(10|42)
0.007164790,7.0,(28|46)
0.006116208,2.0,(25|20)
0.005847953,1.0,(45|35)
0.005208333,1.0,(31|32)
0.004237288,1.0,(0|33)
0.003717472,1.0,(6|40)
0.003105590,2.0,(8|45)
0.003067485,2.0,(24|25)
